UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
2	0
15	6
0	1
2	12
0	7
100	22
4	3
0	3
2	0
0	1
0	1
0	5
0	5
0	0
0	0
19	0
7	0
0	0
0	0
2	1
0	1
0	1
7	2
0	2
11	19
5	5
2	0
0	2
0	2
16	13
2	1
0	1
2	1
4	2
0	2
10	2
9	1
2	2
0	2
37	9
5	4
2	1
3	1
30	2
0	1
0	1
7	1
9	14
0	13
6	4
39	17
3	24
18	3
0	5
2	3
0	3
0	0
0	0
1	1
4	11
0	9
0	12
0	5
37	19
2	6
5	1
0	9
0	0
0	1
0	1
10	22
0	2
0	2
24	0
9	2
0	2
2	3
1	4
0	4
9	1
0	1
0	1
5	0
1	1
0	1
0	1
0	1
0	7
0	4
2	0
4	3
0	3
0	5
4	12
0	9
0	0
7	1
22	62
20	61
0	3
0	3
1	2
0	2
0	11
0	0
0	1
0	0
4	0
68	0
138	0
62	0
135	209
0	209
68	0
9	0
32	0
4	0
8	0
142	0
31	0
51	0
58	0
0	1
0	1
0	0
0	0
2	3
0	3
11	0
0	0
0	0
1	2
0	2
3	13
0	13
7	8
0	8
4	3
0	0
0	0
3	1
0	0
0	0
0	11
0	1
0	0
21	23
3	2
0	2
5	19
15	5
0	0
0	0
1	14
0	1
0	0
0	1
0	0
0	0
6	0
1	1
0	1
0	0
1	8
0	8
142	0
8	1
56	0
48	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	2
0	2
3	1
2	0
0	0
3	0
0	2
0	2
0	2
0	0
0	0
0	0
0	0
1	0
0	0
0	2
0	2
0	18
3	1
2	18
0	7
0	17
0	0
0	0
0	0
0	0
0	1
0	0
0	34
0	34
0	34
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
1	0
133	332
94	341
0	81
0	2
0	3
0	2
0	3
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
15	45
2	27
0	21
0	14
0	24
0	13
0	0
0	0
2	0
6	18
0	16
0	13
0	11
0	13
0	0
5	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	0
0	21
1	3
0	2
0	21
0	1
0	1
0	0
0	0
0	0
0	0
10	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	2
0	34
0	34
0	0
0	13
0	13
0	0
0	0
0	0
0	0
0	0
1	4
