gs_name,gene_symbol
CD69pos_CD69neg_up,Adal
CD69pos_CD69neg_up,Fbxo45
CD69pos_CD69neg_up,Hyls1
CD69pos_CD69neg_up,Tbc1D32
CD69pos_CD69neg_up,Kctd20
CD69pos_CD69neg_up,Znrf2
CD69pos_CD69neg_up,Neil2
CD69pos_CD69neg_up,Zfp683
CD69pos_CD69neg_up,Spryd4
CD69pos_CD69neg_up,Zfp69
CD69pos_CD69neg_up,Spopl
CD69pos_CD69neg_up,Gen1
CD69pos_CD69neg_up,Zfp772
CD69pos_CD69neg_up,Slc25A53
CD69pos_CD69neg_dn,Camk2D
CD69pos_CD69neg_dn,Gadd45A
CD69pos_CD69neg_dn,S1Pr1
CD69pos_CD69neg_dn,Megf9
CD69pos_CD69neg_dn,Epha4
CD69pos_CD69neg_dn,Galnt3
CD69pos_CD69neg_dn,Ganc
CD69pos_CD69neg_dn,Gbp2B
CD69pos_CD69neg_dn,Gpr15
CD69pos_CD69neg_dn,Gpr34
CD69pos_CD69neg_dn,Gss
CD69pos_CD69neg_dn,Icam2
CD69pos_CD69neg_dn,Il4Ra
CD69pos_CD69neg_dn,Gm13305
CD69pos_CD69neg_dn,Insig1
CD69pos_CD69neg_dn,Insl3
CD69pos_CD69neg_dn,Itga5
CD69pos_CD69neg_dn,Map3K9
CD69pos_CD69neg_dn,Mtcp1
CD69pos_CD69neg_dn,Mtif2
CD69pos_CD69neg_dn,Gadd45B
CD69pos_CD69neg_dn,Myh3
CD69pos_CD69neg_dn,Naga
CD69pos_CD69neg_dn,Nedd4
CD69pos_CD69neg_dn,Nthl1
CD69pos_CD69neg_dn,Pmch
CD69pos_CD69neg_dn,Pms2
CD69pos_CD69neg_dn,Pex5
CD69pos_CD69neg_dn,Rara
CD69pos_CD69neg_dn,Rasa1
CD69pos_CD69neg_dn,Rbbp8
CD69pos_CD69neg_dn,Rln1
CD69pos_CD69neg_dn,Atxn7
CD69pos_CD69neg_dn,Xcl1
CD69pos_CD69neg_dn,Sell
CD69pos_CD69neg_dn,Slc7A1
CD69pos_CD69neg_dn,Vamp1
CD69pos_CD69neg_dn,Taf5
CD69pos_CD69neg_dn,Vipr1
CD69pos_CD69neg_dn,Wnt7A
CD69pos_CD69neg_dn,Gm20541
CD69pos_CD69neg_dn,Sgpl1
CD69pos_CD69neg_dn,Dok2
CD69pos_CD69neg_dn,Mtmr4
CD69pos_CD69neg_dn,Rrp9
CD69pos_CD69neg_dn,Hacd1
CD69pos_CD69neg_dn,Cdyl
CD69pos_CD69neg_dn,Bag3
CD69pos_CD69neg_dn,Rgp1
CD69pos_CD69neg_dn,Nr1D2
CD69pos_CD69neg_dn,Tspan32
CD69pos_CD69neg_dn,Rasgrp2
CD69pos_CD69neg_dn,Maea
CD69pos_CD69neg_dn,Tesk2
CD69pos_CD69neg_dn,Sema4B
CD69pos_CD69neg_dn,Fbln5
CD69pos_CD69neg_dn,Ipo7
CD69pos_CD69neg_dn,Grap
CD69pos_CD69neg_dn,Sec24A
CD69pos_CD69neg_dn,Ripk3
CD69pos_CD69neg_dn,Cacfd1
CD69pos_CD69neg_dn,Kptn
CD69pos_CD69neg_dn,Rasa3
CD69pos_CD69neg_dn,Mon1B
CD69pos_CD69neg_dn,Cluap1
CD69pos_CD69neg_dn,Dmxl2
CD69pos_CD69neg_dn,Szt2
CD69pos_CD69neg_dn,Sun1
CD69pos_CD69neg_dn,Ppp1R13B
CD69pos_CD69neg_dn,Atp13A2
CD69pos_CD69neg_dn,Orc6
CD69pos_CD69neg_dn,Ly96
CD69pos_CD69neg_dn,Gspt2
CD69pos_CD69neg_dn,Zfp473
CD69pos_CD69neg_dn,Rttn
CD69pos_CD69neg_dn,Samhd1
CD69pos_CD69neg_dn,Fam98A
CD69pos_CD69neg_dn,Nectin3
CD69pos_CD69neg_dn,C2Cd2
CD69pos_CD69neg_dn,Bex3
CD69pos_CD69neg_dn,Zfp777
CD69pos_CD69neg_dn,Aste1
CD69pos_CD69neg_dn,Repin1
CD69pos_CD69neg_dn,Gmppb
CD69pos_CD69neg_dn,Gpr132
CD69pos_CD69neg_dn,Strn3
CD69pos_CD69neg_dn,Baz2B
CD69pos_CD69neg_dn,Tbx21
CD69pos_CD69neg_dn,Caly
CD69pos_CD69neg_dn,Klf3
CD69pos_CD69neg_dn,Zfp771
CD69pos_CD69neg_dn,Mbtps2
CD69pos_CD69neg_dn,Fam8A1
CD69pos_CD69neg_dn,Ptrh2
CD69pos_CD69neg_dn,Clic5
CD69pos_CD69neg_dn,Ssh1
CD69pos_CD69neg_dn,Gramd1C
CD69pos_CD69neg_dn,Tet2
CD69pos_CD69neg_dn,Ncapg2
CD69pos_CD69neg_dn,Prmt6
CD69pos_CD69neg_dn,Klhl11
CD69pos_CD69neg_dn,Uevld
CD69pos_CD69neg_dn,Ap5S1
CD69pos_CD69neg_dn,Impact
CD69pos_CD69neg_dn,Cnot11
CD69pos_CD69neg_dn,Zfp280C
CD69pos_CD69neg_dn,Polr3B
CD69pos_CD69neg_dn,Csgalnact1
CD69pos_CD69neg_dn,Pecr
CD69pos_CD69neg_dn,Eif4Enif1
CD69pos_CD69neg_dn,Agpat4
CD69pos_CD69neg_dn,Anks1B
CD69pos_CD69neg_dn,Map3K7Cl
CD69pos_CD69neg_dn,Agtrap
CD69pos_CD69neg_dn,Dolpp1
CD69pos_CD69neg_dn,Zmiz1
CD69pos_CD69neg_dn,Atp10D
CD69pos_CD69neg_dn,Amigo1
CD69pos_CD69neg_dn,Usp35
CD69pos_CD69neg_dn,Plekha1
CD69pos_CD69neg_dn,Xylt1
CD69pos_CD69neg_dn,Nfkbiz
CD69pos_CD69neg_dn,Gzf1
CD69pos_CD69neg_dn,Ccdc136
CD69pos_CD69neg_dn,Ddx31
CD69pos_CD69neg_dn,Nol6
CD69pos_CD69neg_dn,Lbhd1
CD69pos_CD69neg_dn,Tctn1
CD69pos_CD69neg_dn,Ipo4
CD69pos_CD69neg_dn,Hps6
CD69pos_CD69neg_dn,Zfp963
CD69pos_CD69neg_dn,2310057M21Rik
CD69pos_CD69neg_dn,Edem3
CD69pos_CD69neg_dn,Sgpp1
CD69pos_CD69neg_dn,Zfp457
CD69pos_CD69neg_dn,Grwd1
CD69pos_CD69neg_dn,Obscn
CD69pos_CD69neg_dn,Ccdc77
CD69pos_CD69neg_dn,Hps3
CD69pos_CD69neg_dn,Cracr2A
CD69pos_CD69neg_dn,Aifm2
CD69pos_CD69neg_dn,Tox2
CD69pos_CD69neg_dn,Ppp1R3E
CD69pos_CD69neg_dn,Cenpl
CD69pos_CD69neg_dn,Lonrf1
CD69pos_CD69neg_dn,Tada2B
CD69pos_CD69neg_dn,Mfsd3
CD69pos_CD69neg_dn,Ermap
CD69pos_CD69neg_dn,Top1Mt
CD69pos_CD69neg_dn,Agap3
CD69pos_CD69neg_dn,Them4
CD69pos_CD69neg_dn,Spata2L
CD69pos_CD69neg_dn,Rnf19B
CD69pos_CD69neg_dn,I830077J02Rik
CD69pos_CD69neg_dn,Hapln3
CD69pos_CD69neg_dn,Ppm1N
CD69pos_CD69neg_dn,Cep120
CD69pos_CD69neg_dn,Ccdc112
CD69pos_CD69neg_dn,Zkscan16
CD69pos_CD69neg_dn,Adal
CD69pos_CD69neg_dn,Fbxo45
CD69pos_CD69neg_dn,Hyls1
CD69pos_CD69neg_dn,Tbc1D32
CD69pos_CD69neg_dn,Kctd20
CD69pos_CD69neg_dn,Znrf2
CD69pos_CD69neg_dn,Neil2
CD69pos_CD69neg_dn,Zfp683
CD69pos_CD69neg_dn,Spryd4
CD69pos_CD69neg_dn,Zfp69
CD69pos_CD69neg_dn,Spopl
CD69pos_CD69neg_dn,Gen1
CD69pos_CD69neg_dn,Zfp772
CD69pos_CD69neg_dn,Slc25A53
