gs_name,gene_symbol
CD39pos_vs_CD39neg_up,RCAN3
CD39pos_vs_CD39neg_up,CYP2A13
CD39pos_vs_CD39neg_up,ENTPD1
CD39pos_vs_CD39neg_up,HSF1
CD39pos_vs_CD39neg_up,INTS1
CD39pos_vs_CD39neg_up,POU3F2
CD39pos_vs_CD39neg_up,GYG2
CD39pos_vs_CD39neg_up,CTLA4
CD39pos_vs_CD39neg_up,DNASE1L3
CD39pos_vs_CD39neg_up,WNT8B
CD39pos_vs_CD39neg_up,ZNRF4
CD39pos_vs_CD39neg_up,GABRA2
CD39pos_vs_CD39neg_up,SNED1
CD39pos_vs_CD39neg_up,RHBG
CD39pos_vs_CD39neg_up,GJB5
CD39pos_vs_CD39neg_up,GYPC
CD39pos_vs_CD39neg_up,DNMT3L
CD39pos_vs_CD39neg_up,TLR8
CD39pos_vs_CD39neg_up,CHN1
CD39pos_vs_CD39neg_up,DSG3
CD39pos_vs_CD39neg_up,NPM1
CD39pos_vs_CD39neg_up,EPCAM
CD39pos_vs_CD39neg_up,CGB
CD39pos_vs_CD39neg_up,CX3CL1
CD39pos_vs_CD39neg_up,AP2M1
CD39pos_vs_CD39neg_up,CCIN
CD39pos_vs_CD39neg_up,BAI3
CD39pos_vs_CD39neg_up,GH1
CD39pos_vs_CD39neg_up,CD74
CD39pos_vs_CD39neg_up,PRODH2
CD39pos_vs_CD39neg_up,TCEB3
CD39pos_vs_CD39neg_up,PITX3
CD39pos_vs_CD39neg_up,SH3GL1
CD39pos_vs_CD39neg_up,LMCD1
CD39pos_vs_CD39neg_up,MYO9B
CD39pos_vs_CD39neg_up,C7orf26
CD39pos_vs_CD39neg_up,CC2D2B
CD39pos_vs_CD39neg_up,SPOCK3
CD39pos_vs_CD39neg_up,FABP4
CD39pos_vs_CD39neg_up,SLC6A14
CD39pos_vs_CD39neg_up,TRIB1
CD39pos_vs_CD39neg_up,AZGP1P1
CD39pos_vs_CD39neg_up,GTPBP10
CD39pos_vs_CD39neg_up,CD79A
CD39pos_vs_CD39neg_up,MRAS
CD39pos_vs_CD39neg_up,FOLR2
CD39pos_vs_CD39neg_up,POLR1E
CD39pos_vs_CD39neg_up,TIAM1
CD39pos_vs_CD39neg_up,SLITRK5
CD39pos_vs_CD39neg_up,AGPAT3
CD39pos_vs_CD39neg_up,DEAF1
CD39pos_vs_CD39neg_up,HAPLN2
CD39pos_vs_CD39neg_up,MYO7B
CD39pos_vs_CD39neg_up,AGPAT2
CD39pos_vs_CD39neg_up,SEC13
CD39pos_vs_CD39neg_up,ADRA1D
CD39pos_vs_CD39neg_up,MLLT1
CD39pos_vs_CD39neg_up,C19orf6
CD39pos_vs_CD39neg_up,PRKAR1B
CD39pos_vs_CD39neg_up,LPAR1
CD39pos_vs_CD39neg_up,TRPV6
CD39pos_vs_CD39neg_up,BUB1
CD39pos_vs_CD39neg_up,PCSK2
CD39pos_vs_CD39neg_up,SYNJ2
CD39pos_vs_CD39neg_up,DLGAP2
CD39pos_vs_CD39neg_up,FLJ13224
CD39pos_vs_CD39neg_up,SBNO2
CD39pos_vs_CD39neg_up,DSC2
CD39pos_vs_CD39neg_up,HLX
CD39pos_vs_CD39neg_up,TNNT1
CD39pos_vs_CD39neg_up,TNFRSF25
CD39pos_vs_CD39neg_up,NOX1
CD39pos_vs_CD39neg_up,RRP1B
CD39pos_vs_CD39neg_up,CNOT3
CD39pos_vs_CD39neg_up,ETV1
CD39pos_vs_CD39neg_up,RFX2
CD39pos_vs_CD39neg_up,DLG1
CD39pos_vs_CD39neg_up,AP3D1
CD39pos_vs_CD39neg_up,F3
CD39pos_vs_CD39neg_up,ZEB1
CD39pos_vs_CD39neg_up,CAMK4
CD39pos_vs_CD39neg_up,LMTK2
CD39pos_vs_CD39neg_up,MAP2K2
CD39pos_vs_CD39neg_up,MOBP
CD39pos_vs_CD39neg_up,SPANXA1
CD39pos_vs_CD39neg_up,SLC22A14
CD39pos_vs_CD39neg_up,CNTFR
CD39pos_vs_CD39neg_up,CD28
CD39pos_vs_CD39neg_up,CDH7
CD39pos_vs_CD39neg_up,NGFRAP1
CD39pos_vs_CD39neg_up,NAB2
CD39pos_vs_CD39neg_up,CDKN1C
CD39pos_vs_CD39neg_up,OBSL1
CD39pos_vs_CD39neg_up,FLG
CD39pos_vs_CD39neg_up,ASNA1
CD39pos_vs_CD39neg_up,UBE2S
CD39pos_vs_CD39neg_up,EPB41
CD39pos_vs_CD39neg_up,OGDH
CD39pos_vs_CD39neg_up,KCNJ16
CD39pos_vs_CD39neg_up,TRAF3IP1
CD39pos_vs_CD39neg_up,IQSEC3
CD39pos_vs_CD39neg_up,GAST
CD39pos_vs_CD39neg_up,PASK
CD39pos_vs_CD39neg_up,MED15
CD39pos_vs_CD39neg_up,A4GALT
CD39pos_vs_CD39neg_up,DIO3
CD39pos_vs_CD39neg_up,GREB1
CD39pos_vs_CD39neg_up,C9orf53
CD39pos_vs_CD39neg_up,MMP26
CD39pos_vs_CD39neg_up,POU2AF1
CD39pos_vs_CD39neg_up,HSPB3
CD39pos_vs_CD39neg_up,HOXD3
CD39pos_vs_CD39neg_up,NOS2
CD39pos_vs_CD39neg_up,ZC2HC1A
CD39pos_vs_CD39neg_up,CYP4F11
CD39pos_vs_CD39neg_up,NR2F2
CD39pos_vs_CD39neg_up,LIMD2
CD39pos_vs_CD39neg_up,AKAP6
CD39pos_vs_CD39neg_up,GADD45GIP1
CD39pos_vs_CD39neg_up,LILRB4
CD39pos_vs_CD39neg_up,LYL1
CD39pos_vs_CD39neg_up,PAX3
CD39pos_vs_CD39neg_up,GUCY1A2
CD39pos_vs_CD39neg_up,ANKRD2
CD39pos_vs_CD39neg_up,PDIA5
CD39pos_vs_CD39neg_up,HLA-DOA
CD39pos_vs_CD39neg_up,ESPN
CD39pos_vs_CD39neg_up,CLK3
CD39pos_vs_CD39neg_up,USE1
CD39pos_vs_CD39neg_up,RPL4
CD39pos_vs_CD39neg_up,RFPL2
CD39pos_vs_CD39neg_up,ARNT2
CD39pos_vs_CD39neg_up,CDX1
CD39pos_vs_CD39neg_up,MID1IP1
CD39pos_vs_CD39neg_up,CCDC40
CD39pos_vs_CD39neg_up,CPNE7
CD39pos_vs_CD39neg_up,CCNL2
CD39pos_vs_CD39neg_up,CCDC94
CD39pos_vs_CD39neg_up,EDF1
CD39pos_vs_CD39neg_up,GDF10
CD39pos_vs_CD39neg_up,ATXN3L
CD39pos_vs_CD39neg_up,GPRC5A
CD39pos_vs_CD39neg_up,GNA15
CD39pos_vs_CD39neg_up,RFX1
CD39pos_vs_CD39neg_up,PARD6A
CD39pos_vs_CD39neg_up,CSF1
CD39pos_vs_CD39neg_up,UXS1
CD39pos_vs_CD39neg_up,BRD4
CD39pos_vs_CD39neg_up,KRT18
CD39pos_vs_CD39neg_up,SLC15A1
CD39pos_vs_CD39neg_up,CYP1A1
CD39pos_vs_CD39neg_up,MIR1204
CD39pos_vs_CD39neg_up,MAGEB1
CD39pos_vs_CD39neg_up,KRT20
