UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	135
0	51
217	181
16	12
0	0
10	23
5	0
3	3
2	3
20	7
0	25
6	30
1	21
0	4
0	0
0	15
17	0
4	4
9	5
1	0
0	2
17	3
3	0
22	78
9	0
1	16
2	3
20	29
1	40
1	2
21	0
25	0
0	0
0	0
3	5
18	94
125	325
48	0
15	18
10	7
55	0
101	0
97	0
2	7
0	0
9	26
58	42
256	0
244	51
158	66
181	82
72	0
108	5
595	0
0	36
59	6
0	29
51	0
102	7
0	0
13	54
0	135
22	54
150	0
19	41
22	0
38	0
16	0
40	0
24	0
20	0
20	0
4	0
13	0
19	0
23	0
16	0
4	0
61	12
0	12
14	0
6	0
5	0
0	0
6	0
21	0
0	0
7	0
3	0
7	0
10	0
2	0
7	0
7	0
0	0
2	0
2	0
15	36
11	29
1	51
0	181
0	12
0	0
0	23
0	3
4	25
32	31
4	21
0	5
0	0
9	15
0	2
6	78
2	16
7	40
0	2
0	0
0	5
0	94
0	325
0	18
0	7
0	7
25	0
471	0
65	0
31	0
188	0
44	0
53	0
0	0
17	0
0	0
21	0
18	0
65	41
33	0
71	0
0	2
0	33
0	60
0	62
0	96
0	34
0	12
0	7
0	55
0	60
0	0
0	0
0	0
0	0
0	1
0	0
1	3
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	3
0	3
4	13
1	19
0	2
0	19
0	1
0	1
0	1
0	1
0	14
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
0	0
0	0
0	64
0	66
0	59
0	64
0	0
0	1301
0	1301
0	0
0	0
0	16
0	15
1	4
0	1
0	1
0	16
0	0
0	0
5	365
0	0
0	1
0	2
0	1
0	2
0	0
0	0
0	1
3	66
0	0
0	1
0	0
0	1
0	4
0	17
0	8
2	16
0	7
0	7
4	2
0	1
2	2
0	16
4	17
0	33
0	50
0	53
0	26
0	9
0	51
0	51
0	0
0	3
0	1
0	3
0	1
0	3
0	3
0	1
0	2
0	2
0	2
0	2
0	3
0	15
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	15
0	15
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	15
0	605
5	569
3	451
0	318
0	205
0	547
0	0
0	0
0	0
0	0
0	0
0	0
0	35
0	35
0	0
0	34
0	61
0	63
0	97
0	35
