,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,Description,T.8Nve.Sp.OT1#3,T.8Nve.Sp.OT1#4,T.8Nve.Sp.OT1#5,T.8Eff.Sp.OT1.d5.VSVOva#1,T.8Eff.Sp.OT1.d5.VSVOva#2,T.8Eff.Sp.OT1.d5.VSVOva#4,T.8Eff.Sp.OT1.d6.VSVOva#1,T.8Eff.Sp.OT1.d6.VSVOva#3,T.8Eff.Sp.OT1.d6.VSVOva#4,T.8Eff.Sp.OT1.d8.VSVOva#2,T.8Eff.Sp.OT1.d8.VSVOva#3,T.8Eff.Sp.OT1.d8.VSVOva#4,T.8Eff.Sp.OT1.d15.VSVOva#3,T.8Eff.Sp.OT1.d15.VSVOva#4,T.8Mem.Sp.OT1.d45.VSVOva#1,T.8Mem.Sp.OT1.d45.VSVOva#2,T.8Mem.Sp.OT1.d45.VSVOva#3,T.8Mem.Sp.OT1.d106.VSVOva#2,T.8Mem.Sp.OT1.d106.VSVOva#3,T.8Eff.Sp.OT1.12hr.LisOva#1,T.8Eff.Sp.OT1.24hr.LisOva#1,T.8Eff.Sp.OT1.24hr.LisOva#2,T.8Eff.Sp.OT1.48hr.LisOva#1,T.8Eff.Sp.OT1.d6.LisOva#1,T.8Eff.Sp.OT1.d6.LisOva#2,T.8Eff.Sp.OT1.d6.LisOva#3,T.8Eff.Sp.OT1.d8.LisOva#1,T.8Eff.Sp.OT1.d8.LisOva#2,T.8Eff.Sp.OT1.d8.LisOva#3,T.8Eff.Sp.OT1.d10.LisOva#1,T.8Eff.Sp.OT1.d10.LisOva#2,T.8Eff.Sp.OT1.d10.LisOva#3,T.8Eff.Sp.OT1.d15.LisOva#1,T.8Eff.Sp.OT1.d15.LisOva#2,T.8Eff.Sp.OT1.d15.LisOva#3,T.8Mem.Sp.OT1.d45.LisOva#1,T.8Mem.Sp.OT1.d45.LisOva#3,T.8Mem.Sp.OT1.d100.LisOva#1,T.8Mem.Sp.OT1.d100.LisOva#3,T.8Mem.Sp.OT1.d100.LisOva#4,T.8Eff.Sp.tet.d8.LisOva#1,T.8Eff.Sp.tet.d8.LisOva#2,T.8Eff.Sp.tet.d45.LisOva#1,T.8Eff.Sp.tet.d45.LisOva#2
I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10346790,Ctla4,40.7754,47.2708,40.0734,165.1409,157.363,298.2884,157.6499,173.6129,223.1667,100.1398,120.1474,109.691,78.1669,110.0573,112.3431,105.4936,77.6351,171.4871,99.1266,719.2497,229.6564,235.157,256.3966,94.5139,76.985,84.0192,56.4957,50.8239,53.8372,51.5056,54.4454,60.6638,56.1004,47.9254,53.6485,60.8795,49.536,55.0735,51.8889,43.4025,80.2323,88.145,47.0899,79.0528
,10355984,Serpine2,31.2954,33.3092,27.0064,36.6182,41.6717,37.5128,36.5113,30.61,32.0951,33.7083,33.7923,35.1596,39.5533,31.184,32.0121,29.2499,32.2736,31.7837,49.4962,500.486,168.2899,119.3636,51.6902,31.4566,33.418,33.6457,37.5258,36.7334,33.5909,34.1649,35.2401,40.7411,47.2266,38.2565,31.8662,32.0194,29.9825,30.3535,36.8295,35.3584,32.6949,31.9091,26.4987,39.0022
,10359697,Xcl1,54.1793,71.7234,54.9035,95.1855,74.5333,57.7642,73.4055,71.6565,55.7033,52.3063,69.5568,68.3313,59.2332,99.5704,158.5759,178.0996,156.4838,138.4567,146.3512,1179.5255,1440.1529,2085.6321,164.0733,46.9569,53.719,42.8569,54.9195,62.4244,47.8387,40.1917,54.7995,59.8645,58.8618,53.2173,66.1458,70.6784,80.8567,105.7279,151.1151,165.3352,42.1193,47.4291,147.1917,92.0017
,10364950,Gadd45b,142.623,173.6982,156.8917,233.8685,224.0212,204.7095,135.2389,165.7825,211.5376,200.165,195.3199,199.1393,183.1373,118.1351,151.9084,180.8516,256.9781,204.0413,146.5381,1645.9424,1603.513,1514.2406,504.0962,273.4801,230.5466,241.2937,226.6601,280.7666,189.8181,261.1994,218.6269,235.1512,242.2651,189.334,167.7871,220.0267,244.07,143.6291,153.2219,138.1152,299.7897,294.3472,202.9406,156.5936
,10366586,Ifng,37.7728,37.0062,42.5639,104.1368,134.6948,124.9862,102.7374,128.9326,150.5187,134.7604,113.4168,105.0141,124.5074,121.1851,299.3905,126.5272,170.3268,528.0675,165.2521,6038.816,3279.0732,2967.957,170.2625,290.9264,274.2539,167.5111,156.6982,156.4108,163.9361,216.8034,158.1258,218.341,170.2751,165.8294,127.6411,500.1715,193.7078,136.5834,135.9121,113.5978,213.4086,251.4072,230.7742,190.5875
,10373918,Lif,37.4557,38.6627,32.9211,38.0351,37.4919,37.9252,65.9158,44.3089,46.4151,44.0063,45.2714,43.8644,75.7366,33.2048,56.1829,45.7353,59.8912,39.9182,51.3067,1120.3102,634.4918,673.8653,89.3124,43.4126,47.0817,34.9794,41.1653,46.7456,44.4943,48.5442,46.9533,44.0669,34.2453,60.5873,36.128,53.4947,45.8528,47.8509,40.4069,48.8149,40.8151,30.5616,41.2619,46.0914
,10379721,Ccl4,47.8366,49.589,63.8669,65.3018,59.3385,61.6248,74.8487,69.4121,79.5849,127.6986,86.1873,120.1499,93.9272,103.7822,127.8806,117.9308,119.1222,149.6788,109.8356,1299.8398,733.5372,691.9795,86.0947,70.3836,100.2292,87.5666,108.1543,104.8733,104.0605,149.1049,138.9982,105.901,117.7908,78.2694,102.4503,155.5283,142.9823,84.2125,113.7335,99.0359,153.821,192.438,108.0265,118.6982
,10385918,Il3,16.8311,16.9028,14.0063,16.344,22.621,15.7489,17.1087,16.5022,20.3492,16.2021,21.7194,15.2159,21.1089,16.5073,17.9381,23.0922,26.8325,17.2491,16.12,1664.0602,403.3076,429.7224,19.2399,16.9327,18.9046,18.75,15.252,19.0663,27.3838,14.2347,24.855,31.771,18.9717,22.5184,18.8735,27.391,17.4665,17.88,14.0956,17.9953,21.4589,15.6102,13.7129,20.3118
,10389231,Ccl3,40.5161,66.6532,46.8434,223.9723,154.9818,265.3625,184.8119,257.5095,374.0995,411.6347,344.6503,289.4962,192.5801,260.1223,475.8077,296.4645,201.0488,371.5812,155.0425,5824.8652,3780.8397,3694.1373,537.5103,217.3502,333.5768,323.1012,258.0961,255.5942,204.7951,334.4723,297.3057,201.608,189.7398,168.4308,286.9906,653.9437,449.3195,165.3085,230.5851,211.6127,763.8879,683.2814,335.1011,369.3266
