gs_name,gene_symbol
IFN-Response,Slc37A3
IFN-Response,Ralb
IFN-Response,Tnfsf10
IFN-Response,Tap2
IFN-Response,Socs1
IFN-Response,Parp10
IFN-Response,Usp18
IFN-Response,Plpp1
IFN-Response,Trim21
IFN-Response,Taf4B
IFN-Response,Bst2
IFN-Response,Ces4A
IFN-Response,Herc6
IFN-Response,Eif2Ak2
IFN-Response,Rtp4
IFN-Response,Apol8
IFN-Response,Lpp
IFN-Response,Sp110
Proliferation,Pycr1
Proliferation,Npw
Proliferation,Lif
Proliferation,Il2
Proliferation,Slc29A1
Proliferation,Gins2
Proliferation,Odc1
Proliferation,Cenpv
Proliferation,Gal
Proliferation,Hpdl
Proliferation,Nme1
Proliferation,Fabp5
Proliferation,Cd3Eap
Proliferation,Nln
Proliferation,Polr3G
Proliferation,Kcnk15
Proliferation,Gjb6
Proliferation,Nop16
Proliferation,Dll3
Proliferation,Ccdc86
Proliferation,Cdc20
Proliferation,Mettl1
Proliferation,Atad3A
Proliferation,Uck2
Proliferation,Srm
Proliferation,Tomm40
Proliferation,Eif4Ebp1
Proliferation,Rrp9
Proliferation,Ankle1
Proliferation,Ebna1Bp2
Proliferation,Tmem97
Proliferation,Orc6
Proliferation,Mrto4
Proliferation,Bop1
Proliferation,G0S2
Proliferation,F12
Proliferation,Wdr4
Proliferation,Fosl1
Proliferation,Pus7
Proliferation,Ece2
Proliferation,Gck
Proliferation,Pdss1
Proliferation,Tmem52
Proliferation,Fkbp4
Proliferation,Mrpl12
Proliferation,Atad3A
Proliferation,Dgat2
Proliferation,Rpp25
Proliferation,Cenpn
Proliferation,Polr3H
Proliferation,Mfsd2A
Proliferation,Tlcd1
Proliferation,Chek1
Proliferation,Nolc1
Proliferation,Ifrd2
Proliferation,Cyp27B1
Proliferation,Ankrd13B
Proliferation,Cks2
Proliferation,Ddias
Proliferation,Ctps
Proliferation,Ttll12
Proliferation,Hspe1
Proliferation,Sh2D4A
Proliferation,Yrdc
Proliferation,Trap1
Proliferation,Timm8A1
CD8-cytotoxic,Ccl5
CD8-cytotoxic,Gzmk
CD8-cytotoxic,1700025G04Rik
CD8-cytotoxic,Fcgr4
CD8-cytotoxic,Ptgdr
CD8-cytotoxic,Klrc2
CD8-cytotoxic,Eomes
CD8-cytotoxic,S1Pr5
CD8-cytotoxic,Clic3
CD8-cytotoxic,Aoah
CD8-cytotoxic,Cadm1
CD8-cytotoxic,Dthd1
CD8-cytotoxic,Samd3
CD8-cytotoxic,Zfp683
CD8-cytotoxic,Klrd1
