gs_name,ensembl_id,gene_symbol
Classical monocytes,ENSG00000157168.14,Nrg1
Classical monocytes,ENSG00000179593.11,Alox8
Classical monocytes,ENSG00000161944.12,Asgr2
Classical monocytes,ENSG00000166527.3,Clec4D
Classical monocytes,ENSG00000177575.8,Cd163
Classical monocytes,ENSG00000197632.4,Serpinb2
Classical monocytes,ENSG00000205846.3,Clec4N
Classical monocytes,ENSG00000166523.3,Clec4E
Classical monocytes,ENSG00000010327.6,Stab1
Classical monocytes,ENSG00000242550.1,Serpinb10
Classical monocytes,ENSG00000124491.11,F13A1
Classical monocytes,ENSG00000112715.16,Vegfa
Classical monocytes,ENSG00000108691.5,Ccl2
Classical monocytes,ENSG00000157445.10,Cacna2D3
Classical monocytes,ENSG00000154736.5,Adamts5
Classical monocytes,ENSG00000127954.8,Steap4
Classical monocytes,ENSG00000158270.10,Colec12
Classical monocytes,ENSG00000257017.4,Hp
Classical monocytes,ENSG00000121807.5,Ccr2
Classical monocytes,ENSG00000117115.8,Padi2
Classical monocytes,ENSG00000146070.12,Pla2G7
Classical monocytes,ENSG00000172037.9,Lamb2
Classical monocytes,ENSG00000258227.2,Clec5A
Classical monocytes,ENSG00000173391.4,Olr1
Classical monocytes,ENSG00000213694.3,S1Pr3
Classical monocytes,ENSG00000073150.9,Panx2
Classical monocytes,ENSG00000004809.9,Slc22A16
Classical monocytes,ENSG00000135929.4,Cyp27A1
Classical monocytes,ENSG00000103196.7,Crispld2
Classical monocytes,ENSG00000165685.4,Tmem52B
Classical monocytes,ENSG00000115828.11,Qpct
Classical monocytes,ENSG00000167600.9,Cyp2S1
Classical monocytes,ENSG00000101425.8,Bpi
Classical monocytes,ENSG00000128283.6,Cdc42Ep1
Classical monocytes,ENSG00000164509.9,Il31Ra
Classical monocytes,ENSG00000170458.9,Cd14
Classical monocytes,ENSG00000143546.5,S100A8
Classical monocytes,ENSG00000198848.8,Ces1A
Classical monocytes,ENSG00000175592.4,Fosl1
Classical monocytes,ENSG00000001617.7,Sema3F
Classical monocytes,ENSG00000123342.11,Mmp19
Classical monocytes,ENSG00000100079.5,Lgals2
Classical monocytes,ENSG00000125538.7,Il1B
Classical monocytes,ENSG00000184292.5,Tacstd2
Classical monocytes,ENSG00000111199.6,Trpv4
Classical monocytes,ENSG00000133105.3,Rxfp2
Classical monocytes,ENSG00000133317.10,Lgals12
Classical monocytes,ENSG00000155659.10,Vsig4
Classical monocytes,ENSG00000214274.5,Ang
Classical monocytes,ENSG00000115590.9,Il1R2
Classical monocytes,ENSG00000134769.17,Dtna
Classical monocytes,ENSG00000137726.11,Fxyd6
Classical monocytes,ENSG00000137801.9,Thbs1
Classical monocytes,ENSG00000169385.2,Rnase2A
Classical monocytes,ENSG00000115009.7,Ccl20
Classical monocytes,ENSG00000165474.5,Gjb2
Classical monocytes,ENSG00000132514.9,Clec10A
Classical monocytes,ENSG00000038427.11,Vcan
Classical monocytes,ENSG00000115594.7,Il1R1
Classical monocytes,ENSG00000165092.8,Aldh1A1
Classical monocytes,ENSG00000157551.13,Kcnj15
Classical monocytes,ENSG00000124882.3,Ereg
Classical monocytes,ENSG00000249992.1,Tmem158
Classical monocytes,ENSG00000134531.5,Emp1
Classical monocytes,ENSG00000137474.15,Myo7A
Classical monocytes,ENSG00000122861.11,Plau
Classical monocytes,ENSG00000163220.10,S100A9
Classical monocytes,ENSG00000088827.8,Siglec1
Classical monocytes,ENSG00000181649.5,Phlda2
Classical monocytes,ENSG00000163421.4,Prok2
Classical monocytes,ENSG00000179639.6,Fcer1A
Classical monocytes,ENSG00000146592.12,Creb5
Classical monocytes,ENSG00000152315.4,Kcnk13
Classical monocytes,ENSG00000116729.9,Wls
Classical monocytes,ENSG00000013588.5,Gprc5A
Classical monocytes,ENSG00000136630.11,Hlx
Classical monocytes,ENSG00000153012.7,Lgi2
Classical monocytes,ENSG00000008394.8,Mgst1
Classical monocytes,ENSG00000167680.11,Sema6B
Classical monocytes,ENSG00000088826.13,Smox
Classical monocytes,ENSG00000110077.10,Ms4A6B
Classical monocytes,ENSG00000166033.7,Htra1
Classical monocytes,ENSG00000091262.10,Abcc6
Classical monocytes,ENSG00000081041.8,Cxcl1
Classical monocytes,ENSG00000115598.5,Il1Rl2
Classical monocytes,ENSG00000099250.13,Nrp1
Classical monocytes,ENSG00000124145.5,Sdc4
Classical monocytes,ENSG00000090659.13,Cd209A
Classical monocytes,ENSG00000159339.9,Padi4
Classical monocytes,ENSG00000139572.3,Gpr84
Classical monocytes,ENSG00000136634.5,Il10
Classical monocytes,ENSG00000175262.10,Gm572
Classical monocytes,ENSG00000177535.6,Olfr222
Classical monocytes,ENSG00000143067.4,Zfp697
