gs_name,ensembl_id,gene_symbol
Naïve CD4+ T cells,ENSG00000259056.1,DUXAP1
Naïve CD4+ T cells,ENSG00000107447.4,DNTT
Naïve CD4+ T cells,ENSG00000082397.11,EPB41L3
Naïve CD4+ T cells,ENSG00000152990.9,GPR125
Naïve CD4+ T cells,ENSG00000173114.8,LRRN3
Naïve CD4+ T cells,ENSG00000121570.8,DPPA4
Naïve CD4+ T cells,ENSG00000232208.2,RP3-477M7.5
Naïve CD4+ T cells,ENSG00000248227.1,RP11-83C7.1
Naïve CD4+ T cells,ENSG00000165617.10,DACT1
Naïve CD4+ T cells,ENSG00000075340.18,ADD2
Naïve CD4+ T cells,ENSG00000134765.5,DSC1
Naïve CD4+ T cells,ENSG00000123843.8,C4BPB
Naïve CD4+ T cells,ENSG00000102755.6,FLT1
Naïve CD4+ T cells,ENSG00000165659.12,DACH1
Naïve CD4+ T cells,ENSG00000091129.15,NRCAM
Naïve CD4+ T cells,ENSG00000170484.5,KRT74
Naïve CD4+ T cells,ENSG00000135919.8,SERPINE2
Naïve CD4+ T cells,ENSG00000131686.10,CA6
Naïve CD4+ T cells,ENSG00000152894.10,PTPRK
Naïve CD4+ T cells,ENSG00000170486.6,KRT72
Naïve CD4+ T cells,ENSG00000124766.4,SOX4
Naïve CD4+ T cells,ENSG00000134986.9,NREP
Naïve CD4+ T cells,ENSG00000075213.6,SEMA3A
Naïve CD4+ T cells,ENSG00000102934.5,PLLP
Naïve CD4+ T cells,ENSG00000164292.8,RHOBTB3
Naïve CD4+ T cells,ENSG00000238241.1,CCR12P
Naïve CD4+ T cells,ENSG00000110446.5,SLC15A3
Naïve CD4+ T cells,ENSG00000169902.9,TPST1
Naïve CD4+ T cells,ENSG00000170485.12,NPAS2
Naïve CD4+ T cells,ENSG00000184385.2,C21orf128
Naïve CD4+ T cells,ENSG00000225632.1,RP5-997D24.3
Naïve CD4+ T cells,ENSG00000186049.4,KRT73
Naïve CD4+ T cells,ENSG00000257495.1,RP11-641A6.2
Naïve CD4+ T cells,ENSG00000129270.11,MMP28
Naïve CD4+ T cells,ENSG00000160307.5,S100B
Naïve CD4+ T cells,ENSG00000139610.1,CELA1
Naïve CD4+ T cells,ENSG00000156395.8,SORCS3
Naïve CD4+ T cells,ENSG00000254362.1,RP11-14I17.3
Naïve CD4+ T cells,ENSG00000153064.7,BANK1
Naïve CD4+ T cells,ENSG00000176728.3,TTTY14
Naïve CD4+ T cells,ENSG00000179031.8,LL0XNC01-131B10.2
Naïve CD4+ T cells,ENSG00000167191.7,GPRC5B
Naïve CD4+ T cells,ENSG00000174807.3,CD248
Naïve CD4+ T cells,ENSG00000182489.7,XKRX
Naïve CD4+ T cells,ENSG00000136960.8,ENPP2
Naïve CD4+ T cells,ENSG00000165730.10,STOX1
Naïve CD4+ T cells,ENSG00000246859.2,STARD4-AS1
Naïve CD4+ T cells,ENSG00000238922.1,snoU13
Naïve CD4+ T cells,ENSG00000233680.4,HNRNPA1P27
Naïve CD4+ T cells,ENSG00000258120.1,KRT128P
Naïve CD4+ T cells,ENSG00000172867.3,KRT2
Naïve CD4+ T cells,ENSG00000235010.1,RP11-140A10.3
Naïve CD4+ T cells,ENSG00000230006.3,ANKRD36BP2
Naïve CD4+ T cells,ENSG00000100721.6,TCL1A
Naïve CD4+ T cells,ENSG00000111261.9,MANSC1
Naïve CD4+ T cells,ENSG00000134716.5,CYP2J2
Naïve CD4+ T cells,ENSG00000261685.2,RP11-401P9.4
Naïve CD4+ T cells,ENSG00000035720.3,STAP1
Naïve CD4+ T cells,ENSG00000149054.10,ZNF215
Naïve CD4+ T cells,ENSG00000064886.9,CHI3L2
Naïve CD4+ T cells,ENSG00000121578.8,B4GALT4
Naïve CD4+ T cells,ENSG00000172296.8,SPTLC3
Naïve CD4+ T cells,ENSG00000112799.4,LY86
Naïve CD4+ T cells,ENSG00000179855.5,GIPC3
Naïve CD4+ T cells,ENSG00000196092.8,PAX5
Naïve CD4+ T cells,ENSG00000230101.4,TUBB3P2
Naïve CD4+ T cells,ENSG00000070614.10,NDST1
Naïve CD4+ T cells,ENSG00000148498.11,PARD3
Naïve CD4+ T cells,ENSG00000186854.6,TRABD2A
Naïve CD4+ T cells,ENSG00000261097.1,LINC00563
Naïve CD4+ T cells,ENSG00000070018.4,LRP6
Naïve CD4+ T cells,ENSG00000079691.15,LRRC16A
Naïve CD4+ T cells,ENSG00000099139.9,PCSK5
Naïve CD4+ T cells,ENSG00000143412.5,ANXA9
Naïve CD4+ T cells,ENSG00000158966.9,CACHD1
Naïve CD4+ T cells,ENSG00000100181.17,TPTEP1
Naïve CD4+ T cells,ENSG00000238840.1,U8
Naïve CD4+ T cells,ENSG00000204472.8,AIF1
Naïve CD4+ T cells,ENSG00000012124.10,CD22
Naïve CD4+ T cells,ENSG00000259097.1,RP11-61O1.1
Naïve CD4+ T cells,ENSG00000092621.7,PHGDH
Naïve CD4+ T cells,ENSG00000226070.1,RP11-552E20.4
Naïve CD4+ T cells,ENSG00000211663.2,IGLV3-19
Naïve CD4+ T cells,ENSG00000215475.3,SIAH3
Naïve CD4+ T cells,ENSG00000136636.8,KCTD3
Naïve CD4+ T cells,ENSG00000151632.12,AKR1C2
Naïve CD4+ T cells,ENSG00000115423.14,DNAH6
Naïve CD4+ T cells,ENSG00000134193.10,REG4
Naïve CD4+ T cells,ENSG00000006638.7,TBXA2R
Naïve CD4+ T cells,ENSG00000140807.4,NKD1
Naïve CD4+ T cells,ENSG00000065621.10,GSTO2
Naïve CD4+ T cells,ENSG00000258565.1,BLZF2P
Naïve CD4+ T cells,ENSG00000163736.3,PPBP
Naïve CD4+ T cells,ENSG00000187912.7,CLEC17A
Naïve CD4+ T cells,ENSG00000270972.1,RP11-326C3.15
Naïve CD4+ T cells,ENSG00000070081.11,NUCB2
Naïve CD4+ T cells,ENSG00000213366.8,GSTM2
Naïve CD4+ T cells,ENSG00000081189.9,MEF2C
Naïve CD4+ T cells,ENSG00000132465.6,IGJ
Naïve CD4+ T cells,ENSG00000134247.9,PTGFRN
Naïve CD4+ T cells,ENSG00000228261.1,RP11-127L20.3
Naïve CD4+ T cells,ENSG00000104921.10,FCER2
Naïve CD4+ T cells,ENSG00000126947.7,ARMCX1
Naïve CD4+ T cells,ENSG00000189283.5,FHIT
Naïve CD4+ T cells,ENSG00000138756.13,BMP2K
Naïve CD4+ T cells,ENSG00000141150.3,RASL10B
Naïve CD4+ T cells,ENSG00000172292.10,CERS6
Naïve CD4+ T cells,ENSG00000243853.1,ALDH7A1P3
Naïve CD4+ T cells,ENSG00000175287.14,PHYHD1
Naïve CD4+ T cells,ENSG00000207087.1,RNU6-242P
Naïve CD4+ T cells,ENSG00000178732.4,GP5
Naïve CD4+ T cells,ENSG00000187134.8,AKR1C1
Naïve CD4+ T cells,ENSG00000204092.2,LINC00951
Naïve CD4+ T cells,ENSG00000213468.3,RP11-453F18__B.1
