gs_name,ensembl_id,gene_symbol
Classical monocytes,ENSG00000272327.1,RP11-1002K11.1
Classical monocytes,ENSG00000157168.14,NRG1
Classical monocytes,ENSG00000179593.11,ALOX15B
Classical monocytes,ENSG00000161944.12,ASGR2
Classical monocytes,ENSG00000166527.3,CLEC4D
Classical monocytes,ENSG00000177575.8,CD163
Classical monocytes,ENSG00000197632.4,SERPINB2
Classical monocytes,ENSG00000205846.3,CLEC6A
Classical monocytes,ENSG00000166523.3,CLEC4E
Classical monocytes,ENSG00000010327.6,STAB1
Classical monocytes,ENSG00000242550.1,SERPINB10
Classical monocytes,ENSG00000238152.2,OR7E140P
Classical monocytes,ENSG00000163221.7,S100A12
Classical monocytes,ENSG00000124491.11,F13A1
Classical monocytes,ENSG00000112715.16,VEGFA
Classical monocytes,ENSG00000108691.5,CCL2
Classical monocytes,ENSG00000157445.10,CACNA2D3
Classical monocytes,ENSG00000154736.5,ADAMTS5
Classical monocytes,ENSG00000127954.8,STEAP4
Classical monocytes,ENSG00000158270.10,COLEC12
Classical monocytes,ENSG00000257017.4,HP
Classical monocytes,ENSG00000121807.5,CCR2
Classical monocytes,ENSG00000233895.1,RP1-122P22.2
Classical monocytes,ENSG00000117115.8,PADI2
Classical monocytes,ENSG00000251127.2,RP11-280G9.1
Classical monocytes,ENSG00000254528.3,RP11-728F11.4
Classical monocytes,ENSG00000146070.12,PLA2G7
Classical monocytes,ENSG00000172037.9,LAMB2
Classical monocytes,ENSG00000170955.9,PRKCDBP
Classical monocytes,ENSG00000228058.1,RP11-552D4.1
Classical monocytes,ENSG00000258227.2,CLEC5A
Classical monocytes,ENSG00000173391.4,OLR1
Classical monocytes,ENSG00000213694.3,S1PR3
Classical monocytes,ENSG00000073150.9,PANX2
Classical monocytes,ENSG00000260188.1,CTA-331P3.1
Classical monocytes,ENSG00000264868.1,CTB-167B5.2
Classical monocytes,ENSG00000272555.1,RP11-459I19.1
Classical monocytes,ENSG00000004809.9,SLC22A16
Classical monocytes,ENSG00000181577.11,C6orf223
Classical monocytes,ENSG00000135929.4,CYP27A1
Classical monocytes,ENSG00000183019.3,C19orf59
Classical monocytes,ENSG00000103196.7,CRISPLD2
Classical monocytes,ENSG00000165685.4,TMEM52B
