Run,Cell_type,Name,source_name
SRR6997703,DP,DP_1,CD8+ T cell IL-7RahiKLRG1hi
SRR6997707,DP,DP_2,CD8+ T cell IL-7RahiKLRG1hi
SRR6997711,DP,DP_3,CD8+ T cell IL-7RahiKLRG1hi
SRR6997713,DP,DP_4,CD8+ T cell IL-7RahiKLRG1hi
SRR6997717,DP,DP_5,CD8+ T cell IL-7RahiKLRG1hi
SRR6997705,EE,EE_1,CD8+ T cell IL-7RaloKLRG1lo
SRR6997715,EE,EE_2,CD8+ T cell IL-7RaloKLRG1lo
SRR6997719,EE,EE_3,CD8+ T cell IL-7RaloKLRG1lo
SRR6997706,MP,MP_1,CD8+ T cell IL-7RahiKLRG1lo
SRR6997709,MP,MP_2,CD8+ T cell IL-7RahiKLRG1lo
SRR6997710,MP,MP_3,CD8+ T cell IL-7RahiKLRG1lo
SRR6997712,MP,MP_4,CD8+ T cell IL-7RahiKLRG1lo
SRR6997716,MP,MP_5,CD8+ T cell IL-7RahiKLRG1lo
SRR6997720,MP,MP_6,CD8+ T cell IL-7RahiKLRG1lo
SRR6997704,TE,TE_1,CD8+ T cell IL-7RaloKLRG1hi
SRR6997708,TE,TE_2,CD8+ T cell IL-7RaloKLRG1hi
SRR6997714,TE,TE_3,CD8+ T cell IL-7RaloKLRG1hi
SRR6997718,TE,TE_4,CD8+ T cell IL-7RaloKLRG1hi
