Dataset,Layout,Species
2016_IMMUNITY_De_Simone,Paired,Human
2017_CELL_REP_Kumar,Single,Human
2017_NAT_Akondy,Paired,Human
2019_EJI_Remmerswaal,Single,Human
2019_NAT_IMMUNOL_Nakayama,Single,Mouse
2020_NAT_IMMUNOL_Hayward_GSE118110,Paired,Mouse
2020_NAT_IMMUNOL_Hayward_GSE118111,Paired,Mouse
2020_NAT_IMMUNOL_Hayward_GSE135504,Paired,Mouse
2020_NAT_IMMUNOL_Hayward_GSE137370,Paired,Mouse
