gs_name,gene_symbol
Th17_vs_Th1-or-Treg,SCRN1
Th17_vs_Th1-or-Treg,AATK
Th17_vs_Th1-or-Treg,TEAD1
Th17_vs_Th1-or-Treg,LRRN3
Th17_vs_Th1-or-Treg,EGLN3
Th17_vs_Th1-or-Treg,KIT
Th17_vs_Th1-or-Treg,GRID2IP
Th17_vs_Th1-or-Treg,TCP10L2
Th17_vs_Th1-or-Treg,IL4I1
Th17_vs_Th1-or-Treg,LONRF3
Th17_vs_Th1-or-Treg,MSC
Th17_vs_Th1-or-Treg,IGHVII-30-1
Th17_vs_Th1-or-Treg,PLCH1
Th17_vs_Th1-or-Treg,FES
Th17_vs_Th1-or-Treg,NPAS2
Th17_vs_Th1-or-Treg,BEND7
Th17_vs_Th1-or-Treg,TMIGD2
Th17_vs_Th1-or-Treg,STON1
Th17_vs_Th1-or-Treg,TTLL2
Th17_vs_Th1-or-Treg,ITPKA
Th17_vs_Th1-or-Treg,CFAP161
Th17_vs_Th1-or-Treg,LRRK2
Th17_vs_Th1-or-Treg,LTK
Th17_vs_Th1-or-Treg,WNT11
Th17_vs_Th1-or-Treg,FSBP
Th17_vs_Th1-or-Treg,SEMA6C
Th17_vs_Th1-or-Treg,PHF2P2
Th17_vs_Th1-or-Treg,HRH4
Th17_vs_Th1-or-Treg,SAMD11
Th17_vs_Th1-or-Treg,RNF144B
Th17_vs_Th1-or-Treg,NMUR1
Th17_vs_Th1-or-Treg,FA2H
Th17_vs_Th1-or-Treg,GDA
Th17_vs_Th1-or-Treg,RNA5SP490
Th17_vs_Th1-or-Treg,FREM2
Th17_vs_Th1-or-Treg,TRPA1
Th17_vs_Th1-or-Treg,IL17RE
Th17_vs_Th1-or-Treg,TSPAN15
Th17_vs_Th1-or-Treg,ADORA1
Th17_vs_Th1-or-Treg,CDH4
Th17_vs_Th1-or-Treg,PLD1
Th17_vs_Th1-or-Treg,CD101
Th17_vs_Th1-or-Treg,RGS18
Th17_vs_Th1-or-Treg,ZFP92
Th17_vs_Th1-or-Treg,NR1D1
Th17_vs_Th1-or-Treg,AHRR
Th17_vs_Th1-or-Treg,PRSS21
Th17_vs_Th1-or-Treg,ABO
Th17_vs_Th1-or-Treg,BCL2L2-PABPN1
Th17_vs_Th1-or-Treg,KIF26A
Th17_vs_Th1-or-Treg,FAM189A2
Th17_vs_Th1-or-Treg,SLC4A10
Th17_vs_Th1-or-Treg,IL18
Th17_vs_Th1-or-Treg,CTNND2
Th17_vs_Th1-or-Treg,FSD1
Th17_vs_Th1-or-Treg,BEND4
Th17_vs_Th1-or-Treg,IGHV3-29
Th17_vs_Th1-or-Treg,STON1-GTF2A1L
Th17_vs_Th1-or-Treg,COL5A3
Th17_vs_Th1-or-Treg,GIPC2
Th17_vs_Th1-or-Treg,MATN2
Th17_vs_Th1-or-Treg,ELOVL4
Th17_vs_Th1-or-Treg,MAP3K4
Th17_vs_Th1-or-Treg,COL17A1
Th17_vs_Th1-or-Treg,DEUP1
Th17_vs_Th1-or-Treg,FPGT-TNNI3K
Th17_vs_Th1-or-Treg,GPR150
Th17_vs_Th1-or-Treg,CA2
Th17_vs_Th1-or-Treg,RNF182
Th17_vs_Th1-or-Treg,ESPN
Th17_vs_Th1-or-Treg,PGAM1P5
Th17_vs_Th1-or-Treg,UBE2E2
Th17_vs_Th1-or-Treg,ST6GALNAC1
