ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000113915,0.0550977544157751,-0.17557972825718696,4.766065466970644,-0.0368395544446407,0.9706129355547244,NA
ENSMUSG00000113916,0.5000332222011401,-0.42916620756169505,4.773644593444674,-0.08990325927301757,0.9283640911177209,NA
ENSMUSG00000113920,1.066546694009856,-2.136478271300679,2.3436471106998837,-0.9116040813254783,0.361977173143001,NA
ENSMUSG00000113921,940.715992470825,-0.3845555367834758,0.5931968038006549,-0.6482764814638255,0.5168061425966411,0.797950683419282
ENSMUSG00000113923,0.16903363102360058,-1.92425466782159,4.764088353251325,-0.40390826641750943,0.686280177346799,NA
ENSMUSG00000113924,2262.0859575551867,-0.8802480338803031,0.6486324039978828,-1.3570830387980066,0.17475482709687862,0.5024240616966805
ENSMUSG00000113925,0.9676279973712936,0.5593472651240171,4.731952411455639,0.11820644344813924,0.9059040846212314,NA
ENSMUSG00000113926,1.1667097952380023,0.40262445997855834,2.6395719204250754,0.15253399873784076,0.8787657770486867,NA
ENSMUSG00000113929,0.6907829850251156,-0.4025978533671814,3.2378008775525764,-0.12434299346768396,0.9010437075533481,NA
ENSMUSG00000113931,3.4762986234270867,-1.7885877373470804,1.9413611297790174,-0.9213060413704034,0.3568906678530696,NA
ENSMUSG00000113934,0.057955042845983504,-1.150609216122524,4.784823363129033,-0.24047057306000189,0.8099654733437464,NA
ENSMUSG00000113936,5.229565235093766,-0.2590190164755781,2.2901249597767612,-0.11310256908462628,0.9099492382289649,0.9703234085520517
ENSMUSG00000113937,0.3956772091808118,-3.430981131242078,4.68935118700189,-0.7316536967314783,0.46437996485496724,NA
ENSMUSG00000113938,0.3974184514666503,-1.150609216122525,4.784823363129032,-0.24047057306000214,0.8099654733437462,NA
ENSMUSG00000113941,6.033960407329195,-1.7821631945085081,1.9063246776885736,-0.9348686587163044,0.34985599066133655,0.6825098795682899
ENSMUSG00000113942,2.6913451033852605,-0.782565919835181,2.7656968204422365,-0.2829543404942152,0.7772118382057487,NA
ENSMUSG00000113945,4.537590244701088,-0.7822885103761924,2.122192069577538,-0.36862286010329004,0.7124088538478951,0.8935193142966176
ENSMUSG00000113946,0.11251959823344171,-3.1402100681901888,4.753723368597122,-0.6605790502944013,0.5088823078006723,NA
ENSMUSG00000113948,470.22095859514036,-0.5364504054275553,0.3384903726549918,-1.5848320920321575,0.11300448882663743,0.4001145850781252
ENSMUSG00000113949,37.53793554358152,0.4076808829226653,0.5635937227249384,0.7233595167660052,0.46945903613748813,0.7652877624051373
ENSMUSG00000113951,2.440799859936233,-1.9103524134779717,1.823940670917687,-1.0473763998676602,0.2949260119809988,NA
ENSMUSG00000113952,0.4390892075314726,-1.924248186508776,4.764089296333572,-0.40390682600967853,0.6862812366001605,NA
ENSMUSG00000113953,0.3629481900268722,-0.07332425782597338,4.680121088124952,-0.015667171093504777,0.9874999174540254,NA
ENSMUSG00000113954,4.203385655279809,-0.33258101158155584,1.6742320276309177,-0.1986469056216579,0.8425389593427808,NA
ENSMUSG00000113956,10.491460277879018,0.19178166097565796,1.3696628945124179,0.14002106777078877,0.8886433446936853,0.962957339697751
ENSMUSG00000113957,0.3782197812136201,0,4.784823363129033,0,1,NA
ENSMUSG00000113958,0,NA,NA,NA,NA,NA
ENSMUSG00000113961,1709.1477987534797,-0.3815823208456606,0.6699481488725911,-0.5695699308786789,0.5689694276301934,0.825990763252761
ENSMUSG00000113962,0.5735908833869869,-2.4188968006830676,4.75372240314851,-0.5088426701317207,0.6108625074529584,NA
ENSMUSG00000113963,5.871260782285007,8.842708781832442e-5,1.2743133175604782,6.939195141396435e-5,0.9999446332333672,1
ENSMUSG00000113964,0.19276392694234598,-1.7757960072193733,4.746860333474082,-0.374099063900564,0.708330615118357,NA
ENSMUSG00000113968,0.7792817769601955,0.08416687397297734,3.4870683290145843,0.02413685825214735,0.9807434432453879,NA
