gene_name,WT2-Day5-EEC,WT2-Day5-SLEC,KO2-Day5-EEC,KO2-Day5-SLEC,WT3-Day5-EEC,WT3-Day5-SLEC,KO3-Day5-EEC,KO3-Day5-SLEC,WT2-Day8-EEC,WT2-Day8-SLEC,WT2-Day8-MPEC,KO2-Day8-EEC,KO2-Day8-SLEC,KO2-Day8-MPEC,WT3-Day8-EEC,WT3-Day8-SLEC,WT3-Day8-MPEC,KO3-Day8-EEC,KO3-Day8-SLEC,KO3-Day8-MPEC
0610009B22Rik,165.613247,144.725739,163.290659,117.762948,150.513801,86.626677,161.732279,114.893878,95.197187,73.577221,87.111717,104.026266,77.41335,89.39384,98.435139,82.607401,101.184268,85.113607,81.583322,90.604088
0610010F05Rik,6.474765,6.488265,5.519248,4.289139,7.880533,8.949379,5.691205,4.509451,2.26678,1.877552,1.826635,2.231418,1.704233,2.75914,2.315067,2.109435,2.173288,3.519666,1.799557,3.175142
0610010K14Rik,113.910236,75.702054,86.101292,184.243355,78.423308,37.095951,65.692451,90.605372,157.777536,232.658903,170.673229,162.845824,230.165379,120.099156,184.437275,224.339332,157.597894,195.377565,238.076433,132.084601
0610012G03Rik,34.141838,17.718916,25.893103,43.969019,17.566401,13.684571,14.991156,22.665652,64.303097,106.385771,81.586576,73.907431,91.388492,61.035371,79.446557,103.889899,77.675394,72.76335,91.832727,56.663182
0610030E20Rik,3.130626,4.11806,3.651927,4.021951,3.042777,6.091182,4.014224,6.107988,5.237611,4.907191,5.658342,4.760943,5.098167,7.062265,4.792172,5.037669,5.242274,4.736292,4.355844,4.948283
0610037L13Rik,68.800802,64.372469,83.839989,76.06648,74.870415,39.086461,85.277464,75.544207,70.413932,73.602526,85.833374,85.163561,81.92474,90.584198,68.315008,71.442625,76.44561,84.407394,85.277379,89.114408
0610040J01Rik,0,0,0,0.113183,0.092948,0.206819,0.131638,0.20029,0.654947,0,0.197128,0,0.325905,0.332732,0.134897,0.083589,0.097273,0.266302,0.358444,0.066232
1110002E22Rik,0.028711,0.008929,0.007925,0,0,0.00259,0,0,0.042114,0,0.003352,0.007521,0.018753,0.008053,0,0.026008,0,0,0.233396,0
1110004F10Rik,175.810732,159.432595,186.37564,178.804625,184.674185,139.989631,169.709757,149.899001,89.960498,149.031521,125.305529,135.451518,142.974123,147.204277,129.606127,156.02677,127.920225,142.286873,163.306454,152.39818
1110008L16Rik,5.971433,5.760454,5.533238,3.000618,5.710855,5.500652,4.855782,6.120182,1.106091,1.931681,2.545865,3.254522,2.930489,4.038516,2.439421,1.866136,1.878747,3.505615,3.291463,4.89461
1110008P14Rik,87.956016,102.343084,93.167404,109.429786,75.839575,24.016299,68.68356,56.493252,230.939646,217.979789,287.754939,242.697923,145.799219,254.159406,258.141666,206.932284,289.361826,230.71278,179.326936,253.839816
1110012L19Rik,25.916707,25.238802,37.430369,35.802079,25.147512,16.021473,29.798597,25.044758,30.239777,47.649938,48.276995,43.240402,42.91782,41.681115,42.127758,46.695175,44.905176,46.473398,46.344192,42.094802
