gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gnai3,2892.195820180917,1.0989968444727407,0.353120899185547,3.1122395955818916,0.0018567373950251318,0.05314386560422035
Pbsn,0,NA,NA,NA,NA,NA
Cdc45,146.0455604066447,1.7339011773252178,1.0549138936902127,1.6436423746964104,0.10025009554687701,0.43764048914122106
Scml2,0.08310844154013222,-0.08309915929356297,4.838869227956323,-0.017173259986746854,0.986298394482775,NA
Apoh,0.10471678948722354,-0.08309915929356293,4.838869227956323,-0.017173259986746847,0.986298394482775,NA
Narf,492.8463615938579,0.052724749812974266,0.31701122721514147,0.16631824139525606,0.8679065114131403,0.962822339585513
Cav2,2.5053767201258514,1.0503640784775745,2.7105922203363515,0.3875035391148718,0.6983834653653709,NA
Klf6,2649.297380147901,0.6610899417134354,0.6477709351725344,1.0205612907552783,0.30746233700194164,0.7004731585361176
Scmh1,55.00949313277485,-2.0171002913812512,0.9798315968062331,-2.058619356587399,0.039530716986866166,0.2780036631525467
Cox5a,9986.25313215977,-0.4391164997499352,0.4964818668564844,-0.8844562693301113,0.376449959157131,0.7528421780296582
Tbx2,0.5732874868964761,1.2978724869384723,4.82742574573298,0.26885395142238644,0.7880420740277709,NA
Tbx4,0,NA,NA,NA,NA,NA
Zfy2,0,NA,NA,NA,NA,NA
Ngfr,9.471927061617397,-3.6728217194813038,2.026083787377712,-1.812768920200929,0.06986746945137176,0.3673642612910868
Wnt3,2.4864339548799834,-0.42124565999823405,2.8662988266946723,-0.14696501846738763,0.8831596316726738,NA
Wnt9a,0.4355257375336065,1.7525028516244725,4.818339830430525,0.3637150789067288,0.7160707821460206,NA
Fer,4.111758789629846,0.16680464218891475,2.8549962086805065,0.0584255214356333,0.9534096863249427,NA
Xpo6,1760.1097814580214,-0.0638927237059612,0.229906152930512,-0.2779078458386125,0.7810831009539054,0.9370478644480154
Tfe3,527.9681137012382,-0.08849473103136941,0.4159427332427017,-0.21275700705590384,0.8315164993349837,0.9528343093670533
Axin2,54.392461733553766,-1.7495665842682464,0.8288375963787816,-2.1108677887105505,0.03478367743686868,0.2595555031009168
Brat1,471.09918359473977,-0.6297333547271451,0.7925640177516097,-0.794552036961769,0.4268741277554686,0.7819485691434442
Gna12,242.82041327615542,-1.0919101185677824,0.6562026257962695,-1.6639831595352172,0.09611579483373454,0.4282099492780781
Slc22a18,0.4846132928690096,1.8306826157902345,4.81658781024967,0.38007873787633495,0.7038869682896073,NA
Itgb2l,0.9482950320749934,-0.01420514385637797,3.5575728724807787,-0.003992931238671266,0.9968141102780244,NA
Igsf5,6.913393354065827,2.856624023706536,2.5839586221044297,1.1055223559965686,0.2689333128205646,NA
Pih1d2,7.3889881648995095,-1.3607692086891932,1.9815476726218344,-0.6867203991558406,0.49225893961323663,NA
Dlat,665.109242679898,0.7936762384124677,0.5396458374026418,1.4707354034870246,0.1413626877908998,0.5073095999082384
Sdhd,1327.962464834067,0.0791520571029558,0.6340314751895821,0.12483931823619401,0.900650759412172,0.9715493295673913
Fgf23,1.075273464874825,-0.23733761550563579,4.242721698262056,-0.05593994430576398,0.9553896496786594,NA
Fgf6,0.5026324849707071,-0.7138437200558592,3.870714990803028,-0.1844216693174207,0.8536826717064373,NA
Ccnd2,6598.049629731072,0.11536370371099149,0.7438937687601186,0.15508088460436145,0.8767575517361694,0.9641912042327783
Gpr107,1199.5309348964734,0.46814403700332974,0.7042645587201591,0.6647275249148916,0.5062247853992328,0.8267448487029766
Nalcn,0.6207499574180473,-0.9161067797501676,2.720310371923624,-0.3367655357290563,0.7362936555036697,NA
Btbd17,1.2131811516132642,0.9614202052717045,4.833123255228091,0.19892317131199086,0.8423228436352336,NA
Slfn4,2.91049489125087,4.278099957207564,2.7045660654308183,1.581806416892276,0.11369376968765409,NA
Th,0.04888996970662213,-0.0830991592935631,4.838869227956323,-0.017173259986746882,0.986298394482775,NA
Ins2,0,NA,NA,NA,NA,NA
Scnn1g,0,NA,NA,NA,NA,NA
Drp2,1.5463216707178336,-1.0884370449941583,2.1227567361230135,-0.5127469513921182,0.6081283420945676,NA
Tspan32,1385.2227855008107,0.5695442616397158,0.42918489728764997,1.3270370538178413,0.18449642574196937,0.5736550699124049
Lhx2,8.63085259528642,1.9876112833762358,2.563699710873502,0.7752902085006743,0.43816819387552064,NA
Clec2g,1.0921824090227266,2.4951207750681292,2.920859089819942,0.8542420905425953,0.3929708661467166,NA
Gmpr,0.368069051150414,-2.1395379873719875,4.827701785562925,-0.4431794013810467,0.6576359768519768,NA
Glra1,0,NA,NA,NA,NA,NA
Mid2,4.248457819170691,1.4279384088124223,1.5763178338501018,0.9058696020235539,0.3650048755137401,NA
Trim25,804.0312812212179,0.6654622542474755,0.3434957187861216,1.9373232848407846,0.05270583767143272,0.31951131400861554
Dgke,230.23736969857072,0.8863973288900224,0.584886787328318,1.515502398231567,0.1296452234483877,0.4916008622543732
Scpep1,1013.3667322436401,-0.348361391509049,0.2581257396469747,-1.349580216159322,0.17715067369070253,0.5631250263568307
Mnt,861.3107832007536,-0.22485251048524504,0.5997584002699831,-0.37490514577874523,0.7077310119597965,0.9077216843785338
Itgb2,26016.769698782864,0.7616044809437433,0.4055756347426306,1.8778358848579275,0.06040361954166595,0.34083450849953095
Hddc2,514.4656023619717,-1.2932463979153803,0.3567931475543945,-3.624639113110265,2.893652317595004e-4,0.017385611920239984
Tpd52l1,0.24165523021138838,0.7083481535853566,4.836171496641463,0.1464687830192286,0.8835513316648886,NA
Pemt,23.216289634058597,-1.3870944638722211,1.1249363794915994,-1.2330425872608908,0.21755987571181648,0.6143774529066065
Cdh1,74.06425139668234,-0.7621574129684761,0.7361769641297297,-1.0352910374877855,0.300533014147949,0.6942786890815704
Cdh4,0,NA,NA,NA,NA,NA
Ckmt1,0.282930926755941,0,4.838869227956324,0,1,NA
Bcl6b,0.543332325408212,1.0941883672867598,4.8258171270210735,0.2267363927157743,0.8206287266940654,NA
Clec10a,4.263560369510085,-5.983417145698077,2.9481745426446935,-2.0295328716632173,0.04240404437304181,NA
Alox12,9.900902387659281,-0.7503074915397089,0.9962266310832337,-0.7531494020832108,0.4513601405851968,0.7927851275642334
Arvcf,13.374154942090115,2.34891704978147,1.7389764314638578,1.3507469148412603,0.1767765182726739,0.5630555261282211
