ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000106784,14.402023471564105,0.9448073476041705,1.4479594677811929,0.6525095271153987,0.514072528898807,0.9995580577732951
ENSMUSG00000106803,0,NA,NA,NA,NA,NA
ENSMUSG00000106805,0.342229787946355,0,6.120378100532646,0,1,NA
ENSMUSG00000106806,3.218488250822237,0.12303861157875973,1.4709343021037622,0.08364657170805469,0.9333374377873225,NA
ENSMUSG00000106810,0.2900476755030481,0,6.120378100467915,0,1,NA
ENSMUSG00000106813,0.45321740443708425,-3.0290386353070913,5.98174843559378,-0.5063801441871256,0.6125898107756313,NA
ENSMUSG00000106814,0.3022199151833328,2.794599271011795,6.069545096119966,0.46042977303163596,0.6452077682642157,NA
ENSMUSG00000106817,4.238318085469154,0.9967910119586956,1.9077374451758509,0.5224990548250279,0.6013229043685249,NA
ENSMUSG00000106819,3.392726975283444,0.9856298355955736,3.6559936094252423,0.269592877037475,0.7874734808149031,NA
ENSMUSG00000106821,0,NA,NA,NA,NA,NA
ENSMUSG00000106824,0.41699122585925413,0,6.120378100529154,0,1,NA
ENSMUSG00000106827,2.4454615737863645,-0.6825121715961973,1.804856409956136,-0.3781531693220873,0.7053168122774636,NA
ENSMUSG00000106829,0.21037187998885498,-0.6990326581164784,6.115490813680887,-0.11430524211608352,0.9089958271306056,NA
ENSMUSG00000106831,639.9178563198348,0.8702060594644598,0.46839112806475974,1.8578619604941475,0.0631886195072743,0.9995580577732951
ENSMUSG00000106833,0,NA,NA,NA,NA,NA
ENSMUSG00000106835,0,NA,NA,NA,NA,NA
ENSMUSG00000106836,0,NA,NA,NA,NA,NA
ENSMUSG00000106846,0.1310173727118789,-0.6990959647008752,6.115490736348686,-0.1143155954019607,0.9089876201986564,NA
ENSMUSG00000106853,0.21114296454676354,1.3661967855652197,6.067612956529207,0.22516215113805,0.8218531324522901,NA
ENSMUSG00000106854,3.1686307404775245,1.4468758874902998,2.5635544661517726,0.5644022417289413,0.572480413585386,NA
ENSMUSG00000106864,759.1291066250403,-0.688823946273891,0.5158449264203945,-1.3353314358519541,0.18176789428702073,0.9995580577732951
ENSMUSG00000106866,0.08004680695769896,0,6.120378100541257,0,1,NA
ENSMUSG00000106868,0.08109047933643664,0,6.120378100545335,0,1,NA
ENSMUSG00000106872,7.0497909476329665,1.1824785007737624,1.5064972822331653,0.7849191065389167,0.43250099887740157,0.9995580577732951
ENSMUSG00000106876,0,NA,NA,NA,NA,NA
ENSMUSG00000106878,0.20789237178291697,2.79452504302524,6.069547088604368,0.4604173923079017,0.6452166531751308,NA
ENSMUSG00000106879,0.5744504256968217,-1.6225569003926446,3.5646079307898164,-0.4551852354862297,0.648975981526662,NA
ENSMUSG00000106883,0.30268216988545693,0.6320591286887068,6.092851828998351,0.10373781382315606,0.9173774174389969,NA
ENSMUSG00000106884,0.09617894885649915,0,6.120378100455877,0,1,NA
ENSMUSG00000106885,4.156323099126335,-0.03542340798689299,1.759074234332066,-0.020137528761168814,0.9839336625864423,NA
ENSMUSG00000106889,0.12787255613574827,0,6.120378100545335,0,1,NA
ENSMUSG00000106892,1.6125398655030738,0,5.741640537411659,0,1,NA
ENSMUSG00000106893,0,NA,NA,NA,NA,NA
ENSMUSG00000106895,37.98132739588711,0.6119605015605902,0.9967604573376562,0.6139494168891236,0.5392487535353379,0.9995580577732951
ENSMUSG00000106898,7.232040830290658,1.2540343934553433,1.3441991943161309,0.9329230360782507,0.35085970750024764,0.9995580577732951
ENSMUSG00000106900,0.27425513977888305,0,6.120378100467637,0,1,NA
ENSMUSG00000106910,0,NA,NA,NA,NA,NA
ENSMUSG00000106916,0,NA,NA,NA,NA,NA
ENSMUSG00000106917,4.08912166384065,1.701240284944767,1.6057851661045879,1.059444514032808,0.289397386107442,NA
ENSMUSG00000106918,1066.335235851861,0.6589238561643657,0.6102866073510678,1.0796957498779247,0.28027768714570617,0.9995580577732951
ENSMUSG00000106924,79.47990231011696,0.4514326570471283,0.8245138722092411,0.5475137196146118,0.5840258474757662,0.9995580577732951
ENSMUSG00000106925,18.494067462043954,0.6673624364015271,0.8597476987072199,0.7762305585755246,0.43761286596317017,0.9995580577732951
ENSMUSG00000106926,60.37259639707432,1.2451502046880145,0.7597368567413557,1.6389229950336772,0.10122929801860009,0.9995580577732951
ENSMUSG00000106930,21.26911953074764,0.7539956172717125,1.1843953705643322,0.63660804154651,0.5243801858503198,0.9995580577732951
ENSMUSG00000106935,0.9674264555620733,-2.284851276597662,2.994701103373871,-0.7629647159189,0.44548443889282496,NA
ENSMUSG00000106936,0,NA,NA,NA,NA,NA
ENSMUSG00000106939,0.04888996970662214,0,6.120378100545335,0,1,NA
ENSMUSG00000106945,0.38717158443996874,-2.6617975288873406,5.991514572141089,-0.44426121255950446,0.6568537406954728,NA
ENSMUSG00000106948,26.84124868614262,0.16615332370925046,0.9411669149448855,0.1765396988258776,0.8598699632626429,1
ENSMUSG00000106954,0,NA,NA,NA,NA,NA
ENSMUSG00000106955,0,NA,NA,NA,NA,NA
ENSMUSG00000106956,6.8134728780043465,-5.425236757539035,2.9179070124979187,-1.8592904894850224,0.0629859743248131,0.9995580577732951
ENSMUSG00000106958,0,NA,NA,NA,NA,NA
ENSMUSG00000106960,1.7400063480514663,0.8515881123040093,2.1409601070571247,0.3977599159820718,0.6908071669188813,NA
ENSMUSG00000106963,0.13822422128278603,0,6.1203781005248565,0,1,NA
ENSMUSG00000106965,0,NA,NA,NA,NA,NA
ENSMUSG00000106971,9.116211316625886,0.3190778623672174,3.6415840512984166,0.08762062274889669,0.930178210635777,1
ENSMUSG00000106974,0,NA,NA,NA,NA,NA
ENSMUSG00000106975,0,NA,NA,NA,NA,NA
ENSMUSG00000106982,4.1684607749791995,2.0156838358503992,1.498003351080803,1.345580324901204,0.1784379004095567,NA
ENSMUSG00000106988,0.4621786257298064,0,6.120378100456868,0,1,NA
ENSMUSG00000106989,0,NA,NA,NA,NA,NA
ENSMUSG00000106996,0,NA,NA,NA,NA,NA
ENSMUSG00000107002,601.3085422309993,-0.34679422709781715,0.5531593209283542,-0.626933713266913,0.5307026870634398,0.9995580577732951
ENSMUSG00000107004,0,NA,NA,NA,NA,NA
ENSMUSG00000107006,0.1825379831604778,-0.6468060936830071,6.1184616116732125,-0.10571384356632833,0.9158093963236288,NA
