gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gnai3,2892.195820180917,0.17527667456878074,0.3522399399705815,0.4976059063132351,0.6187618399588454,0.9406300076358571
Pbsn,0,NA,NA,NA,NA,NA
Cdc45,146.0455604066447,0.19261440563799737,1.0384206975785202,0.18548783367584296,0.8528464220113796,0.9838060331360663
Scml2,0.08310844154013222,0.7623285345323564,4.838869227956323,0.1575427023586506,0.874817156438132,NA
Apoh,0.10471678948722354,0.7623285345323566,4.838869227956323,0.15754270235865064,0.874817156438132,NA
Narf,492.8463615938579,0.4750665034563934,0.31314133629121427,1.5170993043684033,0.1292416138696757,0.6915575857602703
Cav2,2.5053767201258514,-3.5172451240962013,2.349719653008729,-1.4968786253255781,0.13442484289473217,NA
Klf6,2649.297380147901,0.2119409691558247,0.6474964212504691,0.32732376921329764,0.7434230165128219,0.9606990764227451
Scmh1,55.00949313277485,-0.04521189590067371,0.9840874197558303,-0.04594296705052036,0.9633557075608746,0.9965308702744344
Cox5a,9986.25313215977,0.19007154224007344,0.496467759938748,0.38284770447838073,0.7018326882054496,0.9520296383881278
Tbx2,0.5732874868964761,-1.9073397001994017,4.644078629998236,-0.4107035759211782,0.681289904529226,NA
Tbx4,0,NA,NA,NA,NA,NA
Zfy2,0,NA,NA,NA,NA,NA
Ngfr,9.471927061617397,-1.602658774895066,2.0359481540519355,-0.7871805437213424,0.43117618505955196,0.8986452852052929
Wnt3,2.4864339548799834,-2.6603247398164354,2.7506327165206637,-0.9671682896223016,0.33345991157199806,NA
Wnt9a,0.4355257375336065,2.5979305454503914,4.818339830430527,0.5391754498184205,0.5897657984725133,NA
Fer,4.111758789629846,4.307434195353425,3.1178571653417815,1.3815367308146846,0.16711399221551343,NA
Xpo6,1760.1097814580214,-0.19619789449592787,0.22903971869090373,-0.8566107905533322,0.391660020221789,0.8869615602015399
Tfe3,527.9681137012382,-0.4995565115797307,0.4141339359070036,-1.2062679927102358,0.22771417478490708,0.8021257005206106
Axin2,54.392461733553766,-1.2239280289127317,0.8284526037358962,-1.4773663857092658,0.13957745161572396,0.7063435684188328
Brat1,471.09918359473977,-0.36348332904458547,0.7920844589347119,-0.458894660720197,0.6463098131471574,0.9442894136657659
Gna12,242.82041327615542,-0.8882349145224581,0.6551980408358911,-1.35567394766514,0.17520293210465007,0.7592621981405188
Slc22a18,0.4846132928690096,2.6761103096161536,4.816587810249672,0.5556029320012408,0.5784823266508687,NA
Itgb2l,0.9482950320749934,3.2366301087239906,3.6259817248378137,0.8926217378739717,0.37205977405230634,NA
