gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Gnai3,2892.195820180917,0.1951708433744609,0.3525549773511514,0.5535898112709584,0.5798596005126295,1
Pbsn,0,NA,NA,NA,NA,NA
Cdc45,146.0455604066447,2.5087270094789114,1.0536831832052398,2.380912070597461,0.017269833658025497,0.5322003904478072
Scml2,0.08310844154013222,0.02792473831518046,4.838542950708021,0.005771311446371319,0.9953951852642586,NA
Apoh,0.10471678948722354,0.02792473831518046,4.838542950708021,0.005771311446371319,0.9953951852642586,NA
Narf,492.8463615938579,-0.49696321582906405,0.3157346727416855,-1.573989994553587,0.11548976258365841,1
Cav2,2.5053767201258514,2.2863920446995265,2.742435596806205,0.8337085645191525,0.40444523075148303,NA
Klf6,2649.297380147901,0.14861812895667392,0.6476975237281414,0.22945607094686615,0.8185144601057095,1
Scmh1,55.00949313277485,0.08698345580090978,0.9952765837915201,0.08739626473431646,0.9303565383300364,1
Cox5a,9986.25313215977,-0.3483101119348704,0.4964913654194457,-0.7015431409176897,0.48296412149405676,1
Tbx2,0.5732874868964761,1.4087946492919297,4.827099553171629,0.2918511693769162,0.7704004199592613,NA
Tbx4,0,NA,NA,NA,NA,NA
Zfy2,0,NA,NA,NA,NA,NA
Ngfr,9.471927061617397,4.0203177889284065,2.4812335315352256,1.6202899637749517,0.10517000379466385,1
Wnt3,2.4864339548799834,-1.0146083303740496,2.8234326429754266,-0.3593527661792639,0.7193312051028359,NA
Wnt9a,0.4355257375336065,1.863492368011686,4.8180137042855735,0.3867760621673053,0.6989220002778573,NA
Fer,4.111758789629846,1.5292902625182254,3.0102752429204274,0.5080233995594967,0.6114369332623251,1
Xpo6,1760.1097814580214,0.1294713957230437,0.2302542367037424,0.5622975610634632,0.5739132997661132,1
Tfe3,527.9681137012382,7.912756990947771e-4,0.41653867848279197,0.0018996451949598871,0.9984843033395419,1
Axin2,54.392461733553766,0.04298498336257267,0.8448424438840807,0.050879289592688316,0.9594217086422991,1
Brat1,471.09918359473977,-0.29002800835824233,0.7929500482402854,-0.3657582328191699,0.7145454888268914,1
Gna12,242.82041327615542,0.13929076925370593,0.6601441302051549,0.21100054197318716,0.8328868484428817,1
Slc22a18,0.4846132928690096,1.9416439147064977,4.816261696753644,0.40314335826378467,0.6868427655077978,NA
Itgb2l,0.9482950320749934,1.8338753469895706,3.620081617359338,0.5065839781610469,0.6124467524503675,NA
Igsf5,6.913393354065827,1.1172658560259832,2.56381328114842,0.43578284902460657,0.662994288702732,1
Pih1d2,7.3889881648995095,1.187712035705228,2.1146854876067507,0.5616494947669004,0.574354851200737,1
Dlat,665.109242679898,0.10680814213321929,0.5385700126510012,0.1983180266711805,0.8427962485442388,1
Sdhd,1327.962464834067,0.14512869601576,0.6340901757166244,0.22887706129769494,0.8189644697972438,1
Fgf23,1.075273464874825,-0.18055681864227421,4.2490680206569875,-0.04249327564644556,0.9661054721671496,NA
Fgf6,0.5026324849707071,-1.6098440750280159,3.754536985033922,-0.42877299689550696,0.6680884319030721,NA
Ccnd2,6598.049629731072,-0.523048911509308,0.7438656656999917,-0.7031496890196015,0.4819624689393566,1
Gpr107,1199.5309348964734,0.8264760462959915,0.7047587527586024,1.1727077429843291,0.24091302529990782,1
Nalcn,0.6207499574180473,1.6463724911356432,2.9052218790429314,0.5666942353050186,0.5709219381014898,NA
Btbd17,1.2131811516132642,-0.22630565307803235,4.799254616548447,-0.04715433357040515,0.9623902235371801,NA
Slfn4,2.91049489125087,1.6035554528676843,2.4549592252537145,0.6531902592809705,0.5136336291265682,NA
Th,0.04888996970662213,0.02792473831518073,4.838542950708021,0.005771311446371375,0.9953951852642586,NA
Ins2,0,NA,NA,NA,NA,NA
Scnn1g,0,NA,NA,NA,NA,NA
Drp2,1.5463216707178336,2.0396527854638755,2.4193930965198494,0.8430431534246307,0.39920430964692494,NA
Tspan32,1385.2227855008107,1.899051898539473,0.43152527685616654,4.400789479529037,1.0785773002182776e-5,0.0032790824113751445
Lhx2,8.63085259528642,6.031654299798481,2.8905031533537797,2.086714312281618,0.036913966741584654,0.7558867247613735
Clec2g,1.0921824090227266,0.15915572816680867,2.719503405310011,0.05852382014159149,0.9533313892796743,NA
Gmpr,0.368069051150414,-1.8302631907332734,4.814540895149187,-0.3801532130669667,0.7038316872144802,NA
Glra1,0,NA,NA,NA,NA,NA
Mid2,4.248457819170691,4.7513358558653485,1.9978752877073402,2.378194417389155,0.01739765036455362,0.5350962152008331
Trim25,804.0312812212179,0.2691346896485182,0.34257494025618807,0.7856228171484202,0.43208849293838436,1
Dgke,230.23736969857072,-0.37113617428928247,0.5797927865574426,-0.6401186473756041,0.5220954667453656,1
Scpep1,1013.3667322436401,-0.17396749220735253,0.25855324180452133,-0.6728497813184656,0.5010428635825159,1
Mnt,861.3107832007536,0.07563851455438819,0.600075652819916,0.12604829774203066,0.8996936933571642,1
Itgb2,26016.769698782864,0.3127146356576212,0.40555131591550875,0.7710852446667221,0.44065640595812033,1
Hddc2,514.4656023619717,-0.14752144910458576,0.35948204884838386,-0.4103722274232525,0.6815329159993846,1
Tpd52l1,0.24165523021138838,0.8193572272152464,4.835845239548805,0.16943412922198772,0.865455180331469,NA
Pemt,23.216289634058597,-1.1013680771175813,1.1357197815861386,-0.9697533625586922,0.3321694445737178,1
Cdh1,74.06425139668234,-0.925345475175579,0.7353293584509384,-1.2584095338243164,0.20824368574527255,1
Cdh4,0,NA,NA,NA,NA,NA
Ckmt1,0.282930926755941,0,4.838542950480238,0,1,NA
