Entrez	Symbol	log2_RPKM
11287	Pzp	-4.76704630784541
11298	Aanat	-4.4273028780205
11302	Aatk	-6.90269213336986
11303	Abca1	-2.48544532668068
11304	Abca4	-6.90269213336986
11305	Abca2	5.00801775953792
11306	Abcb7	1.79465506671802
11307	Abcg1	2.39021693111769
11308	Abi1	4.62579812551175
11350	Abl1	1.06588158314504
11352	Abl2	0.0421214171023401
11354	Scgb1b27	-4.02790238092837
11363	Acadl	6.33589512718397
11364	Acadm	3.83927458013215
11370	Acadvl	4.53487402851142
11409	Acads	1.29036764596657
11416	Slc33a1	1.49408155320343
11418	Asic2	-6.90269213336986
11419	Asic1	-3.41945498811545
11421	Ace	-6.90269213336986
11423	Ache	-5.01259585521564
11425	Apoc4	-4.20992634311419
11426	Macf1	3.94337109365594
11428	Aco1	2.06299888845255
11429	Aco2	4.77063877184559
11430	Acox1	1.94572046552228
11431	Acp1	2.44009047829884
11432	Acp2	0.156697541525058
11433	Acp5	8.9760390809458
11434	Acr	-5.90557464190298
11435	Chrna1	-6.90269213336986
11438	Chrna4	-6.90269213336986
11440	Chrna6	-6.85676433561946
11441	Chrna7	-6.3819226945762
11443	Chrnb1	-1.22602592124438
11444	Chrnb2	-3.21561096697173
11447	Chrnd	-6.85874878578227
11448	Chrne	-0.792294274147639
11449	Chrng	-6.25958715165215
11450	Adipoq	-5.61873188868152
11451	Acrv1	-5.44866050247516
11459	Acta1	5.26129355422293
11461	Actb	10.2591125334196
11464	Actc1	-0.243651722324278
11465	Actg1	10.2417635281093
11468	Actg2	-0.389606623974477
11470	Actl7a	-5.90653419966426
11471	Actl7b	-5.8246361872294
11472	Actn2	2.33360011364366
11474	Actn3	-3.1441392118387
11475	Acta2	1.33584203122416
11477	Acvr1	-2.48544532668068
11479	Acvr1b	-4.29589296539102
11480	Acvr2a	-1.84757413011865
11481	Acvr2b	-2.22606920724636
11482	Acvrl1	-3.94131404715024
11484	Aspa	-5.93502811548955
11486	Ada	1.12931825412921
11487	Adam10	4.15458690571935
11488	Adam11	-6.90269213336986
11489	Adam12	-6.90269213336986
11490	Adam15	-1.19931106824747
11491	Adam17	3.54271151335798
11492	Adam19	4.72971513796812
11495	Adam2	-6.66879253158909
11496	Adam22	-3.21561096697173
11497	Adam3	-6.75442452020158
11498	Adam4	-3.05482244227385
11499	Adam5	-6.79851175705269
11500	Adam7	-6.90269213336986
11501	Adam8	5.05247760668081
11502	Adam9	-0.342828778943407
11504	Adamts1	-6.90269213336986
11512	Adcy6	-4.76704630784541
11513	Adcy7	5.10098449814641
11514	Adcy8	-5.47124622560809
11515	Adcy9	-6.90269213336986
11516	Adcyap1	-6.38399107491743
11517	Adcyap1r1	-6.90269213336986
11518	Add1	5.81084423566559
11519	Add2	-2.73503797703288
11520	Plin2	1.97712679880652
11522	Adh1	-5.7334882991712
11529	Adh7	-6.37361939084499
11532	Adh5	6.60736203469277
11534	Adk	1.33134927889644
11535	Adm	-5.78344295224467
11536	Gpr182	-4.64671759955705
11537	Cfd	-5.20213218563239
11538	Adnp	4.25981130584299
11539	Adora1	-6.90269213336986
11540	Adora2a	2.39671619335918
11541	Adora2b	-4.76912238065419
11542	Adora3	-0.782832951686661
11544	Adprh	7.03764664445741
11545	Parp1	3.12626222688545
11546	Parp2	3.24218865978551
11548	Adra1b	-5.47124622560809
