Entrez	Symbol	log2_RPKM
11287	Pzp	-6.90269213336986
11298	Aanat	-5.85874878578227
11302	Aatk	-6.90269213336986
11303	Abca1	-0.587720490109591
11304	Abca4	-6.90269213336986
11305	Abca2	5.963313770339
11306	Abcb7	1.64388661927082
11307	Abcg1	4.53752112981914
11308	Abi1	4.85305179277114
11350	Abl1	3.74978320089142
11352	Abl2	2.3302098835469
11354	Scgb1b27	-4.02790238092837
11363	Acadl	6.97749769061516
11364	Acadm	5.28114651424136
11370	Acadvl	5.46998391072509
11409	Acads	4.56862664885751
11416	Slc33a1	3.46288243010001
11418	Asic2	-6.90269213336986
11419	Asic1	-0.23325862521854
11421	Ace	-6.90269213336986
11423	Ache	-1.22355974262422
11425	Apoc4	-4.20992634311419
11426	Macf1	5.99032773561877
11428	Aco1	2.76862361022871
11429	Aco2	6.05705536114675
11430	Acox1	3.67754039498357
11431	Acp1	3.34584228007861
11432	Acp2	1.83993414010802
11433	Acp5	9.47421652227067
11434	Acr	-5.90557464190298
11435	Chrna1	-6.90269213336986
11438	Chrna4	-6.90269213336986
11440	Chrna6	-6.85676433561946
11441	Chrna7	-6.3819226945762
11443	Chrnb1	1.05748045731873
11444	Chrnb2	-3.43295338333708
11447	Chrnd	-6.85874878578227
11448	Chrne	0.466484064438907
11449	Chrng	-6.25958715165215
11450	Adipoq	-5.61873188868152
11451	Acrv1	-5.44866050247516
11459	Acta1	4.41892009183066
11461	Actb	10.0977509207678
11464	Actc1	-0.572332495244296
11465	Actg1	9.90524967725467
11468	Actg2	-2.53278854849427
11470	Actl7a	-5.90653419966426
11471	Actl7b	-5.8246361872294
11472	Actn2	-0.694456856907886
11474	Actn3	-5.23869212235433
11475	Acta2	0.236630340187456
11477	Acvr1	-1.16365089614132
11479	Acvr1b	-3.72268824969785
11480	Acvr2a	-1.33700969575918
11481	Acvr2b	-0.526043520149194
11482	Acvrl1	-6.90269213336986
11484	Aspa	-5.93502811548955
11486	Ada	2.44757197234153
11487	Adam10	3.76416539675775
11488	Adam11	-6.90269213336986
11489	Adam12	-6.90269213336986
11490	Adam15	1.18536167023887
11491	Adam17	4.47986953923209
11492	Adam19	6.00705263567431
11495	Adam2	-6.66879253158909
11496	Adam22	-6.90269213336986
11497	Adam3	-6.75442452020158
11498	Adam4	-0.912246351796337
11499	Adam5	-6.79851175705269
11500	Adam7	-6.90269213336986
11501	Adam8	2.65744850837471
11502	Adam9	0.457300565055401
11504	Adamts1	-6.90269213336986
11512	Adcy6	-0.482100213855255
11513	Adcy7	6.29056915031248
11514	Adcy8	-6.90269213336986
11515	Adcy9	-6.90269213336986
11516	Adcyap1	-6.38399107491743
11517	Adcyap1r1	-6.90269213336986
11518	Add1	6.32159276868148
11519	Add2	-6.90269213336986
11520	Plin2	3.29909483032166
11522	Adh1	-5.7334882991712
11529	Adh7	-6.37361939084499
11532	Adh5	6.9929376979351
11534	Adk	5.68918447710743
11535	Adm	-5.78344295224467
11536	Gpr182	-1.42342515836092
11537	Cfd	-5.20213218563239
11538	Adnp	4.67706914850395
11539	Adora1	-6.90269213336986
11540	Adora2a	5.00816201293368
11541	Adora2b	-6.20056828841596
11542	Adora3	-3.96113504863758
11544	Adprh	8.0984606525994
11545	Parp1	4.92921643407522
11546	Parp2	5.10495885748609
11548	Adra1b	-6.90269213336986
11549	Adra1a	-6.90269213336986
11550	Adra1d	-6.57715278493012
11551	Adra2a	-6.90269213336986
11552	Adra2b	-6.90269213336986
11553	Adra2c	-6.90269213336986
11554	Adrb1	1.17772842567718
11555	Adrb2	3.12271454502556
11556	Adrb3	-6.80057791571717
11564	Adsl	5.51828615920507
11565	Adssl1	1.57388451946092
11566	Adss	6.49416956473993
11567	Avil	-6.90269213336986
11568	Aebp1	-0.701688426138962
11569	Aebp2	3.60148845835985
11571	Crisp1	-5.81955089806962
11572	Crisp3	-5.78969742031022
11576	Afp	1.01650170516611
11593	Aga	4.93922087316619
11595	Acan	-6.90269213336986
11596	Ager	2.22237723202172
11600	Angpt1	-6.90269213336986
11601	Angpt2	-6.62515815784095
11602	Angpt4	-5.93126128556663
11603	Agrn	0.288472902590095
11604	Agrp	0.244714086623898
11605	Gla	0.403190512702028
11606	Agt	-4.60412285651606
11607	Agtr1a	-6.50929228334946
11608	Agtr1b	-6.42005182384539
11609	Agtr2	-6.83777465668852
11610	Agtrap	2.10014133896029
11611	Agxt	-5.91895071823365
11614	Nr0b1	-6.16090952290588
11622	Ahr	-0.587720490109591
11624	Ahrr	-6.90269213336986
11625	Ahsg	-5.87746615708169
11628	Aicda	0.302642490094221
11629	Aif1	-1.65534580467352
11630	Aim1	3.82030191427366
