Entrez	Symbol	log2_RPKM
11287	Pzp	-5.49700326406958
11298	Aanat	-5.85874878578227
11302	Aatk	-6.90269213336986
11303	Abca1	-5.49700326406958
11304	Abca4	-6.90269213336986
11305	Abca2	6.42003710537977
11306	Abcb7	1.87243180484041
11307	Abcg1	3.69673356793925
11308	Abi1	4.54431713285201
11350	Abl1	4.12717741642982
11352	Abl2	1.99723544025147
11354	Scgb1b27	-4.02790238092837
11363	Acadl	8.45692237516424
11364	Acadm	4.77046009280973
11370	Acadvl	5.7731246451666
11409	Acads	4.42111827069345
11416	Slc33a1	2.88431546298279
11418	Asic2	-6.90269213336986
11419	Asic1	-0.491239237973192
11421	Ace	-2.64388164269917
11423	Ache	-5.03835289367712
11425	Apoc4	-4.20992634311419
11426	Macf1	5.63331056687959
11428	Aco1	3.14483085593422
11429	Aco2	6.05842908654963
11430	Acox1	3.22996305815614
11431	Acp1	3.65786996102903
11432	Acp2	1.82269902221877
11433	Acp5	8.90431539637809
11434	Acr	-5.90557464190298
11435	Chrna1	-6.90269213336986
11438	Chrna4	-6.90269213336986
11440	Chrna6	-6.85676433561946
11441	Chrna7	-6.3819226945762
11443	Chrnb1	-1.26603872327296
11444	Chrnb2	-1.68206279236705
11447	Chrnd	-6.85874878578227
11448	Chrne	-0.377854285989838
11449	Chrng	-6.25958715165215
11450	Adipoq	-5.61873188868152
11451	Acrv1	-5.44866050247516
11459	Acta1	3.55624274467541
11461	Actb	8.87185544866778
11464	Actc1	-1.01718018931218
11465	Actg1	9.62374644870301
11468	Actg2	-1.3347448248191
11470	Actl7a	-5.90653419966426
11471	Actl7b	-5.8246361872294
11472	Actn2	4.22804423158643
11474	Actn3	-6.83122037823683
11475	Acta2	0.114823704095074
11477	Acvr1	-1.74733574122842
11479	Acvr1b	-2.64388164269917
11480	Acvr2a	-4.79872955223879
11481	Acvr2b	-6.09172595775988
11482	Acvrl1	-0.0186996428749775
11484	Aspa	-5.93502811548955
11486	Ada	3.39154359784811
11487	Adam10	4.72437724859059
11488	Adam11	-1.3937897361626
11489	Adam12	-1.24495845145786
11490	Adam15	1.85031399871926
11491	Adam17	4.49313102529754
11492	Adam19	6.17232468736857
11495	Adam2	-6.66879253158909
11496	Adam22	-3.45687863098723
11497	Adam3	-5.3487356509013
11498	Adam4	-2.55210534816134
11499	Adam5	-6.79851175705269
11500	Adam7	-6.90269213336986
11501	Adam8	6.21899327705217
11502	Adam9	-0.409718976397106
11504	Adamts1	-6.90269213336986
11512	Adcy6	0.255685929559755
11513	Adcy7	6.33341024150636
11514	Adcy8	-6.90269213336986
11515	Adcy9	-6.90269213336986
11516	Adcyap1	-6.38399107491743
11517	Adcyap1r1	-6.90269213336986
11518	Add1	7.10564294927552
11519	Add2	-4.79872955223879
11520	Plin2	3.57457278784428
11522	Adh1	-5.7334882991712
11529	Adh7	-6.37361939084499
11532	Adh5	6.73757435421126
11534	Adk	4.84927505726481
11535	Adm	-5.78344295224467
11536	Gpr182	-6.07816350731882
11537	Cfd	-5.20213218563239
11538	Adnp	4.6239065556244
11539	Adora1	-6.90269213336986
11540	Adora2a	4.6660936475393
11541	Adora2b	-4.79487941911567
11542	Adora3	-6.77821010268872
11544	Adprh	8.23701881249914
11545	Parp1	5.16668981469139
11546	Parp2	5.07330665109696
11548	Adra1b	-6.90269213336986
11549	Adra1a	-6.90269213336986
11550	Adra1d	-6.57715278493012
11551	Adra2a	-6.90269213336986
11552	Adra2b	-6.90269213336986
11553	Adra2c	-6.90269213336986
11554	Adrb1	-0.25123197800718
11555	Adrb2	2.01548206241775
11556	Adrb3	-6.80057791571717
11564	Adsl	5.58071369521969
11565	Adssl1	0.195934043062727
11566	Adss	5.75405759448481
11567	Avil	-6.90269213336986
11568	Aebp1	-0.734250030487737
11569	Aebp2	4.33163804503222
11571	Crisp1	-5.81955089806962
11572	Crisp3	-5.78969742031022
11576	Afp	-2.55110288769272
11593	Aga	3.99944974191076
11595	Acan	-6.90269213336986
11596	Ager	-1.51309503516381
11600	Angpt1	-4.3302079832348
11601	Angpt2	-6.62515815784095
11602	Angpt4	-5.93126128556663
11603	Agrn	1.7117155047809
11604	Agrp	0.735220875732958
11605	Gla	1.5169926097665
11606	Agt	-6.19665111239856
11607	Agtr1a	-6.50929228334946
11608	Agtr1b	-6.42005182384539
11609	Agtr2	-6.83777465668852
11610	Agtrap	3.51208719306351
11611	Agxt	-5.91895071823365
11614	Nr0b1	-6.16090952290588
11622	Ahr	0.934135098916865
11624	Ahrr	-6.90269213336986
11625	Ahsg	-5.87746615708169
11628	Aicda	-6.57895954163575
11629	Aif1	-1.13913031533939
11630	Aim1	4.79700015156152
11632	Aip	7.33304212615837
11634	Aire	-6.26558277603572
11636	Ak1	-6.34204931184412
11637	Ak2	5.05131932907363
11639	Ak4	-6.90269213336986
11640	Akap1	1.35538803746507
11641	Akap2	-4.79872955223879
11642	Akap3	-6.90269213336986
11643	Akap4	-6.89980385404504
11647	Alpl	-1.03905237253808
11648	Akp3	-6.06619086565274
11650	Alppl2	-6.39702239992156
11651	Akt1	6.5593977997235
11652	Akt2	4.78910912895025
11655	Alas1	4.08735298674637
11656	Alas2	1.72878327707528
11657	Alb	-6.34841883671985
11658	Alcam	1.6995205307501
11666	Abcd1	4.82463467529633
11668	Aldh1a1	-0.730820852430957
11669	Aldh2	-0.624876338521159
11670	Aldh3a1	-6.1076675016289
