Entrez	Symbol	log2_RPKM
11287	Pzp	-6.90269213336986
11298	Aanat	-5.85874878578227
11302	Aatk	-6.90269213336986
11303	Abca1	-3.35455422628471
11304	Abca4	-6.90269213336986
11305	Abca2	6.39752210657057
11306	Abcb7	1.11703643397473
11307	Abcg1	3.80586412953412
11308	Abi1	4.83058281595554
11350	Abl1	4.54217729306221
11352	Abl2	2.48446058192425
11354	Scgb1b27	-4.02790238092837
11363	Acadl	7.38258371337591
11364	Acadm	4.79473771311859
11370	Acadvl	5.25666886440924
11409	Acads	4.46024227896826
11416	Slc33a1	3.83025101357745
11418	Asic2	-4.71180575136261
11419	Asic1	0.350436944362588
11421	Ace	-6.90269213336986
11423	Ache	-4.9674373408252
11425	Apoc4	-4.20992634311419
11426	Macf1	5.55386613244174
11428	Aco1	3.03369310566474
11429	Aco2	6.25211309368595
11430	Acox1	3.45033050197733
11431	Acp1	3.21362872115969
11432	Acp2	1.45167239496457
11433	Acp5	9.04979449614062
11434	Acr	-5.90557464190298
11435	Chrna1	-6.90269213336986
11438	Chrna4	-6.90269213336986
11440	Chrna6	-6.85676433561946
11441	Chrna7	-6.3819226945762
11443	Chrnb1	-0.802595595785595
11444	Chrnb2	0.208814786477269
11447	Chrnd	-6.85874878578227
11448	Chrne	1.78394097191721
11449	Chrng	-6.25958715165215
11450	Adipoq	-5.61873188868152
11451	Acrv1	-5.44866050247516
11459	Acta1	4.08907788397822
11461	Actb	8.30502223274431
11464	Actc1	-1.86080656362856
11465	Actg1	10.1867978221006
11468	Actg2	-1.78078448019735
11470	Actl7a	-5.90653419966426
11471	Actl7b	-5.8246361872294
11472	Actn2	1.62921239266414
11474	Actn3	-6.83122037823683
11475	Acta2	0.372847710123745
11477	Acvr1	-2.30706405499817
11479	Acvr1b	-5.42608771121765
11480	Acvr2a	-2.81129977782476
11481	Acvr2b	-0.371859154357312
11482	Acvrl1	-2.20441726871384
11484	Aspa	-5.93502811548955
11486	Ada	2.00067167728295
11487	Adam10	4.05122618020261
11488	Adam11	-1.45015234864073
11489	Adam12	-6.90269213336986
11490	Adam15	2.11458009173799
11491	Adam17	4.5347767575506
11492	Adam19	6.30864906113526
11495	Adam2	-6.66879253158909
11496	Adam22	-4.71180575136261
11497	Adam3	-2.66303216465648
11498	Adam4	-0.361792977869062
11499	Adam5	-6.79851175705269
11500	Adam7	-6.90269213336986
11501	Adam8	6.50675668511703
11502	Adam9	1.55771106979408
11504	Adamts1	-6.90269213336986
11512	Adcy6	0.245544850231414
11513	Adcy7	6.66023513564933
11514	Adcy8	-6.90269213336986
11515	Adcy9	-6.90269213336986
11516	Adcyap1	-6.38399107491743
11517	Adcyap1r1	-6.90269213336986
11518	Add1	7.09545268251268
11519	Add2	-6.90269213336986
11520	Plin2	3.02484763565813
11522	Adh1	-5.7334882991712
11529	Adh7	-6.37361939084499
11532	Adh5	6.34443237808359
11534	Adk	1.83293401881481
11535	Adm	-5.78344295224467
11536	Gpr182	-1.10962095849467
11537	Cfd	-5.20213218563239
11538	Adnp	4.39973450454137
11539	Adora1	-6.90269213336986
11540	Adora2a	5.64044596439275
11541	Adora2b	-6.20056828841596
11542	Adora3	-3.02540721629547
11544	Adprh	8.30527102165994
11545	Parp1	4.88834095144223
11546	Parp2	5.01195586168887
11548	Adra1b	-6.90269213336986
11549	Adra1a	-6.90269213336986
11550	Adra1d	-6.57715278493012
11551	Adra2a	-2.0187354175311
11552	Adra2b	-6.90269213336986
11553	Adra2c	-6.90269213336986
11554	Adrb1	1.88321698379113
11555	Adrb2	3.37494444839402
11556	Adrb3	-6.80057791571717
11564	Adsl	4.79703007960814
11565	Adssl1	2.24227219499851
11566	Adss	6.0604927844093
11567	Avil	-3.87913186528578
11568	Aebp1	-1.51012118954833
11569	Aebp2	3.54913688598074
11571	Crisp1	-5.81955089806962
11572	Crisp3	-5.78969742031022
11576	Afp	-0.812988288460169
11593	Aga	3.05006129299559
11595	Acan	-6.90269213336986
11596	Ager	0.634047567769699
11600	Angpt1	-6.90269213336986
11601	Angpt2	-6.62515815784095
11602	Angpt4	-3.74037490355938
11603	Agrn	1.30277558415783
11604	Agrp	-1.17231390240916
11605	Gla	-0.87621370198295
11606	Agt	-6.19665111239856
11607	Agtr1a	-6.50929228334946
11608	Agtr1b	-6.42005182384539
11609	Agtr2	-6.83777465668852
11610	Agtrap	3.35690126008589
11611	Agxt	-5.91895071823365
11614	Nr0b1	-6.16090952290588
11622	Ahr	-0.124500556864122
11624	Ahrr	-6.90269213336986
11625	Ahsg	-5.87746615708169
11628	Aicda	-6.57895954163575
11629	Aif1	-1.0336921991612
11630	Aim1	5.08356408483881
