gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
PLAUR,-6.058622391,5.487045094,-8.524710746,7.23E-14,8.89E-10,20.88542771
SRSF5,2.024277059,10.11772011,7.738034181,4.40E-12,2.70E-08,17.00433064
MREG,-3.068092746,3.294921462,-7.481120725,1.64E-11,6.74E-08,15.75823695
HSPB1,-3.743801456,6.953247597,-7.245004189,5.45E-11,1.68E-07,14.62466279
MARCO,-5.740197783,5.16042505,-7.182189161,7.49E-11,1.84E-07,14.3251485
CCL20,-4.357348281,4.749396198,-7.063663976,1.36E-10,2.28E-07,13.7625054
G0S2,-4.351169307,4.096738284,-7.054027059,1.43E-10,2.28E-07,13.71690693
ANXA5,-3.188475538,8.15329609,-7.035440673,1.56E-10,2.28E-07,13.62902709
ADM,-4.530328318,5.11002318,-7.022458524,1.67E-10,2.28E-07,13.56769569
LGALS1,-3.202964689,6.02954182,-6.873290717,3.51E-10,4.17E-07,12.86604877
OSM,-3.842126881,5.456866382,-6.860856086,3.73E-10,4.17E-07,12.80782047
BAG3,-3.779231009,7.544831245,-6.812189989,4.75E-10,4.87E-07,12.58032692
RGS16,-3.401829728,5.349247745,-6.765111065,5.99E-10,5.67E-07,12.36086473
CTSB,-3.282546826,9.370963828,-6.730664297,7.10E-10,5.95E-07,12.20067646
CTSL,-4.457993542,5.712585147,-6.702926419,8.13E-10,5.95E-07,12.07192857
CAPG,-3.409592502,6.942571719,-6.701334977,8.20E-10,5.95E-07,12.06454835
FCER1G,-4.478323384,5.12354515,-6.700590474,8.23E-10,5.95E-07,12.06109601
ID3,-2.505920695,5.613032421,-6.67339549,9.40E-10,6.42E-07,11.93509821
MAL,3.04971038,5.560117332,6.63463303,1.14E-09,7.36E-07,11.75587464
SELL,3.851103052,9.247928644,6.546879178,1.74E-09,1.07E-06,11.35176251
CD14,-4.595140175,5.085206625,-6.478313851,2.43E-09,1.42E-06,11.03762857
CCR7,3.771729301,8.920234812,6.470011886,2.53E-09,1.42E-06,10.99969101
CTSH,-3.484792498,6.430853704,-6.255816062,7.09E-09,3.79E-06,10.02847998
TYMP,-2.724601036,6.3630766,-6.24583616,7.44E-09,3.81E-06,9.983596084
CEBPD,-3.836067843,5.179728888,-6.225013829,8.21E-09,3.90E-06,9.890057559
ALAS1,-3.230570612,5.958847468,-6.224120967,8.25E-09,3.90E-06,9.886049913
GNPDA1,-2.684906953,5.374084507,-6.191509783,9.63E-09,4.39E-06,9.739859985
GPNMB,-4.98195359,4.5284953,-6.151638177,1.16E-08,5.11E-06,9.561620772
HMOX1,-4.71632023,5.051151847,-6.133642873,1.27E-08,5.37E-06,9.481357143
MS4A7,-3.892314472,3.895304901,-6.122439151,1.34E-08,5.48E-06,9.43144311
LYZ,-3.935331906,4.141238646,-6.114310465,1.39E-08,5.51E-06,9.395256462
MARCKSL1,3.095501751,6.698527254,6.09940068,1.49E-08,5.58E-06,9.32894305
NUPR1,-3.824198044,3.499911015,-6.098185811,1.50E-08,5.58E-06,9.323543223
MED17,2.98750473,6.347632467,6.064341525,1.76E-08,6.36E-06,9.173324559
SERPINH1,-4.118159103,5.288354096,-6.029777204,2.07E-08,7.26E-06,9.02033549
PTMS,-1.846688562,2.881781259,-6.012555023,2.24E-08,7.65E-06,8.944268503
EPC1,2.017325561,6.304710507,5.988323409,2.51E-08,8.34E-06,8.837426353
S100A11,-2.462483538,6.934888095,-5.978166597,2.63E-08,8.52E-06,8.79270728
CXCL3,-3.980692764,3.532076373,-5.965791267,2.79E-08,8.79E-06,8.738272057
PPT1,-1.937043563,8.371916313,-5.907440516,3.66E-08,1.13E-05,8.48237712
RHOC,-2.315805751,3.956587304,-5.85782264,4.61E-08,1.38E-05,8.265795328
HSPA6,-5.323394537,10.41149258,-5.842105703,4.95E-08,1.45E-05,8.197388285
APOC1,-2.751916405,2.89661246,-5.799406976,6.03E-08,1.70E-05,8.012029584
S100A8,-3.531949651,4.016103325,-5.797007197,6.10E-08,1.70E-05,8.001633126
FAIM3,2.030547536,8.827794316,5.781208376,6.56E-08,1.79E-05,7.933245241
GZMB,-3.891267117,5.852925848,-5.733138641,8.18E-08,2.19E-05,7.725776416
S100A9,-3.633665821,4.452886411,-5.726454002,8.43E-08,2.21E-05,7.696998716
