gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
G0S2,-4.746490079,4.096738284,-7.370274862,2.89E-11,3.55E-07,15.12661195
HSPB1,-3.866911143,6.953247597,-7.167537812,8.06E-11,4.96E-07,14.16827881
HSPA6,-6.679938802,10.41149258,-7.021553476,1.68E-10,5.84E-07,13.48391886
CCL20,-4.506107276,4.749396198,-6.996635541,1.90E-10,5.84E-07,13.36761135
ADM,-4.531456242,5.11002318,-6.727864939,7.20E-10,1.77E-06,12.12308638
DNAJB4,-2.897174138,6.46116667,-6.504743609,2.14E-09,4.39E-06,11.10488966
CXCL2,-4.898898664,4.108639232,-6.379201424,3.93E-09,6.90E-06,10.5384664
GPNMB,-5.331782571,4.5284953,-6.305848097,5.58E-09,8.11E-06,10.20978942
CEBPD,-4.030340274,5.179728888,-6.264345806,6.81E-09,8.11E-06,10.02459615
DNAJB1,-3.128125669,13.32109978,-6.252511611,7.21E-09,8.11E-06,9.971892351
FCGR2A,-4.572898395,4.312217111,-6.237041531,7.76E-09,8.11E-06,9.903065747
YWHAH,-2.364471362,7.596187012,-6.232776291,7.92E-09,8.11E-06,9.884103575
HSP90AA1,-2.608571624,11.60787353,-6.21502473,8.61E-09,8.15E-06,9.805249655
SPIRE2,-3.553221763,3.72966832,-6.190380108,9.68E-09,8.38E-06,9.695950975
VEGFA,-3.865731437,3.811588837,-6.178923961,1.02E-08,8.38E-06,9.645212698
NUPR1,-4.030208248,3.499911015,-6.155562337,1.14E-08,8.78E-06,9.54188405
LGALS1,-2.980443095,6.02954182,-6.125948833,1.31E-08,9.51E-06,9.411171396
CD9,-4.073037275,4.73624814,-6.095152205,1.52E-08,1.04E-05,9.275557615
SLC11A1,-4.501478935,4.181297658,-5.970104106,2.73E-08,1.77E-05,8.728343145
CXCR5,1.595755513,2.506567069,5.915585209,3.52E-08,2.17E-05,8.491536513
TREM1,-3.991009436,3.240535987,-5.901171583,3.77E-08,2.21E-05,8.429113556
CLEC10A,-3.011374335,2.412590949,-5.883024313,4.10E-08,2.29E-05,8.350631111
BAG3,-3.391937175,7.544831245,-5.856135003,4.64E-08,2.48E-05,8.234569054
HSPA8,-2.454065932,13.0957653,-5.765804195,7.04E-08,3.54E-05,7.846694906
CKS2,-2.396989246,6.04347466,-5.760747642,7.20E-08,3.54E-05,7.82507568
FTL,-2.380240181,12.82273566,-5.728224643,8.36E-08,3.96E-05,7.686263638
MYL12B,-1.47288047,8.881657187,-5.714417126,8.91E-08,4.06E-05,7.627457633
CYP27A1,-4.379700534,3.789705417,-5.677581487,1.05E-07,4.63E-05,7.470946319
B3GNT5,-3.346966559,3.299708607,-5.658238995,1.15E-07,4.88E-05,7.388979611
CXCL3,-3.866411438,3.532076373,-5.550056825,1.88E-07,7.70E-05,6.933355512
CXCL8,-4.657033513,4.394939623,-5.528562597,2.07E-07,8.20E-05,6.843407134
RGS2,-2.261524237,9.898625102,-5.494987368,2.40E-07,9.23E-05,6.703292211
CACYBP,-2.144034589,8.551083634,-5.488415765,2.48E-07,9.23E-05,6.675923791
HSPE1,-2.716239254,6.845284614,-5.44354936,3.03E-07,0.000107601,6.4895647
STIP1,-1.23624869,7.931168004,-5.437125419,3.11E-07,0.000107601,6.46295284
CD63,-2.402735864,7.855385564,-5.434540481,3.15E-07,0.000107601,6.452249496
FCER1G,-3.780294659,5.12354515,-5.417553953,3.40E-07,0.000112914,6.381986238
CAPG,-2.865472057,6.942571719,-5.394298761,3.77E-07,0.000121904,6.285997118
ALDH2,-4.001477845,4.14980927,-5.37580047,4.09E-07,0.000128926,6.209812083
UBC,-1.517217919,13.1702175,-5.333259069,4.93E-07,0.000151697,6.035179704
MAFB,-3.634881783,4.134624072,-5.305783147,5.57E-07,0.000167028,5.922820091
HSP90AB1,-2.587352926,11.92780152,-5.282626588,6.16E-07,0.000180503,5.828387883
TXN,-2.010102733,6.788687131,-5.257616764,6.88E-07,0.000195774,5.726671207
LGALS3,-2.776801988,5.997293777,-5.248460507,7.16E-07,0.000195774,5.689503409
MARCO,-4.379356567,5.16042505,-5.248319403,7.16E-07,0.000195774,5.688930928
MCEMP1,-2.983147988,2.866472972,-5.216003695,8.25E-07,0.000220517,5.558062105
OLR1,-3.778670052,3.70066594,-5.15311519,1.08E-06,0.000283571,5.304770642
S100A10,-1.513199972,8.272235651,-5.125186563,1.22E-06,0.000313266,5.192879475
RHOA,-1.150848565,9.51401904,-5.107728302,1.32E-06,0.000330848,5.123123785
LYZ,-3.379916781,4.141238646,-5.029815974,1.84E-06,0.000452778,4.813601107
CLEC5A,-1.614075006,1.935268327,-4.995148939,2.13E-06,0.000501479,4.676826289
