gene_name,log2FoldChange,padj
Tox,7.036955227,1.83E-05
Kcnc1,2.849110961,0.000665091
Bhlhe41,2.734920708,0.003405504
Trgv2,2.544560171,0.002967954
Slc4a10,2.519248832,0.042785737
Tcrg-C2,2.192333173,0.002468489
Ly6g5b,2.188447266,0.039941019
Tmem37,1.797790878,0.023339295
Nyap1,1.679162475,0.04164931
Gm17590,1.622263558,0.003838547
Tcrg-C4,1.618168546,0.000651636
D930048N14Rik,1.576492216,0.013316222
Gm21807,1.526982773,0.006070771
Wscd1,1.462564397,0.002830569
Slc31a2,1.437088922,0.02871492
Bcar1,1.43307898,0.025868982
Gm26517,1.426574041,0.03614902
Egf,1.418010647,0.008098705
Adora3,1.416026142,0.010054003
Muc1,1.379384083,0.015529714
Afp,1.379033878,0.01743994
Xrcc3,1.309882076,0.015472635
Ankrd29,1.274452357,0.007311856
Pgk1-rs7,1.256930969,0.024377457
Ppp2r2c,1.246583595,0.003449273
Pfpl,1.193830325,0.003179301
Gm7664,1.181672913,0.00181989
5430405H02Rik,1.171373152,0.011709576
Pfn2,1.170835853,0.034698904
Gm11870,1.150698152,0.007162858
Spata2l,1.126498136,0.040080704
Fam132b,1.122818693,0.006250131
Antxr1,1.102168554,0.013112457
Avil,1.079300261,0.048544267
Gm10785,1.071339264,0.012854342
Kcnj2,1.071337694,0.015865635
Usp2,1.069579179,0.035336363
Pdcd1,1.064039064,0.011071904
Ttc32,1.062213746,0.014272571
Hspb6,1.059116617,0.001401588
Sult2b1,1.040209821,0.012804056
Dntt,1.019767451,0.025289112
Arnt2,0.996992995,0.042277795
Pcsk4,0.994926934,0.01030006
Cebpb,0.990628852,0.010966903
Slc25a23,0.962422276,0.029299896
Lrrc27,0.961629819,0.008586663
Arhgdig,0.946664648,0.0425161
9530082P21Rik,0.94631918,0.038941817
Gm5593,0.945699769,0.047997693
Gm11189,0.923466384,0.015141829
Numbl,0.911305513,0.003186175
Prf1,0.909745633,0.000678522
Tnfrsf8,0.905552502,0.030343354
Iscu,0.900829705,0.000388504
Acsf2,0.898399386,0.043933173
Lamp3,0.898237606,0.023469062
Aig1,0.896972238,0.028899591
Myadm,0.8964272,0.00473414
Gm9824,0.888596569,0.00502965
Dpp7,0.887631415,0.036508879
Sccpdh,0.879591112,0.00076315
Mtfp1,0.875221177,0.024967244
March9,0.867328238,0.010856142
Hist1h2ag,0.8528322,0.00596121
Tspan2,0.851333495,0.000548901
Esm1,0.84842513,0.004093851
Gm4735,0.833528216,0.000439329
Gm11249,0.817088552,0.001785836
Hhat,0.812972546,0.014625694
Dixdc1,0.810645501,0.012684573
Acpp,0.808620979,0.001777156
Gcat,0.800716027,0.048257255
Abhd6,0.800521408,0.01108391
Fcer1g,0.799332732,0.017240072
Gpx4,0.797232898,0.027331056
Crat,0.795927284,0.02495502
Get4,0.790168437,0.000261037
Hist1h3f,0.788824853,0.000354735
Fam46c,0.788589614,0.027794785
AK157302,0.788275919,0.001892127
Pcyox1l,0.783724278,0.009971296
Ppp1r14b,0.780677006,0.013367985
2900026A02Rik,0.77884677,0.036038023
Phf21b,0.778532539,0.011879394
Tctn3,0.77159083,0.047644231
Hist1h3e,0.768303861,0.000426954
Gm8451,0.767854948,0.0026165
Tax1bp3,0.764486292,0.027266287
Pou2af1,0.761841187,0.029769419
Gm5540,0.761379231,0.03820052
Gm10762,0.760557761,0.009301655
Gm42462,0.760354021,0.033107665
Bcl3,0.759605665,0.008362397
Klhl17,0.759485006,0.009141811
Plod3,0.758766511,0.023819508
Ccl3,0.757463606,0.019886104
Slc25a10,0.7567573,0.007022303
Dhrs11,0.755202082,0.039191657
Cenpn,0.750736965,0.002887578
Gm19807,0.750299127,0.012577745
Depdc1a,0.749552334,0.016895697
Slc16a10,0.746927676,0.010164233
Snx21,0.741690123,0.034149963
Nudt8,0.741220685,0.000317251
Mterf1b,0.735661461,0.005677228
Ccl4,0.735300632,0.008617256
Arsb,0.734392611,0.002351565
Pkmyt1,0.730786203,0.020957979
Egfl7,0.728202579,0.023562027
Gm12350,0.728130729,0.007493331
Paox,0.726656743,0.042468082
Oplah,0.72530368,0.044806555
Rpl36-ps3,0.722054269,0.005547984
Zfp58,0.720195803,0.010171119
Gm5620,0.717394447,0.010699031
Usp50,0.715638327,0.039051152
Naglu,0.715250824,0.024124592
Hist1h3c,0.709464449,0.0145764
C1qtnf6,0.705704214,0.0272362
Gm9797,0.705175328,0.015260792
Metrn,0.702666221,0.007536635
Ggcx,0.702494043,0.020119044
Mblac1,0.699161402,0.006472385
Rbl2,0.694776061,2.4E-05
Pld2,0.693830268,0.006151372
Utf1,0.691414703,0.014943406
Asf1b,0.691372178,0.045463479
Gm5616,0.691227628,0.003237577
Sla2,0.690999896,0.000695684
1700037H04Rik,0.688963877,0.020773498
Gm6344,0.68766633,0.000987545
Ier5l,0.686155648,0.000265023
Mypopos,0.685331831,0.048528768
Hist1h4k,0.685309503,2.92E-05
Smim4,0.684554722,0.006122449
Them6,0.684342352,0.0063645
Tnfrsf21,0.683166798,0.002431141
Hist1h4c,0.6816762,0.005165195
Hist2h3c2,0.681241315,0.012206043
Trbv31,0.680968067,0.036995046
Mrvi1,0.678259075,0.044334884
Hist1h3b,0.676629537,0.000182131
Tspan4,0.672214509,0.046507932
Nptxr,0.668635334,0.0154035
Ccnb1,0.666998804,0.011719774
Gas7,0.663738654,0.001035971
Gm13552,0.663346401,0.001843127
Creg1,0.658590016,0.00877301
Gm10116,0.657775015,0.002306348
Gzmf,0.657257643,0.029816264
Isyna1,0.656814845,0.048917614
Rmnd5b,0.656768983,0.00819477
Gaa,0.655184293,0.004462999
Nit2,0.653672476,0.032654204
H2afx,0.65281012,0.002022787
Hist1h4f,0.650357572,0.015967474
Tmem39b,0.647793702,0.021520412
Hist1h2bh,0.647334641,0.001070464
1600002K03Rik,0.645796044,0.04302463
Exoc3l,0.642226628,0.00869797
Trbv20,0.640427306,0.005778127
Gm9826,0.638702442,0.009801453
Gm3934,0.635031284,0.03780125
Hist1h2ap,0.634062433,0.017318644
Oip5,0.6336812,0.001392047
Pskh1,0.633299541,0.004579684
Tuba1b,0.633095245,0.002420932
Gm5406,0.631941045,0.041752915
Rsph3a,0.626022123,0.031280558
Gemin4,0.623491647,0.024824492
Zfp874b,0.621504718,0.048795077
Lpar5,0.621311192,0.030928648
Hist1h2ai,0.621164949,0.034598339
Gm4737,0.61837545,0.001104004
Ccna2,0.618164377,0.039063916
Rbbp9,0.61798771,0.009478677
Adk,0.615446542,0.025282554
Cd244,0.613535665,0.004165408
Zfp97,0.611006016,0.014237756
D3Ertd751e,0.609653735,0.012421723
Rps23,0.608284735,0.000597694
Cox18,0.607623214,0.008744575
Vash1,0.606801272,0.017432249
Cars2,0.606005166,0.032063139
1600002H07Rik,0.605209089,0.010452911
Gm14150,0.60334044,0.003322048
Gga2,0.60276628,0.01439849
Gm5931,0.599709336,0.003594129
Ccdc61,0.597728062,0.013880981
Pvrl3,0.595268532,0.038238822
Acsl1,0.594501786,0.012580397
Tmem8b,0.59251483,0.016808258
Trib3,0.591941614,0.00969493
Rpa3,0.591775071,0.004597552
Hist1h3h,0.590918473,0.000369504
Poc1a,0.590917133,0.005119766
Mtfr2,0.590081605,0.002385748
Rpl10,0.590067356,0.026623749
Rnaset2b,0.589908088,0.009177305
Gcnt1,0.589197891,0.015684844
Ctsd,0.588539185,0.002420218
Nphp1,0.588447272,0.027031494
Adnp,0.588241735,0.006968673
Hist1h2bg,0.584045803,0.004117393
Pafah2,0.582527352,0.021744127
Idi1,0.582188848,0.021402671
Dcaf15,0.581621743,0.007261135
Gm12989,0.58088182,0.00010586
Cdca3,0.580824407,0.019274568
Smo,0.578265116,0.045246043
Txnl4b,0.576737279,0.020499631
Dcakd,0.572396405,0.023049648
Dph1,0.570278397,0.011068393
Rfc2,0.569995354,0.022740782
Ube2c,0.564228489,0.000127717
Hist1h2ab,0.563061667,0.016827485
Jup,0.562729975,0.022328279
F2rl3,0.562453654,0.002232839
Cox5a,0.562333713,0.003450503
Hist1h4b,0.561714905,0.004739756
Tmem97,0.560847819,0.010496291
Bag2,0.560641782,0.006988226
Hist1h3a,0.559327662,0.005664513
Ska1,0.559300272,0.030188237
Prdm1,0.559236107,0.004221144
Hist1h3i,0.558831494,0.003146667
Tk1,0.558694699,0.018063676
Hist1h2ah,0.558498969,0.030504175
Gm6768,0.55624738,0.009539044
Emp3,0.555776887,0.022456089
Hist1h2ad,0.553731225,0.039708333
Gm7666,0.553234963,0.033304735
Hist2h3b,0.552916638,0.007025694
Kptn,0.55224097,0.043064556
Dhps,0.551493275,0.034186892
Aldh7a1,0.551452534,0.00762226
Ergic1,0.550692271,0.004083828
Coq7,0.549800998,0.005912267
Cuta,0.549795222,0.001364245
Fgr,0.549637151,0.033264212
Tysnd1,0.549626623,0.008560963
mt-Nd3,0.548396407,0.026133952
Ddias,0.548152313,0.010857274
1110065P20Rik,0.546596527,0.023447708
Lpcat4,0.546475114,0.014113131
Rpl27,0.546025403,0.008368337
Lrch4,0.544796404,0.045042408
Gm3362,0.54389994,0.015846334
Espl1,0.543494997,0.014742346
Ptges3,0.54326435,0.0038354
Abcb9,0.542717641,0.001735621
Cd320,0.541769815,0.018684994
Cdk5r1,0.541113255,0.034317997
Gm5812,0.540323994,0.009697993
Snx10,0.539433464,0.048664186
Cbx8,0.538270054,0.025557238
Mboat1,0.537973375,0.014378608
Hist1h4d,0.536379172,0.026838298
Gm5873,0.53486592,0.035607706
Nt5dc2,0.53359855,0.015071549
Hist1h2ao,0.533274269,0.04883147
Nenf,0.532978634,0.039565551
Prcp,0.528849518,0.00712005
Slc35f2,0.527710622,0.008358762
Xk,0.526104095,0.042527647
Abhd17c,0.525586151,0.016845716
Enkd1,0.52328999,0.03263976
Hist1h3d,0.521073274,0.005286933
Rps21,0.518579491,0.010535851
Nme2,0.518274853,0.031414279
2810417H13Rik,0.517978716,0.022601033
Zswim1,0.517819713,0.030936649
Rpl9-ps7,0.517773403,0.009504033
Alkbh6,0.517284179,0.020566302
Zfp72,0.516614594,0.047319442
Lyrm7,0.514779208,0.044043574
Mgat4b,0.514435878,0.041081112
Nudt7,0.513313466,0.042644014
Mt2,0.511828432,3.3E-05
Hmga1,0.511806729,0.002822306
Lztfl1,0.511296698,0.009912555
Rpl39-ps,0.51060972,0.000317186
Gm4482,0.510447347,0.036466419
Gm10145,0.509409401,0.034996585
Mrps34,0.507759367,0.000752213
Ogg1,0.506273635,0.027604032
Cisd1,0.506241747,0.021678582
Gm6204,0.505030272,0.012859816
Eno1,0.504401891,0.003966881
Rasgrp2,0.503004898,0.013078303
Slc7a11,0.502849066,0.035440123
L2hgdh,0.502302241,0.003934895
Pigp,0.501942367,0.007654903
Dalrd3,0.501590804,0.012069029
H6pd,0.50048048,0.001955336
Dck,0.500274159,0.0373818
Igf2bp2,0.499157154,0.003853672
Slc20a2,0.498135778,0.011589531
Siva1,0.494426929,0.003751548
Pgls,0.494344484,0.020227418
Spsb1,0.494213171,0.008374657
Mocs3,0.493300361,0.027171135
