gene_name,Texterm vs Texprog1,Texterm vs Texprog2,Texterm vs Texint
0610010F05Rik,0,-1,0
1500009L16Rik,0,-1,0
1600014C10Rik,0,1,0
1700025G04Rik,0,-1,-1
2010012O05Rik,0,0,-1
2610020H08Rik,1,1,0
2610301B20Rik,-1,0,0
2610318N02Rik,0,-1,0
2700029M09Rik,0,-1,0
2810417H13Rik,-1,-1,-1
4930579G24Rik,0,-1,0
4931406P16Rik,1,0,0
4932438A13Rik,1,0,0
6330416G13Rik,0,0,1
8430419L09Rik,0,0,1
9930012K11Rik,1,1,0
Aak1,1,1,1
AB124611,0,0,-1
Abcb1a,1,1,1
Abcb9,1,1,1
Abcc5,1,0,0
Abcg1,0,1,1
Abcg3,1,1,0
Abhd14a,-1,-1,0
Abhd15,1,0,0
Abhd17c,-1,0,0
Abi3,1,1,1
Abr,1,1,0
Acsbg1,1,0,0
Acsf2,0,1,1
Acss2,0,0,-1
Actn1,-1,-1,0
Adam19,1,0,0
Adam8,1,1,1
Adap1,0,0,1
Adcy7,1,1,0
Adora2a,1,1,0
Adrb1,1,1,0
Afp,0,1,1
Agfg1,0,0,1
Agpat5,-1,-1,0
Ahcy,0,-1,0
Ahnak,0,0,-1
AI854703,-1,0,0
Aim1,0,0,-1
Akna,1,1,0
Alcam,0,-1,-1
Alg8,0,-1,0
Alkbh2,0,1,0
Alyref2,1,1,0
Amica1,0,0,1
Amigo1,-1,0,0
Ammecr1,0,-1,0
Anapc15,0,-1,0
Angptl4,0,1,0
Ankrd44,1,0,0
Anln,-1,-1,-1
Ano10,-1,-1,-1
Anp32b,0,-1,0
Anp32e,0,-1,0
Anxa1,0,-1,-1
Anxa2,0,-1,-1
Anxa4,0,-1,-1
Ap1g1,1,0,0
Ap1s2,0,0,-1
Ap3s1,0,0,-1
Ap5b1,1,1,1
Apaf1,1,0,0
Apbb1,1,1,0
Apex1,-1,-1,0
Apitd1,0,-1,0
Aplp1,1,1,1
Aplp2,1,0,0
Apobec2,0,-1,-1
Apol10b,1,1,1
Apol7e,1,1,1
Apoo,0,-1,0
Appl2,1,1,1
Aqp3,-1,-1,0
Ar,-1,-1,-1
Arhgap10,1,1,1
Arhgap11a,0,-1,0
Arhgap19,0,-1,0
Arhgap26,0,0,-1
Arhgap31,0,1,0
Arhgef18,0,0,-1
Arhgef3,-1,-1,-1
Arid2,1,0,0
Arid3a,1,0,0
Arl4c,0,-1,-1
Arl4d,-1,0,-1
Arl5c,0,-1,-1
Arl6ip6,0,0,-1
Armc7,0,1,0
Armcx2,-1,0,0
Arrdc3,0,1,0
Arsb,1,0,0
Art2b,0,1,1
Arxes2,-1,0,0
As3mt,-1,-1,-1
Asap1,-1,0,0
Asap2,1,1,0
Asf1a,-1,0,0
Asf1b,0,-1,0
Asns,-1,-1,0
Ass1,0,-1,0
Atad3a,-1,0,0
Atad5,0,-1,0
Atic,0,-1,0
Atp13a2,0,0,-1
Atp1b3,-1,-1,-1
Atp2b1,0,0,-1
Atp6v0a2,1,0,0
Atp8b2,1,0,0
Atpif1,0,-1,0
Aurka,-1,-1,0
Aurkb,-1,-1,-1
Aven,0,0,-1
