gene_name,Texprog1 vs Texprog2,Texprog1 vs Texint,Texprog1 vs Texterm
1500009L16Rik,-1,-1,0
1700025G04Rik,0,-1,0
2010012O05Rik,0,-1,0
2610020H08Rik,0,-1,-1
2610301B20Rik,0,1,1
2810417H13Rik,-1,0,1
4931406P16Rik,0,-1,0
4932438A13Rik,0,-1,-1
9930012K11Rik,0,0,-1
A430078G23Rik,0,-1,0
Abca7,0,-1,0
Abcb1a,0,0,-1
Abcb9,0,0,-1
Abcc5,0,-1,0
Abcg3,0,0,-1
Abhd14a,0,0,1
Abhd15,0,0,-1
Abhd17c,0,1,1
Abhd2,0,-1,0
Abi3,0,0,-1
Abr,0,0,-1
Acot11,0,-1,0
Acsbg1,0,-1,-1
Acsl4,0,-1,0
Acss2,0,-1,0
Actn1,0,1,1
Adam19,0,0,-1
Adam8,0,-1,-1
Adck3,0,1,0
Adcy7,0,-1,-1
Adora2a,0,0,-1
Adrb1,0,-1,-1
Afp,0,1,0
Agpat5,0,1,1
Ahnak,0,-1,0
AI854703,0,0,1
Akna,0,0,-1
Akr1c13,0,-1,0
Alcam,0,-1,0
Alyref2,0,0,-1
Amigo1,1,1,1
Ammecr1,-1,0,0
Ankib1,0,-1,0
Ankrd44,-1,-1,-1
Anln,-1,0,1
Ano10,0,0,1
Anxa2,-1,0,0
Ap1g1,0,0,-1
Ap1s2,0,-1,0
Ap5b1,0,0,-1
Apaf1,0,-1,0
Apbb1,0,0,-1
Apbb1ip,0,-1,0
Apex1,0,1,1
Aplp1,0,0,-1
Aplp2,0,-1,-1
Apobec2,0,-1,0
Apobec3,0,1,0
Apol10b,0,0,-1
Apol7e,0,0,-1
Appl2,0,0,-1
Aqp3,0,0,1
Ar,0,0,1
Arhgap11a,-1,0,0
Arhgap19,-1,0,0
Arhgef18,0,-1,0
Arhgef3,0,0,1
Arid2,0,0,-1
Arid3a,0,0,-1
Arid3b,0,-1,0
Arid5a,0,1,0
Arl5a,0,-1,0
Armcx2,0,1,1
Arsb,-1,-1,-1
Arxes2,0,0,1
As3mt,0,-1,0
Asap1,0,1,1
Asap2,0,0,-1
Asf1a,0,1,1
Asf1b,-1,0,0
Asns,0,1,1
Atad3a,0,1,1
Atf6,0,-1,0
Athl1,0,-1,0
Atp13a3,-1,0,0
Atp1b3,0,0,1
Atp2a3,-1,-1,0
Atp2b1,0,-1,0
Atp6v0a2,0,0,-1
Atp7a,0,-1,0
Atp8b2,0,0,-1
Atxn7,0,-1,0
Aurka,-1,0,1
Aurkb,-1,0,1
AW011738,0,0,-1
Axl,0,1,0
B3gnt1,0,0,1
B3gnt5,0,0,1
B4galt1,0,-1,0
Bag2,0,0,1
Baiap2,0,0,-1
Baiap3,0,-1,-1
BC037034,0,0,-1
Bcl11b,0,0,-1
Bcl2l11,0,-1,-1
Bcl6,0,1,0
Bhlhe40,0,-1,0
Birc5,-1,0,1
Bmyc,0,1,1
Bphl,0,1,1
Brip1,-1,0,0
Bspry,0,0,-1
Btbd11,0,0,-1
Btla,0,1,1
Bub1,-1,0,1
Bub1b,-1,0,1
Bzw2,0,1,1
C1qbp,0,1,0
C330027C09Rik,-1,0,0
Calhm2,0,0,-1
Cap1,0,-1,-1
Capn2,0,-1,0
Car5b,0,-1,0
Carm1,0,1,0
Casc5,-1,0,0
Casp4,0,1,1
Casp7,0,-1,0
Ccdc125,0,1,0
Ccdc126,0,0,1
Ccdc58,0,1,0
Ccdc64,0,1,1
Ccdc86,0,1,0
Ccdc88c,0,-1,0
Ccdc91,0,1,1
Ccdc92,0,1,0
Ccl3,0,0,-1
Ccl4,0,-1,-1
Ccl5,0,-1,-1
Ccna2,-1,0,1
Ccnb1,-1,1,1
Ccnb2,-1,0,1
Ccnd3,0,-1,0
Ccnf,-1,0,1
Ccp110,-1,0,0
Ccr2,-1,-1,0
Ccr5,0,0,-1
Ccrl2,0,0,-1
Cd101,1,1,-1
Cd160,1,1,-1
Cd200,0,1,1
Cd200r1,1,0,-1
Cd200r4,0,-1,-1
Cd226,0,-1,-1
Cd244,0,-1,-1
Cd28,0,1,1
Cd38,0,0,-1
Cd44,0,0,1
Cd48,0,-1,0
Cd69,0,1,0
Cd7,0,1,-1
Cd72,0,1,0
Cd9,0,1,1
Cd97,0,-1,-1
Cdc20,-1,0,1
Cdc25b,-1,-1,0
Cdc25c,-1,0,0
Cdc45,-1,0,0
Cdc6,-1,0,1
Cdca2,-1,0,0
Cdca3,-1,0,1
Cdca5,-1,0,1
Cdca7,-1,0,1
Cdca8,-1,0,1
Cdk1,-1,0,1
Cdk2,-1,0,0
Cdk6,0,-1,-1
Cdkn2c,-1,-1,0
Cdkn2d,0,0,1
Cela1,0,0,-1
Cenpa,-1,0,0
Cenpe,-1,0,1
Cenpf,-1,0,1
Cep19,0,0,1
Cep192,0,-1,0
Cep55,-1,0,1
Chaf1a,-1,0,0
Chn2,0,-1,-1
Chpt1,0,-1,0
Chst12,0,0,-1
Chst2,0,0,-1
Cipc,0,0,-1
Cisd3,0,0,1
Cish,0,-1,-1
Cit,-1,0,0
Ckap2,-1,0,1
Ckap2l,-1,0,1
Ckb,0,0,-1
Cks1b,-1,0,1
Cks2,-1,0,1
Clec2i,0,1,0
Clgn,-1,0,0
Clpb,0,0,1
Cltc,0,-1,0
Cmpk1,0,-1,0
Cmpk2,0,1,1
Cmya5,0,1,1
Cnrip1,0,0,1
Cntn1,0,0,1
Coro2a,0,0,-1
Cpm,0,0,1
Cpne3,0,1,1
Crim1,0,0,-1
Crip1,-1,-1,0
Crmp1,-1,0,0
Crot,0,0,-1
Crtam,1,1,1
Csf1,0,0,-1
Csprs,0,0,1
Ctage5,0,1,0
Ctdsp1,0,-1,0
Ctla2a,0,1,1
Ctla2b,0,1,1
Ctps,0,1,1
Ctsc,0,0,-1
Ctsd,0,-1,-1
Ctss,0,1,1
Ctsz,0,0,1
Cux1,0,0,1
Cx3cr1,-1,-1,0
Cxcl10,1,1,1
Cxcr3,0,1,0
Cxcr4,0,0,1
Cxcr5,1,1,1
Cxcr6,0,-1,-1
Cxxc5,0,1,0
Cyb561d1,0,-1,0
Cysltr2,0,0,-1
Cyth3,0,1,0
Cyth4,0,-1,0
D16Ertd472e,0,-1,0
D1Ertd622e,0,-1,0
D8Ertd82e,0,-1,-1
Dap3,0,0,1
Dapk2,0,-1,-1
Ddit4,0,0,1
Ddx1,0,0,1
Ddx24,0,1,0
Ddx28,0,-1,-1
Ddx56,0,1,0
Ddx60,0,1,0
Dennd1b,0,-1,0
Dennd2d,0,1,0
Dennd4c,-1,-1,0
Dennd5a,0,-1,-1
Depdc1b,-1,0,1
Depdc5,-1,0,0
Dgkd,0,0,-1
Dgkh,0,0,-1
Dhfr,-1,0,0
Dhx58,0,1,0
Diap1,0,-1,-1
Dkc1,0,1,1
Dlgap5,-1,0,0
Dnajc15,0,-1,0
Dnajc27,0,0,1
Dnmt1,-1,-1,0
Dock11,0,-1,0
Dock5,0,-1,-1
Dok2,0,0,-1
Dpp4,0,1,1
Dpysl2,0,-1,0
Dscc1,-1,0,0
Dse,0,0,1
Dtl,-1,0,0
Dtwd1,0,1,1
Dtx1,1,0,0
Dtx4,0,0,-1
Dus4l,0,0,1
Dusp5,0,-1,-1
Dusp6,0,1,-1
Dynll2,0,0,-1
E2f1,-1,0,0
E2f7,-1,0,0
E2f8,-1,0,0
Ect2,0,0,1
Efemp2,0,0,1
Egr1,0,1,0
Ehd3,0,0,1
Eid2,0,1,1
Eif2b3,0,1,0
Eif4e3,0,0,-1
Elf4,0,-1,-1
Elp3,1,0,0
Emb,0,1,1
Emc9,0,0,1
Emp1,-1,-1,0
Emp3,0,-1,0
Endod1,0,-1,0
Enpp2,0,1,1
Enpp4,0,0,-1
Enpp5,0,0,-1
Entpd1,0,-1,-1
Epcam,0,1,0
Erbb2ip,0,-1,0
Ercc6l,-1,0,0
Ercc6l2,0,1,0
Esco2,-1,0,0
Esyt1,0,-1,0
Etv3,0,0,-1
Etv6,0,1,1
Evl,0,1,0
Ext1,0,1,0
Ezh2,0,0,1
F2r,0,-1,-1
F2rl2,0,-1,-1
F2rl3,-1,-1,0
Faah,0,1,1
Fam101b,1,1,0
Fam102a,0,0,-1
Fam102b,0,-1,0
Fam117b,0,-1,0
Fam129b,-1,0,0
Fam134c,0,-1,0
Fam160a2,0,0,-1
Fam174b,0,1,0
Fam178a,0,0,-1
Fam53c,0,-1,-1
Fam60a,0,1,0
Fam63a,0,-1,0
Fam78a,0,0,-1
Fam86,0,0,1
Fanci,-1,0,0
Fas,0,0,1
Fasl,0,-1,-1
Fbxl2,0,-1,0
Fbxo31,0,-1,0
Fbxo4,0,0,1
Fbxo5,-1,0,1
Fchsd2,0,1,0
Fgf13,0,0,1
Fgfr1op,0,1,1
Fgl2,0,-1,-1
Fignl1,-1,0,1
Filip1l,0,1,0
Fkbp10,0,-1,0
Fli1,0,0,-1
Flna,-1,-1,0
Flnb,-1,-1,0
Folr4,0,1,0
Foxj2,0,-1,0
Foxn3,0,0,-1
Fpgs,0,1,0
Frmd4b,0,0,-1
Frmd6,0,-1,0
Fundc1,0,1,0
Gaa,0,1,0
Gadd45b,0,0,-1
Gadd45g,0,1,1
Galnt10,0,-1,0
Galnt6,0,0,-1
Gas2l3,-1,0,0
Gatsl3,0,0,1
Gbp4,0,1,0
Gbp6,1,1,0
Gbp9,0,1,0
Gdf11,0,0,-1
Gem,0,0,-1
Gfod1,-1,-1,-1
Ggt1,-1,0,0
Ggta1,0,0,-1
Glcci1,0,0,-1
Glipr2,0,-1,1
Glrx,0,0,-1
Gltscr1l,0,-1,-1
Gm12185,0,1,0
Gm12216,0,0,-1
Gm12250,0,1,0
Gm12253,0,0,-1
Gm2000,0,0,1
Gm21994,0,0,-1
Gm2a,0,0,1
Gmnn,-1,0,0
Gna15,0,-1,0
Gnaq,0,0,1
Gng2,0,0,-1
Gnl2,0,1,0
Gnl3,0,1,1
Gns,0,-1,0
Golm1,0,-1,0
Gpatch4,0,1,1
Gpd2,0,-1,-1
Gpr18,1,1,0
Gpr183,0,1,1
Gpr56,0,-1,-1
Gpr68,0,-1,0
Gprin3,0,0,1
Gpsm2,-1,0,1
Gramd1a,0,0,-1
Gramd3,0,1,1
Gramd4,0,0,1
Grwd1,0,1,1
Gsap,0,-1,0
Gse1,0,0,-1
Gsg2,-1,0,0
Gtf2e2,0,0,1
Gtf2i,0,-1,0
Gzma,0,-1,-1
Gzmb,-1,-1,-1
Gzmk,0,0,-1
H2afx,0,0,1
H2afz,0,0,1
H6pd,0,0,-1
Havcr2,0,-1,-1
Hcst,0,0,-1
Hdac10,0,0,1
Hdac5,0,-1,0
Hdgfrp3,0,0,1
Helz2,0,0,-1
Herc1,0,-1,-1
Herc6,0,1,0
Hgsnat,0,1,0
Hiatl1,0,-1,0
Hic1,0,0,-1
Hid1,0,-1,-1
Hif1a,0,1,0
Hip1,0,-1,-1
Hist1h1e,-1,0,0
Hist1h2ae,-1,0,0
Hist1h2ap,-1,0,0
Hmgb3,0,1,1
Hmgn1,0,0,1
Hmmr,-1,0,1
Hn1l,0,0,1
Hnrnpul2,0,-1,0
Hook1,0,1,0
Hs3st3b1,0,-1,0
Hsh2d,0,1,0
Hspa5,0,1,0
Hspa9,0,1,0
Hvcn1,0,1,0
Hyls1,-1,0,0
I830012O16Rik,1,1,1
Ica1,0,0,-1
Icam2,0,0,1
Icmt,0,-1,-1
Icos,1,1,1
Id2,0,-1,-1
Ids,0,-1,-1
Ifi204,1,1,1
Ifi44,0,1,1
Ifih1,1,1,0
Ifit1,1,1,0
Ifit3,1,1,1
Ifitm10,0,-1,0
Ifngr1,-1,-1,-1
Ift57,0,1,1
Igf2r,0,-1,0
Ighm,0,1,1
Igtp,0,1,0
Iigp1,0,1,1
Ikbke,0,1,1
Il12rb1,0,0,-1
Il12rb2,0,-1,0
Il18r1,0,-1,0
Il18rap,0,-1,1
Il21r,0,0,-1
Il7r,0,1,1
Ildr1,0,0,-1
Inadl,0,1,0
Incenp,-1,0,0
Inpp4a,0,0,-1
Inpp4b,0,1,0
Inpp5d,0,0,-1
Iqgap2,-1,-1,0
Irak2,0,0,-1
Irf1,0,0,-1
Irf7,0,1,0
Isg15,0,1,0
Isoc1,0,1,0
Itfg3,0,0,1
Itgad,0,-1,-1
Itgam,0,-1,0
Itgax,0,-1,0
Itgb1,0,0,1
Itih5,0,0,-1
Itpkb,0,0,-1
Itpr3,0,0,-1
Jup,0,-1,0
Kansl1,0,0,-1
Kbtbd11,0,1,1
Kcna3,0,0,-1
Kcnab2,0,-1,0
Kcnip3,1,1,1
Kcnk5,0,-1,-1
Kcnn4,0,0,1
Kdm4a,0,-1,0
Kif11,-1,0,1
Kif18a,-1,0,0
Kif18b,-1,0,0
Kif20a,-1,0,1
Kif21b,0,-1,0
Kif22,-1,0,1
Kif23,-1,0,1
Kif2c,-1,0,1
Kif4,-1,0,1
Klf2,0,-1,1
Klf3,0,-1,1
Klhl25,0,0,-1
Klhl28,0,-1,0
Klhl6,0,0,1
Klk8,0,0,-1
Klra3,0,-1,0
Klrc1,0,-1,0
Klrd1,0,-1,0
Klre1,0,-1,0
Klrg1,0,-1,0
Klrk1,0,-1,1
Knstrn,-1,0,0
Kntc1,-1,0,0
Kpna2,0,0,1
L1cam,-1,-1,-1
L3mbtl3,0,0,-1
Lag3,1,0,0
Lair1,0,-1,0
Lamb3,0,-1,-1
Lamc1,0,-1,-1
Lap3,0,1,0
Larp1b,0,0,1
Lasp1,0,-1,-1
Lats2,0,-1,0
Ldhb,1,1,0
Ldlrap1,0,0,1
Lef1,0,0,1
Lfng,0,-1,0
Lgals1,-1,-1,0
Lgals3,-1,-1,0
Lig1,-1,0,0
Limd2,0,1,0
Limk1,0,0,-1
Litaf,0,0,-1
Lmnb1,-1,0,0
Lmtk2,0,-1,-1
Lpar6,0,0,-1
Lpin1,0,-1,0
Lpxn,0,1,0
Lrrc8d,0,1,0
Lrrk1,0,-1,-1
Ltb,1,1,0
Ltv1,0,0,1
Ly6c2,0,0,1
Ly6e,0,1,0
Ly9,0,0,1
Lysmd2,0,1,1
Lysmd3,0,-1,0
Lyst,0,-1,-1
Mad2l1,-1,0,0
Madd,0,-1,0
Malt1,0,-1,0
Man1c1,0,0,1
Map3k2,0,-1,0
Map3k4,0,0,-1
Map3k8,0,0,1
Map4,0,-1,0
Mapk1ip1l,0,-1,0
Mapkapk3,0,0,-1
Mast3,0,-1,-1
Matk,0,-1,0
Mboat1,0,1,1
Mccc1,0,1,0
Mccc2,0,1,0
Mcm10,-1,0,0
Mcm3,-1,0,0
Mef2a,0,-1,-1
Mef2d,0,0,-1
Melk,-1,0,1
Metap1d,0,1,0
Metrnl,0,-1,-1
Mettl1,0,1,1
Mettl16,0,1,0
Mettl7a1,0,-1,-1
Mfhas1,0,0,1
Mfsd10,0,0,-1
Mfsd4,0,-1,0
Mgrn1,0,1,1
Mki67,-1,0,0
Mkl1,0,-1,0
Mknk2,0,-1,0
Mnat1,0,0,1
Mnda,1,1,1
Mndal,0,0,1
Mob1a,0,-1,0
Mocos,0,0,-1
Mphosph10,0,1,0
Mprip,0,0,-1
Mrpl17,0,1,0
Mrpl45,0,1,1
Mrps18b,0,0,1
Mrps27,0,1,0
Mrps6,0,1,0
Ms4a4c,0,1,1
Msl3l2,1,1,1
Mtfr2,-1,0,0
Mtmr1,0,0,-1
Mtpn,0,-1,0
Mx2,0,1,0
Mxi1,0,-1,0
Myadm,-1,-1,0
Myb,0,1,1
Mybl2,-1,0,0
Myc,0,1,1
Myo5a,-1,0,0
Myo9b,0,0,-1
N4bp1,0,-1,0
Nabp1,0,-1,0
Naip2,0,-1,0
Nbn,0,1,1
Ncald,0,-1,0
Ncapd2,-1,0,0
Ncapg,-1,0,0
Ncapg2,-1,0,0
Ncaph,-1,0,1
Nceh1,0,0,-1
Ncoa7,0,1,1
Ndc80,0,0,1
Ndfip2,0,-1,0
Ndnf,0,-1,-1
Ndrg4,0,-1,0
Nedd4,0,-1,-1
Nedd9,0,0,-1
Nek2,-1,0,1
Nek7,0,0,1
Nfatc3,0,-1,0
Nfic,0,-1,0
Nfkb2,0,1,0
Nfkbia,0,1,0
Nin,0,-1,-1
Ninj2,0,1,1
Nipa2,0,-1,0
Nipal3,0,-1,0
Nit2,0,0,1
Nkg7,0,0,-1
Nlrc3,0,-1,0
Nmnat2,0,-1,0
Nop16,0,1,1
Nop2,0,1,0
Nop58,0,1,1
Notch2,0,-1,0
