gene_name,Texint vs Texprog1,Texint vs Texprog2,Texint vs Texterm
1500009L16Rik,1,0,0
1700025G04Rik,1,0,1
2010012O05Rik,1,1,1
2610020H08Rik,1,0,0
2610301B20Rik,-1,0,0
2810417H13Rik,0,-1,1
4931406P16Rik,1,0,0
4932438A13Rik,1,0,0
6330416G13Rik,0,0,-1
8430419L09Rik,0,0,-1
A430078G23Rik,1,0,0
Aak1,0,0,-1
AB124611,0,0,1
Abca7,1,0,0
Abcb1a,0,0,-1
Abcb9,0,0,-1
Abcc5,1,0,0
Abcg1,0,0,-1
Abhd17c,-1,0,0
Abhd2,1,0,0
Abi3,0,0,-1
Acot11,1,0,0
Acsbg1,1,1,0
Acsl4,1,0,0
Acss2,1,1,1
Actn1,-1,-1,0
Adam8,1,0,-1
Adap1,0,-1,-1
Adck3,-1,0,0
Adcy7,1,0,0
Adrb1,1,1,0
Afp,-1,-1,-1
Agfg1,0,0,-1
Agpat5,-1,0,0
Ahnak,1,0,1
Aim1,0,0,1
Akr1c13,1,1,0
Alcam,1,0,1
Alg8,0,-1,0
Amica1,0,0,-1
Amigo1,-1,0,0
Ankib1,1,0,0
Ankrd44,1,0,0
Anln,0,-1,1
Ano10,0,0,1
Anxa1,0,0,1
Anxa2,0,0,1
Anxa4,0,0,1
Ap1s2,1,0,1
Ap3s1,0,0,1
Ap5b1,0,0,-1
Apaf1,1,0,0
Apbb1ip,1,1,0
Apex1,-1,-1,0
Apitd1,0,-1,0
Aplp1,0,0,-1
Aplp2,1,0,0
Apobec2,1,0,1
Apobec3,-1,0,0
Apol10b,0,0,-1
Apol7e,0,0,-1
Appl2,0,0,-1
Ar,0,0,1
Arhgap10,0,0,-1
Arhgap11a,0,-1,0
Arhgap19,0,-1,0
Arhgap26,0,0,1
Arhgap31,0,1,0
Arhgef18,1,1,1
Arhgef3,0,0,1
Arid3b,1,0,0
Arid5a,-1,0,0
Arl15,0,1,0
Arl4c,0,0,1
Arl4d,0,0,1
Arl5a,1,0,0
Arl5c,0,0,1
Arl6ip6,0,0,1
Armcx2,-1,0,0
Arsb,1,0,0
Art2b,0,0,-1
As3mt,1,1,1
Asap1,-1,0,0
Asf1a,-1,0,0
Asf1b,0,-1,0
Asns,-1,-1,0
Atad3a,-1,0,0
Atf6,1,0,0
Athl1,1,0,0
Atp13a2,0,0,1
Atp1b3,0,0,1
Atp2a3,1,0,0
Atp2b1,1,0,1
Atp7a,1,0,0
Atxn7,1,0,0
Aurka,0,-1,0
Aurkb,0,-1,1
Aven,0,0,1
AW011738,0,0,-1
Axl,-1,0,0
B3gnt5,0,0,1
B430305J03Rik,0,0,1
B4galt1,1,0,0
B4galt4,0,0,-1
B930041F14Rik,0,0,-1
Baiap3,1,1,0
BC037034,0,0,-1
BC052040,0,-1,0
Bcl2l11,1,1,0
Bcl6,-1,0,0
Bcl7a,0,0,-1
Bhlhe40,1,1,0
Birc5,0,-1,1
Bmyc,-1,-1,0
Bora,0,-1,0
Bphl,-1,-1,0
Brip1,0,-1,0
Bspry,0,0,-1
Btbd11,0,0,-1
Btbd19,0,0,-1
Btla,-1,-1,0
Bub1,0,-1,1
Bub1b,0,-1,1
Bzw2,-1,-1,0
C1qbp,-1,0,0
C330027C09Rik,0,-1,0
Camkk1,0,0,-1
Cap1,1,0,0
Capg,0,-1,0
Capn2,1,0,1
Car5b,1,0,1
Carm1,-1,0,0
Casc5,0,0,1
Casp4,-1,0,0
Casp7,1,0,0
Cbx4,0,0,-1
Ccdc109b,0,0,1
Ccdc125,-1,0,0
Ccdc58,-1,0,0
Ccdc64,-1,0,0
Ccdc86,-1,0,0
Ccdc88c,1,0,1
Ccdc91,-1,-1,0
Ccdc92,-1,0,-1
Ccl3,0,1,-1
Ccl4,1,1,-1
Ccl5,1,1,0
Ccna2,0,-1,1
Ccnb1,-1,-1,1
Ccnb2,0,-1,1
Ccnd3,1,0,0
Ccnf,0,-1,1
Ccr2,1,0,1
Ccrl2,0,0,-1
Cd101,-1,0,-1
Cd160,-1,0,-1
Cd200,-1,-1,0
Cd200r1,0,0,-1
Cd200r4,1,1,-1
Cd226,1,1,0
Cd244,1,1,-1
Cd27,0,0,-1
Cd28,-1,0,0
Cd38,0,0,-1
Cd3g,0,0,-1
Cd44,0,0,1
Cd48,1,0,0
Cd69,-1,0,-1
Cd7,-1,0,-1
Cd72,-1,0,0
Cd86,0,1,0
Cd9,-1,-1,0
Cd97,1,0,0
Cdc14b,0,0,1
Cdc20,0,-1,0
Cdc25b,1,0,1
Cdc25c,0,-1,0
Cdc42ep4,0,0,1
Cdc45,0,-1,1
Cdc6,0,-1,1
Cdca2,0,-1,0
Cdca3,0,-1,1
Cdca5,0,-1,1
Cdca7,0,-1,0
Cdca8,0,-1,1
Cdk1,0,-1,1
Cdk6,1,0,0
Cdkn2c,1,0,0
Cdkn2d,0,0,1
Cela1,0,0,-1
Cenpa,0,0,1
Cenpe,0,-1,1
Cenpf,0,-1,1
Cenph,0,-1,0
Cenpm,0,-1,0
Cep192,1,0,0
Cep55,0,-1,1
Cercam,0,0,1
Chaf1a,0,-1,0
Chn2,1,1,-1
Chpt1,1,1,0
Chst2,0,0,-1
Chtf18,0,-1,0
Cipc,0,0,-1
Cish,1,1,-1
Ckap2,0,-1,1
Ckap2l,0,-1,1
Ckb,0,0,-1
Cks1b,0,-1,1
Cks2,0,0,1
Clec2i,-1,0,0
Clgn,0,-1,0
Cltc,1,0,0
Cmpk1,1,0,1
Cmpk2,-1,-1,0
Cmya5,-1,0,0
Cnrip1,0,0,1
Cntn1,0,0,1
Coq7,0,-1,0
Coro2a,0,0,-1
Cpm,0,-1,0
Cpne3,-1,0,0
Crim1,0,0,-1
Crip1,1,0,0
Crip2,0,0,1
Crtam,-1,-1,0
Cry1,0,0,1
Csf1,0,0,-1
Ctage5,-1,0,0
Ctdsp1,1,0,0
Ctla2a,-1,0,0
Ctla2b,-1,-1,0
Ctps,-1,-1,0
Ctsd,1,1,0
Ctss,-1,-1,0
Ctsz,0,-1,0
Cx3cr1,1,1,1
Cxcl10,-1,-1,-1
Cxcr3,-1,-1,-1
Cxcr4,0,0,1
Cxcr5,-1,-1,0
Cxcr6,1,1,-1
Cxxc5,-1,0,0
Cyb561d1,1,0,0
Cyp51,0,-1,0
Cysltr2,0,0,-1
Cyth3,-1,0,-1
Cyth4,1,1,0
D16Ertd472e,1,0,0
D1Ertd622e,1,1,1
D8Ertd82e,1,1,0
Dapk2,1,1,0
Dctpp1,0,0,1
Ddit3,0,0,-1
Ddx24,-1,0,0
Ddx28,1,1,0
Ddx56,-1,0,0
Ddx60,-1,0,0
Dennd1b,1,0,0
Dennd2d,-1,0,0
Dennd4c,1,0,0
Dennd5a,1,1,0
