gene_name,log2FoldChange,padj
Gm16602,4.827947233,1.66E-08
Trbv2,4.128145143,4.09E-07
Gm16867,4.024258817,8.66E-07
Kcnj8,4.017044799,9.76E-05
Klre1,3.998523003,1.52E-05
Hist1h4m,3.783951938,3.48E-07
Clnk,3.655669573,3.1E-06
Tcrg-C4,3.541978733,6.19E-07
Trbv16,3.508016674,8.59E-06
Tcrg-C1,3.507323808,1.16E-07
Trbv17,3.460389204,9.7E-06
Fam78b,3.34568935,7.99E-10
Trgv2,3.257073435,6.71E-08
Fat1,3.253157731,0.000152345
Klrg1,3.205033674,3.53E-08
Tcrg-C2,3.059698627,4.69E-11
Igkv6-15,2.90869362,0.000907516
Sox8,2.66292243,0.000820848
Cma1,2.657640408,0.000331118
Tcrg-V4,2.58274849,0.000202644
Gm6189,2.565961764,0.001232061
Gzma,2.55370154,9.34E-08
Trbv5,2.530918847,0.001505816
Trbv15,2.486417885,1.85E-06
I830127L07Rik,2.448176951,4.32E-06
5830444B04Rik,2.402893212,6.91E-05
S1pr5,2.40167908,0.00066243
March3,2.298687999,0.000338279
Hspa1a,2.297606119,0.049358164
Hspa1b,2.272428717,0.035056966
RP23-423B21.6,2.265328772,0.000682217
Asph,2.238241125,7.11E-07
Gm36638,2.131336614,0.009129105
Trav15-2-dv6-2,2.112994303,7.64E-05
Gm36981,2.07407163,5.81E-05
Ltk,2.069826695,0.000208991
4930594C11Rik,2.062285965,0.007950751
Trdv5,2.036212911,1.57E-08
Trbv20,2.023182675,0.001389963
Srcin1,1.974560027,0.003675436
C330013E15Rik,1.966635233,0.003133581
Notch3,1.950178991,0.011738036
Hes1,1.949013422,5.83E-06
Gm28285,1.937866133,0.001809738
Gm43203,1.881938396,0.001427132
Ncam1,1.876531735,0.008231437
Anxa1,1.842811847,4.59E-12
Trbv3,1.84156915,4.52E-05
Rai14,1.832121404,1.97E-05
Alpk2,1.826932349,1.21E-06
2210408F21Rik,1.825820585,0.017959417
Ccl27a,1.785760251,0.00350035
B230359F08Rik,1.77906844,0.005105707
Chit1,1.756514357,8.88E-10
Trbv19,1.745559002,0.001417288
Miat,1.716055011,6.8E-05
Gm15518,1.699930416,0.00278874
Samd3,1.695095809,7.39E-06
Gm43860,1.669330374,0.007184649
Filip1,1.648825698,2.21E-08
Unc5cl,1.647475313,8.43E-05
Zeb2,1.642937789,1.48E-07
Rgs8,1.629883467,0.000160619
Trav16,1.627432207,0.000128561
Gm16299,1.624098025,0.011676332
Gm38336,1.618975183,0.009950464
P2ry13,1.593375453,0.00029535
Dnm3,1.56192046,0.001061537
Cx3cr1,1.545673788,3.13E-06
Gm43658,1.527903069,0.008376872
Ltb4r1,1.50956212,0.025319328
1700025G04Rik,1.500701665,2.59E-05
Ttbk2,1.478402462,1.58E-06
Fam131b,1.466353053,0.03544795
Sema6b,1.428392749,0.001512965
Esm1,1.405257629,1.85E-06
Klra3,1.402841469,3.78E-05
Gm11737,1.401506318,0.022865188
Eps8l1,1.397567094,0.000253088
Csf1,1.376235801,1.28E-07
Trp73,1.358933836,2.27E-06
Siglecf,1.356366578,0.001507678
E030030I06Rik,1.352018541,0.022955073
Fcgrt,1.351433381,0.000250899
Gm26756,1.350882397,0.023566113
Fgf13,1.338836598,9.43E-08
Trdc,1.333115752,2.63E-11
Epdr1,1.333107393,0.020379672
Gm42572,1.328894076,0.001965828
G0s2,1.315756032,0.001149543
F2rl2,1.308054102,7.78E-09
Sepn1,1.307525018,3.98E-08
Gm43291,1.307333039,0.003791721
Gm37010,1.302548495,0.016747111
Fcer1g,1.2987659,7.3E-05
Trav13-4-dv7,1.293113349,0.041430964
Gm38009,1.290094532,0.043786059
Gm42559,1.283200416,0.021030022
Lyn,1.281104443,5.69E-07
Arhgap23,1.277338595,0.01157802
Zfp948,1.271985272,0.040859397
As3mt,1.270532852,0.003314802
Dusp9,1.265777205,0.02025781
Zcchc24,1.260612482,0.009463864
Edaradd,1.254778062,0.011244038
Tmem151a,1.250299011,0.002475486
Heatr9,1.241511517,2.42E-05
Gm9855,1.240736498,0.039300931
Wdr95,1.231718973,2.21E-10
Fam214b,1.222992854,0.000277398
Entpd1,1.221869367,5.47E-11
Gm43924,1.221089813,0.027579248
Matk,1.215601604,4.29E-06
Nucb2,1.201661312,0.031190144
Itgam,1.200197254,7.62E-09
Mmp14,1.19042268,0.002610013
Lamc2,1.184178229,0.032394808
Gucy2e,1.180812588,0.012669708
Cmklr1,1.172273695,4.16E-06
Gm24119,1.16167732,0.036071472
Hid1,1.15420285,1.28E-06
Acss2,1.147313088,1.05E-05
Ciart,1.145601142,0.001200736
Gm614,1.138587314,0.026399287
Gm10548,1.136410092,0.018839423
Creld1,1.120792483,0.007958613
Gm14569,1.112595336,0.000206277
Nhsl2,1.102686537,0.000116281
Cacnb3,1.097489983,0.005871961
Gm13293,1.09670592,0.032597593
Sema4f,1.096530255,1.9E-06
Slc9a7,1.088246592,0.000105725
Cdh24,1.084753817,0.033290019
Gm10571,1.083272467,0.045301554
Gstt1,1.083049255,0.028257348
Apol8,1.075357403,0.016250948
Itgax,1.070478501,4.35E-10
Yes1,1.069482331,0.035705722
Trpc1,1.065542802,0.000308014
Vwa7,1.059193799,0.039725508
Trim46,1.05335654,0.001897971
Setd4,1.052861006,0.010691036
Creb3l1,1.052004751,0.004244468
Gm42641,1.046642095,0.041422522
9430091E24Rik,1.043876943,0.040760801
Ccl9,1.040195971,0.034442807
Gm38302,1.033411878,0.018494606
Rasal2,1.030408444,0.002144016
Lpin1,1.030269739,1.29E-09
Fuom,1.029447418,0.033267069
Gstm1,1.024613157,0.036882427
Tm6sf1,1.022941952,4.53E-09
Dgkh,1.018977065,2.09E-07
Gipc2,1.014416824,0.016792599
Bco1,1.011802415,0.028203343
Asap2,1.011756238,0.027823582
Hemk1,1.00929979,0.036351255
Ccl5,1.006319411,2.4E-07
Evpl,1.005252622,0.008975464
Sgk1,1.004641488,3.47E-08
Epas1,1.003232885,1.9E-09
Clic5,1.00104834,0.027059816
Fasl,0.983806796,3.87E-08
Rell1,0.983252139,2.06E-05
Car12,0.980579105,0.039737539
AA467197,0.98038829,5.59E-06
Dnajb14,0.978627703,0.021567488
Lrrk1,0.975992716,2.36E-11
Gm43323,0.967936549,0.005781821
Prf1,0.962279499,7.35E-12
Cacna1s,0.962126919,0.045291143
Gm561,0.961659234,0.028034092
Trav15-1-dv6-1,0.953373562,0.02661707
Ap4b1,0.946180743,0.015844737
Npc1,0.944510228,1.67E-08
Elovl7,0.943736545,0.042060901
Clcf1,0.939757581,0.000102293
Tnfrsf8,0.933864919,0.003427547
Ifitm10,0.913111229,1.81E-05
Ern1,0.899746255,1.69E-07
Dyrk3,0.897572989,0.017092469
Eomes,0.887350557,2.58E-09
Ccr5,0.886439954,2.04E-08
Sv2c,0.886256725,0.007409568
Proser3,0.880605494,0.036247577
Srgap3,0.870707562,5.93E-07
Znrf3,0.86177083,0.00060692
Ldlr,0.851524769,0.007377984
Pik3ip1,0.850526623,8.6E-06
Ell2,0.842813626,0.00010069
Dbp,0.842515133,0.031679307
Setbp1,0.837003343,8.31E-09
Fbxl15,0.835912198,0.022721214
Camk2n1,0.830191719,1.69E-05
Klrb1b,0.829985243,0.001397403
5830411N06Rik,0.828403305,0.017624599
Acoxl,0.827662558,0.001763108
Gm43982,0.813229125,0.024149622
Ccr2,0.812824215,2.8E-07
Errfi1,0.812576206,2.71E-07
F2r,0.810627723,1.02E-08
Engase,0.809699697,0.005534197
Selm,0.804894645,0.025542397
Trdv1,0.799810344,0.012973704
Dusp3,0.797489299,0.007905845
Tmem163,0.797476056,2.14E-08
Adrb2,0.797357597,0.000104465
Idh1,0.794069913,0.00138225
Ust,0.793619949,1.95E-05
Gm37728,0.793482783,0.011429023
RP23-264H19.2,0.793019908,0.005221776
Med12l,0.790687954,0.000208956
Tle1,0.789238758,0.013602886
Adam22,0.784416886,0.031986534
Cmya5,0.784097052,0.014095382
Fgl2,0.783385483,6.86E-09
Dnajb4,0.783067054,2.18E-06
Nr1d2,0.77936178,0.000541013
C430042M11Rik,0.773330426,0.019647216
Fcgr2b,0.771915781,0.009029535
Havcr2,0.770177105,2.24E-08
Rhoq,0.767790077,0.000138727
Itpripl2,0.766963924,6.3E-05
Gm37370,0.766858403,0.006335309
Ube2t,0.766723925,0.008552976
Lrrc57,0.756725338,0.00097485
Gm8818,0.751763038,0.006353623
Fam83h,0.747749313,0.011542835
Gm37052,0.747102615,0.026957614
Ptpn12,0.74577715,1.93E-07
Gm43365,0.74046636,0.032945041
Megf9,0.738463881,0.007162806
Ly6c2,0.736708025,5.32E-10
Cish,0.731160453,0.000704687
Serpinb1a,0.72758369,0.003113071
Ifng,0.725915158,6.36E-12
Gpc1,0.725357728,6.83E-06
Borcs7,0.724581115,0.004162434
Ptprk,0.724280219,0.001588508
3110052M02Rik,0.723654032,0.028308716
A330023F24Rik,0.721334394,0.001169596
Ppp1r12b,0.721303954,0.000767072
Lrrc75b,0.719202548,0.024591433
Npnt,0.714181194,0.012465854
Gm6637,0.714090347,2.56E-05
Fes,0.7113149,0.000169072
Serpinb9b,0.70258023,0.001661164
Lat2,0.702264022,0.000230963
Jup,0.701846191,0.030307227
Plcb2,0.701537553,0.001097231
Mical2,0.701376356,0.015224554
Paqr3,0.699838499,0.01617213
Ppm1l,0.698707874,0.049894849
Gm19040,0.696692966,0.006331339
Dnajb13,0.695562805,0.010649989
Arhgap21,0.695188492,8.94E-05
Ifitm1,0.69359703,0.003659939
Phlda1,0.69184526,1.53E-06
Amigo1,0.691739275,0.00135616
Mylip,0.690639565,0.001725648
Tbkbp1,0.685882753,0.000141589
Trdmt1,0.684797467,0.030836845
Tbc1d2,0.684680048,5.93E-05
Gzmk,0.683924141,8.26E-08
Tsga10,0.67753546,0.01713908
Dennd3,0.67467282,0.001160055
Gsap,0.671456886,8.07E-07
St3gal6,0.667166005,7.86E-05
Dab2ip,0.666142435,0.019789975
Egr1,0.663766607,0.00012106
Mt2,0.663704492,0.011684342
Dse,0.662760149,0.000398518
Klrb1c,0.662728712,7.85E-06
Pltp,0.658740614,0.043918112
Atp13a2,0.65862737,4.09E-05
Hist3h2a,0.658043951,0.043461849
Nedd4,0.657803725,9.43E-07
Adamts14,0.656275964,4.45E-06
