gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
"	Gm13225",427.2586456,6.751958235,0.434350483,15.54495391,1.72E-54,3.13E-50
"	Gm10036",491.9852132,4.427385537,0.311109674,14.23094784,5.89E-46,5.35E-42
"	P2rx7",157.7714763,3.298086743,0.300870937,10.96179903,5.83E-28,3.53E-24
"	Tspan3",1215.164695,2.50019923,0.251360179,9.946679843,2.61E-23,1.18E-19
"	Dennd2d",1418.598489,1.503043937,0.155431904,9.670112088,4.04E-22,1.47E-18
"	Ptpn4",1501.438292,-1.188747882,0.133662989,-8.893620388,5.91E-19,1.79E-15
"	Klk1b9",137.9953398,4.67059108,0.530607159,8.80235218,1.34E-18,3.48E-15
"	Ccr2",6962.704707,-1.986511839,0.24126414,-8.233763376,1.81E-16,4.12E-13
"	As3mt",1358.77029,1.874692751,0.230404772,8.136518778,4.07E-16,8.21E-13
"	Tacstd2",69.7490985,3.660979158,0.455146888,8.043511339,8.73E-16,1.59E-12
"	Pdzk1ip1",133.8862051,2.802641387,0.349964337,8.008362832,1.16E-15,1.92E-12
"	Gm14718",54.97451652,4.888587403,0.615467662,7.942882626,1.98E-15,2.99E-12
"	Sell",996.0737284,2.592915624,0.333792051,7.768056833,7.97E-15,1.11E-11
"	Asap1",923.642608,1.53829498,0.202938254,7.580113411,3.45E-14,4.48E-11
"	A630023P12Rik",41.27672999,4.276067286,0.571011455,7.488584071,6.96E-14,8.43E-11
"	Klk1b27",71.2777866,4.496294846,0.6110942,7.357776995,1.87E-13,2.12E-10
"	Hsph1",2046.405144,-1.679917418,0.229748323,-7.311989901,2.63E-13,2.81E-10
"	Il2",173.7996003,3.059941554,0.419276514,7.298146806,2.92E-13,2.94E-10
"	Ckb",63.87195331,2.808536915,0.388138652,7.235911444,4.62E-13,4.20E-10
"	Gm13157",540.8516043,-1.751055626,0.241965316,-7.236804252,4.59E-13,4.20E-10
"	Cd200",105.2088017,2.249737328,0.320620333,7.016826741,2.27E-12,1.96E-09
"	Cirbp",429.5916359,1.339014273,0.194137386,6.897250963,5.30E-12,4.38E-09
