gene_name,Cluster_16_Mean_TPM,Cluster_20_Mean_TPM,log10pval,log2FoldChange
Marc2,100.8062768,85.10797526,-1.540638209,0.241607742
March2,102.7556212,77.32143023,-4.044245375,0.405710484
March5,66.94427423,70.18671133,-1.996896173,-0.067255975
March6,16.55011324,17.6624034,-3.881747239,-0.088654454
March7,48.86563446,44.2722825,-0.489202974,0.139417861
March9,1.62967935,1.721193816,-0.30717453,-0.049352821
Sept1,513.7997922,432.1426635,-12.52217094,0.24916919
Sept2,41.70819752,44.90702582,-2.392073575,-0.104201956
Sept4,3.016511976,2.307523976,-0.099815395,0.280191564
Sept6,213.9969659,180.1187036,-3.979651927,0.247380764
Sept7,228.9613746,258.6531629,-6.933906794,-0.17519424
Sept9,143.6020847,121.0356111,-2.320569335,0.244786151
Sept11,70.58227796,88.50143078,-8.993610868,-0.32230829
0610009B22Rik,10.06571181,12.95341789,-4.88266846,-0.334522298
0610009L18Rik,5.837029751,3.081461977,-0.965528742,0.744283686
0610009O20Rik,13.84452698,17.41150021,-5.513110747,-0.310676062
0610010F05Rik,4.492758929,5.768519626,-2.379172723,-0.301309355
0610010K14Rik,64.36104928,74.50982717,-5.216429414,-0.208233271
0610012G03Rik,109.952525,100.447076,-0.1149857,0.129215217
0610030E20Rik,19.66374515,18.70355821,-2.112702029,0.06864557
0610037L13Rik,25.13982475,24.40784474,-1.581623862,0.040975467
0610040B10Rik,5.209984324,2.997353632,-0.463045885,0.635544418
1110002L01Rik,3.721522392,2.956471905,-0.296821846,0.2550376
1110004E09Rik,31.20629129,37.31089762,-5.779625575,-0.250412292
1110004F10Rik,124.1012976,137.8269256,-2.719514123,-0.150190652
1110008F13Rik,210.5368931,212.9844972,-1.040881126,-0.016596981
1110008L16Rik,5.507862,4.87052525,-0.589542813,0.148694068
1110008P14Rik,130.7149964,103.1602351,-4.573373605,0.338615003
1110012L19Rik,19.60033448,14.22341396,-0.049144857,0.436375832
1110019D14Rik,2.358497703,1.957349741,-0.128970966,0.183511173
1110032A03Rik,6.243654569,6.553067149,-2.309034053,-0.060344863
1110032F04Rik,1.547754596,1.975883903,-1.058505347,-0.224091923
1110034G24Rik,18.78954476,14.97844376,-0.225656343,0.308611523
1110035H17Rik,2.021812219,1.532713042,-0.180470804,0.254730384
1110038F14Rik,47.3286779,42.41156427,-0.330525706,0.154800119
1110051M20Rik,5.066801271,4.012258377,-0.55050315,0.275475268
1110059E24Rik,28.24213926,28.25296719,-4.136953491,-0.000534109
1110059G10Rik,24.4841999,31.76320999,-11.19158182,-0.362473654
1110065P20Rik,22.6156385,25.83897398,-3.855710553,-0.184586977
1190002N15Rik,9.573514076,10.16173101,-2.34972661,-0.078105852
1190007I07Rik,30.00616502,33.17091445,-4.306185919,-0.140213758
1300002E11Rik,30.36319099,25.73209469,-0.364795515,0.230499462
1500009L16Rik,94.80925694,138.3782833,-20.56336102,-0.540768831
1500011B03Rik,17.51209131,10.88392604,-0.399191125,0.639456354
1500011K16Rik,18.14123127,19.81541601,-4.427516912,-0.120968758
1500015A07Rik,5.904254836,5.121421599,-0.497929617,0.173618982
1600002K03Rik,35.83220433,22.9047867,-1.571826905,0.62366821
1600012H06Rik,13.22499198,10.11305343,-0.469790199,0.356172572
1600014C10Rik,50.0698518,39.41539429,-0.534511513,0.33756695
1600020E01Rik,15.72793272,13.32944381,-0.947619466,0.223276551
1700007L15Rik,5.247534416,5.834489969,-2.016260992,-0.129546735
1700008J07Rik,3.112940771,2.857136829,-0.526674222,0.092639971
1700010I14Rik,2.70771723,2.713675255,-0.761861253,-0.002316443
1700017B05Rik,34.84721732,44.22486879,-9.148552075,-0.335255185
1700019D03Rik,1.627236825,1.224073881,-0.246681861,0.240341541
1700020I14Rik,62.99866082,70.36458666,-4.157587894,-0.157166624
1700020L24Rik,8.826392894,9.452002372,-2.660285561,-0.089045528
1700021A07Rik,7.347552758,6.052713536,-0.366306675,0.243174864
1700021F05Rik,15.43214135,17.50938468,-3.792931897,-0.171736438
1700025G04Rik,23.58870382,33.84179387,-11.27026903,-0.502823218
1700030K09Rik,2.444951702,2.052255377,-0.146662108,0.174608081
1700037C18Rik,7.953845077,8.180878158,-2.086328703,-0.036124799
1700037H04Rik,11.47250142,14.77302042,-6.155524039,-0.338708118
1700047I17Rik1,85.79234788,72.45819841,-0.711564901,0.240644338
1700047I17Rik2,3.649003798,4.148636533,-1.927899423,-0.147268823
1700048O20Rik,3.365772251,3.21431225,-0.990222842,0.05093966
1700052K11Rik,3.186129097,3.135957311,-0.613617354,0.017395509
1700056E22Rik,7.23480514,6.074602269,-0.633011702,0.219085469
1700056N10Rik,1.756369738,2.169329459,-1.447078855,-0.201408216
1700066B19Rik,3.809477557,4.635989414,-1.636133577,-0.228788716
1700066M21Rik,2.935750902,4.057052043,-3.392915785,-0.361657712
1700086O06Rik,2.429436299,2.643762228,-1.282629477,-0.087457361
1700096K18Rik,7.320716277,4.672934581,-0.03522668,0.552612499
1700097N02Rik,46.53129818,40.45428128,-0.799015327,0.197356698
1700113A16Rik,5.126622309,3.994596421,-0.470382833,0.294723807
1700123O20Rik,69.88631275,59.2805036,-0.885412427,0.233815619
1810009A15Rik,4.041133439,3.67865752,-0.509815479,0.107653517
1810011H11Rik,2.38380971,1.757447262,-0.14086294,0.295315146
1810013L24Rik,10.35380644,11.10359442,-3.271099655,-0.092259499
1810014B01Rik,7.127081411,10.6575046,-6.987211128,-0.520449747
1810022K09Rik,101.6276536,97.38695993,-0.203307783,0.060880505
1810024B03Rik,5.1569084,4.901136379,-0.914588749,0.061213304
1810030O07Rik,26.32900462,21.34077634,-0.146458727,0.290753595
1810032O08Rik,10.81664971,10.81361753,-3.159545128,0.000370246
1810034E14Rik,7.704824453,4.220730271,-0.711253313,0.73756358
1810037I17Rik,295.9495135,396.531776,-27.33575457,-0.420852515
1810041H14Rik,24.08347066,16.15311205,-0.444269241,0.548266634
1810043G02Rik,6.325780915,6.079030047,-1.28493866,0.049430857
1810044D09Rik,4.640065984,4.058820536,-0.561503503,0.156910981
1810055G02Rik,3.966252042,3.699895784,-0.746082844,0.079528715
1810058I24Rik,137.5902547,113.8554233,-2.460378774,0.271006834
1810062O18Rik,2.759564509,2.081005449,-0.016195479,0.287164322
2010015M23Rik,1.907351194,1.868261046,-0.299064455,0.01952902
2010107E04Rik,632.0194816,609.7822093,-0.915372346,0.05159186
2010109A12Rik,4.653743619,4.299432291,-0.697236337,0.093368645
2010111I01Rik,74.64983155,76.3181522,-1.396754042,-0.031470289
2010300C02Rik,16.66901338,10.67207103,-0.109359163,0.598160916
2010315B03Rik,4.81679726,5.608748099,-2.47225138,-0.184151986
2010320M18Rik,6.756855062,5.568979369,-0.912313973,0.23980261
2200002D01Rik,12.53304806,10.09534999,-0.45295568,0.286531639
2210011C24Rik,3.28054596,3.428112132,-1.336436489,-0.048896939
2210016F16Rik,71.32527796,74.09585085,-1.194534342,-0.054233236
2210016L21Rik,50.30536021,39.03792117,-0.856323986,0.357742492
2300009A05Rik,25.46593209,21.04956958,-0.489734088,0.26338597
2310001H17Rik,55.75306829,41.5499038,-0.839785087,0.415542522
2310009B15Rik,24.57435681,21.79680933,-0.895925328,0.16586604
2310011J03Rik,104.5384433,89.20750389,-0.926982143,0.226449255
2310015A10Rik,2.50978415,1.788486947,-0.327028734,0.33189979
2310022A10Rik,12.72842891,18.12387869,-9.11004544,-0.478208627
2310022B05Rik,2.45186708,3.710635689,-4.008287059,-0.448544849
2310031A07Rik,18.94155983,12.52799569,-0.01481843,0.559830156
2310033P09Rik,32.73765099,40.73876131,-8.199898161,-0.307028257
2310035C23Rik,18.40560936,18.37030117,-3.035911698,0.002627351
2310039H08Rik,31.36513214,35.13302733,-5.793875777,-0.158877739
2310057M21Rik,7.708212104,9.319812585,-3.300370858,-0.244968318
2310061I04Rik,25.99079261,22.98637862,-0.875999119,0.170251983
2410002F23Rik,11.97567143,10.86530498,-1.812722865,0.12906001
2410004B18Rik,34.51669776,33.44165477,-2.366322668,0.044342991
2410015M20Rik,259.8559547,233.1929134,-1.291796433,0.155555946
2410022M11Rik,3.357469994,3.462041243,-0.803856399,-0.034213119
2410089E03Rik,6.402235992,5.615168698,-0.630044787,0.162183183
2410131K14Rik,6.512380884,6.709876256,-1.578994329,-0.037437494
2500002B13Rik,1.848557975,2.121152355,-0.778121656,-0.131847014
2510002D24Rik,49.89675413,36.44587163,-1.397254204,0.442766982
2510017J16Rik,2.627567621,1.915904836,-0.020684543,0.315058871
2510039O18Rik,47.42702986,45.97906232,-1.997149719,0.043794604
2510046G10Rik,7.5215984,6.823636211,-1.344916752,0.123284774
2600006K01Rik,1.837660898,2.381165884,-1.899073801,-0.252818601
2610001J05Rik,91.06516463,70.83282596,-2.764499883,0.358012103
2610002M06Rik,19.63760068,17.237719,-2.009795822,0.178349952
