SYMBOL,ENTREZID
0610012G03Rik,106264
1810046K07Rik,69809
1810055G02Rik,72056
2010003K11Rik,69861
2010109I03Rik,67038
2310031A07Rik,69621
4833439L19Rik,97820
4930458D05Rik,75802
Aamdc,66273
Abcb10,56199
Abcc6,27421
Abhd3,106861
Acad11,102632
Acads,11409
Acbd4,67131
Acnat1,230161
Aco1,11428
Acot12,74156
Acot4,171282
Acox1,11430
Acsl5,433256
Actn4,60595
Acy3,71670
Adamtsl5,66548
Adap1,231821
Adap2,216991
Adgrd1,243277
Adh4,26876
Agmo,319660
Agpat2,67512
Akap17b,338351
Akap7,432442
Akr1c13,27384
Akr7a5,110198
Aldh18a1,56454
Aldh3a2,11671
Aldh9a1,56752
Alpk2,225638
Alppl2,11650
Angptl4,57875
Ankrd9,74251
Ano6,105722
Ano7,404545
Ap2a2,11772
Aplp1,11803
Aqp11,66333
Arhgef26,622434
Asah2,54447
Atg9a,245860
Atoh1,11921
Atp1a1,11928
Atp5g3,228033
Atp7b,11979
B3gnt3,72297
B4galnt3,330406
Bahcc1,268515
BC002163,170658
Bcas1,76960
Bcl2l15,229672
Bco2,170752
Bmp8a,12163
Bst1,12182
Btnl2,547431
Btnl4,632126
Btnl7-ps,195349
C2cd2l,71764
Capn13,381122
Casp6,12368
Cbr1,12408
Ccdc114,211535
Cd200r2,271375
Cd244,18106
Cd36,12491
Cdr2,12585
Ceacam18,72431
Ceacam20,71601
Cebpa,12606
Cenpv,73139
Cep76,225659
Cers6,241447
Ces1g,12623
Ces2c,234671
Cfb,14962
Chchd7,66433
Chst4,26887
Cib1,23991
Cideb,12684
Cidec,14311
Clca4a,99663
Clcn2,12724
Clec2e,232409
Cndp1,338403
Cnnm2,94219
Cox5a,12858
Cox6a1,12861
Cpt2,12896
Cracr2a,381812
Crat,12908
Crb3,224912
Cst6,73720
Ctsc,13032
Cubn,65969
Cyb5b,66427
Cybrd1,73649
Cycs,13063
Cyp1a1,13076
Cyp2b10,13088
Cyp2c55,72082
Cyp2c66,69888
Cyp2c68,433247
