SYMBOL,ENTREZID
1110034G24Rik,73747
1500004A13Rik,319830
1700020D05Rik,75555
1700097N02Rik,67522
2010016I18Rik,69206
2310001H17Rik,76432
4632404H12Rik,74034
4933406I18Rik,71045
5730480H06Rik,70592
5830468F06Rik,76082
A130010J15Rik,319266
A230072E10Rik,331547
A430078G23Rik,319493
A630014C17Rik,399633
A630023P12Rik,231603
A930005H10Rik,68161
Aasdh,231326
AB124611,382062
Adal,75894
Adam4,11498
Adk,11534
Aff3,16764
Arhgef18,102098
Arl4c,320982
Arl5c,217151
Arv1,68865
Asap1,13196
Asic3,171209
Ass1,11898
Atp11b,76295
Atp1b3,11933
Avpr2,12000
Axin2,12006
B130055M24Rik,654803
B3galt4,54218
Bach2,12014
Bbc3,170770
Bcl9l,80288
Btla,208154
C230037L18Rik,100532730
C530050E15Rik,320489
Cacna2d4,319734
Cacnb1,12295
Cbx3-ps7,100504483
Ccdc126,57895
Ccr7,12775
Cd22,12483
Cd27,21940
Cd84,12523
Cdc25b,12531
Chil5,229687
Cmah,12763
Cnga1,12788
Cxcr5,12145
D1Ertd622e,52392
Dapl1,76747
Dck,13178
Dennd2d,72121
Dgkz,104418
Dnah8,13417
Dph5,69740
Ehd3,57440
Emc9,85308
Eml5,319670
Epha3,13837
F2rl1,14063
Fam208a,218850
Fam212b,109050
Fam65b,193385
Fam89a,69627
Fcrl1,229499
Fgf13,14168
Fut7,14347
G430095P16Rik,619292
Gemin8,237221
Gm10521,100038548
Gm10676,100126357
Gm11346,76024
Gm12258,237769
Gm12474,545557
Gm128,229588
Gm15674,102640368
Gm15675,105246705
Gm15746,100416761
Gm16150,102638318
Gm16152,102638209
Gm19589,100503197
Gm26520,105244630
Gm26583,328166
Gm26615,102640635
Gm26823,105246389
Gm37065,105244010
Gm5424,432466
Gm5511,433221
Gm9889,791369
Gpr146,80290
Gramd4,223752
H2-Ob,15002
Has3,15118
Hsdl1,72552
Ikbke,56489
Il17ra,16172
Il18r1,16182
Il6ra,16194
Inpp5f,101490
Itga4,16401
Itga7,16404
Izumo1r,64931
Kbtbd11,74901
Kcnn4,16534
Klf2,16598
Klhdc1,271005
Klhl3,100503085
Klhl5,71778
Klhl6,239743
Lancl3,236285
Ldlrap1,100017
Lef1,16842
Lrrc23,16977
Lrrc39,109245
Map3k5,26408
Mapk11,19094
Mast1,56527
Matk,17179
Ms4a4c,64380
Mst1,15235
Mypopos,102636709
Nav2,78286
Nsg2,18197
Ntrk3,18213
Olfr756-ps1,257805
Orai2,269717
Pacsin1,23969
Palm3,74337
Pdk1,228026
Pex11g,69129
Pik3ip1,216505
Pmel,20431
Pogk,71592
Pou2af1,18985
Prkcq,18761
Prss12,19142
Qrfp,227717
R74862,97423
Rapgef4,56508
Rarg,19411
Rasa3,19414
Rasgrp2,19395
Rcbtb1,71330
Rcsd1,226594
Rflnb,76566
Rnf144a,108089
Rnf32,56874
Rpgrip1,77945
S1pr1,13609
S1pr4,13611
Sbk1,104175
Scml4,268297
Setx,269254
Siah3,380918
Sidt1,320007
Slamf6,30925
Slc17a9,228993
Slc43a1,72401
Slc4a10,94229
Slc9a7,236727
Slurp1,57277
Spice1,212514
St3gal1,20442
St6gal1,20440
Stard5,170460
Stk38,106504
Tarbp2,21357
Tcea2,21400
Tcf7,21414
Tdrp,72148
Thtpa,105663
Tlr1,21897
Tmem156,243025
Tmem221,434325
Tmem71,213068
Tmem91,320208
Tnfrsf22,79202
Tnfrsf25,85030
Tnfsf18,240873
Tnfsf8,21949
Traf3ip3,215243
Treml2,328833
Trmo,74753
Trmt13,229780
Tspan32,27027
Ttc13,234875
Usp28,235323
Vipr1,22354
Vmn2r84,625068
Vmn2r96,433070
Wdfy2,268752
Wdr12,57750
Wfikkn1,215001
Wfikkn2,278507
Zc3h12d,237256
Zfhx2,239102
Zfp169,67911
Zfp329,67230
Zfp365,216049
Zfp658,210104
Zfp846,244721
Zfp950,414758
Zscan10,332221
Zscan12,22758
