Run,Info,Cell_type,Name
SRR2075552,CD8_WT.1,WT,CD8_WT_1
SRR2075553,CD8_WT.2,WT,CD8_WT_2
SRR2075554,CD8_WT.3,WT,CD8_WT_3
SRR2075555,CD8_Zeb2-KO.1,Zeb2KO,CD8_Zeb2-KO_1
SRR2075556,CD8_Zeb2-KO.2,Zeb2KO,CD8_Zeb2-KO_2
SRR2075557,CD8_Zeb2-KO.3,Zeb2KO,CD8_Zeb2-KO_3
SRR2075558,CD8_Tbx21-KO.1,Tbx21KO,CD8_Tbx21-KO_1
SRR2075559,CD8_Tbx21-KO.2,Tbx21KO,CD8_Tbx21-KO_2
SRR2075560,CD8_Tbx21-KO.3,Tbx21KO,CD8_Tbx21-KO_3
SRR2075561,CD8_MP.1,MP,CD8_MP_1
SRR2075562,CD8_MP.2,MP,CD8_MP_2
SRR2075563,CD8_MP.3,MP,CD8_MP_3
SRR2075564,CD8_TE.1,TE,CD8_TE_1
SRR2075565,CD8_TE.2,TE,CD8_TE_2
SRR2075566,CD8_TE.3,TE,CD8_TE_3
SRR2075571,CD8_Klrg1hi_WT.1,Klrg1hi_WT,CD8_Klrg1hi_WT_1
SRR2075572,CD8_Klrg1hi_WT.2,Klrg1hi_WT,CD8_Klrg1hi_WT_2
SRR2075573,CD8_Klrg1hi_WT.3,Klrg1hi_WT,CD8_Klrg1hi_WT_3
SRR2075574,CD8_Klrg1hi_Zeb2-KO.1,Klrg1hi_Zeb2KO,CD8_Klrg1hi_Zeb2-KO_1
SRR2075575,CD8_Klrg1hi_Zeb2-KO.2,Klrg1hi_Zeb2KO,CD8_Klrg1hi_Zeb2-KO_2
SRR2075576,CD8_Klrg1hi_Zeb2-KO.3,Klrg1hi_Zeb2KO,CD8_Klrg1hi_Zeb2-KO_3
SRR2075577,CD8_Klrg1hi_TBET-RV.1,Klrg1hi_Tbx21OE,CD8_Klrg1hi_TBET-RV_1
SRR2075578,CD8_Klrg1hi_TBET-RV.2,Klrg1hi_Tbx21OE,CD8_Klrg1hi_TBET-RV_2
SRR2075579,CD8_Klrg1hi_TBET-RV.3,Klrg1hi_Tbx21OE,CD8_Klrg1hi_TBET-RV_3
SRR2075580,CD8_Klrg1hi_Zeb2-KO_TBET-RV.1,Klrg1hi_Zeb2KO_Tbx21OE,CD8_Klrg1hi_Zeb2-KO_TBET-RV_1
SRR2075581,CD8_Klrg1hi_Zeb2-KO_TBET-RV.2,Klrg1hi_Zeb2KO_Tbx21OE,CD8_Klrg1hi_Zeb2-KO_TBET-RV_2
SRR2075582,CD8_Klrg1hi_Zeb2-KO_TBET-RV.3,Klrg1hi_Zeb2KO_Tbx21OE,CD8_Klrg1hi_Zeb2-KO_TBET-RV_3
