Run,Info,Cell_type,Name
SRR9185080,Tim3+_R1,Tim3pos,Tim3pos_1
SRR9185081,Tim3-_R1,Tim3neg,Tim3neg_1
SRR9185082,Tim3+_R2,Tim3pos,Tim3pos_2
SRR9185083,Tim3-_R2,Tim3neg,Tim3neg_2
SRR9185084,Tim3+_R3,Tim3pos,Tim3pos_3
SRR9185085,Tim3-_R3,Tim3neg,Tim3neg_3
