Run,Name,Cell_type
SRR5799988,NAV,Naive_AKJ
SRR5799989,NAV,Naive_YF653
SRR5799990,NAV,Naive_YF661
SRR5799991,NAV,Naive_YF_RTA336
SRR5799992,NAV,Naive_YF_MCB
SRR5799993,NAV,Naive_EVC422
SRR5799994,D14,D14_YF679
SRR5799995,D14,D14_YF661
SRR5799996,D14,D14_YF631
SRR5799997,MEM,Mem_MCB.D1346
SRR5799998,MEM,Mem_EVC422_D4745
SRR5799999,MEM,Mem_E07_D3409
SRR5800000,MEM,Memory_YF_RTA336
SRR5800001,MEM,Mem_AKJ_D3630
