gs_name,gene_symbol
Exp391_CD8---Texint_up,C1orf21
Exp391_CD8---Texint_up,ACSBG1
Exp391_CD8---Texint_up,ACSS2
Exp391_CD8---Texint_up,ADRB1
Exp391_CD8---Texint_up,AHNAK
Exp391_CD8---Texint_up,ALCAM
Exp391_CD8---Texint_up,AP1S2
Exp391_CD8---Texint_up,APBB1IP
Exp391_CD8---Texint_up,APOBEC2
Exp391_CD8---Texint_up,ARHGEF18
Exp391_CD8---Texint_up,AS3MT
Exp391_CD8---Texint_up,ATP2B1
Exp391_CD8---Texint_up,BAIAP3
Exp391_CD8---Texint_up,BCL2L11
Exp391_CD8---Texint_up,BHLHE40
Exp391_CD8---Texint_up,CAPN2
Exp391_CD8---Texint_up,CA5B
Exp391_CD8---Texint_up,CCDC88C
Exp391_CD8---Texint_up,CCL5
Exp391_CD8---Texint_up,CCR2
Exp391_CD8---Texint_up,CD226
Exp391_CD8---Texint_up,CDC25B
Exp391_CD8---Texint_up,CHPT1
Exp391_CD8---Texint_up,CMPK1
Exp391_CD8---Texint_up,CTSD
Exp391_CD8---Texint_up,CX3CR1
Exp391_CD8---Texint_up,CYTH4
Exp391_CD8---Texint_up,MACIR
Exp391_CD8---Texint_up,DAPK2
Exp391_CD8---Texint_up,DDX28
Exp391_CD8---Texint_up,DENND5A
Exp391_CD8---Texint_up,DNAJC15
Exp391_CD8---Texint_up,DOCK5
Exp391_CD8---Texint_up,DUSP5
Exp391_CD8---Texint_up,EMP1
Exp391_CD8---Texint_up,EMP3
Exp391_CD8---Texint_up,ENDOD1
Exp391_CD8---Texint_up,ENTPD1
Exp391_CD8---Texint_up,F2R
Exp391_CD8---Texint_up,F2RL2
Exp391_CD8---Texint_up,F2RL3
Exp391_CD8---Texint_up,FAM102B
Exp391_CD8---Texint_up,FBXL2
Exp391_CD8---Texint_up,FBXO31
Exp391_CD8---Texint_up,FGL2
Exp391_CD8---Texint_up,FKBP10
Exp391_CD8---Texint_up,FLNA
Exp391_CD8---Texint_up,FLNB
Exp391_CD8---Texint_up,GALNT10
Exp391_CD8---Texint_up,GLIPR2
Exp391_CD8---Texint_up,GNA15
