gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B
GNG4,1.920128108,1.843794293,8.905558009,9.60E-15,1.18E-10,22.66004101
CXCR5,2.122974348,2.506567069,8.350822225,1.81E-13,1.11E-09,19.91427183
CHGB,1.327058546,1.785115981,8.172410541,4.60E-13,1.89E-09,19.03812086
GZMB,-5.232478905,5.852925848,-7.835053841,2.66E-12,8.19E-09,17.39325812
DTX1,3.063932752,3.320648492,6.9922606,1.94E-10,4.77E-07,13.37269497
CAPG,-3.411408923,6.942571719,-6.814370304,4.70E-10,9.63E-07,12.54437228
CCL20,-4.100621536,4.749396198,-6.756014054,6.26E-10,1.10E-06,12.27445039
HOPX,-3.369786914,5.456492315,-6.670486539,9.54E-10,1.47E-06,11.88053622
LGALS1,-3.016567695,6.02954182,-6.578982594,1.49E-09,2.04E-06,11.46138809
CD200,3.142502865,3.013050675,6.465086337,2.59E-09,3.19E-06,10.94310857
HSPB1,-3.252753075,6.953247597,-6.39749606,3.60E-09,4.02E-06,10.63741106
FLT4,3.806776356,4.130675667,6.344182055,4.65E-09,4.76E-06,10.39729408
S100A6,-1.854491233,7.805922732,-6.134979445,1.26E-08,1.19E-05,9.464063785
SGPP2,2.035447773,2.860131224,6.108970878,1.42E-08,1.25E-05,9.349078458
CEBPD,-3.686540867,5.179728888,-6.08003659,1.63E-08,1.34E-05,9.221436154
DNAJB1,-2.852810188,13.32109978,-6.050570455,1.87E-08,1.44E-05,9.091751322
OLR1,-4.171897589,3.70066594,-6.036950971,2.00E-08,1.45E-05,9.03191438
KSR2,1.100092149,1.844096704,6.009561291,2.27E-08,1.55E-05,8.911779878
ANXA2,-2.316703741,8.451497155,-5.992601609,2.46E-08,1.59E-05,8.837528485
HSPA6,-5.345256258,10.41149258,-5.961868402,2.84E-08,1.74E-05,8.703242084
TSHZ2,1.973818118,3.1735117,5.946222723,3.05E-08,1.74E-05,8.635012638
UBC,-1.590664364,13.1702175,-5.933028025,3.25E-08,1.74E-05,8.577542009
HSP90AA1,-2.346802484,11.60787353,-5.932937394,3.25E-08,1.74E-05,8.577147482
S100A4,-1.665334267,8.651917589,-5.913258103,3.56E-08,1.78E-05,8.491553498
CNKSR3,1.253385615,1.851670811,5.90864298,3.64E-08,1.78E-05,8.471501192
G0S2,-3.581479188,4.096738284,-5.901014336,3.77E-08,1.78E-05,8.438372888
HECW2,2.353765323,2.629015848,5.800745584,5.99E-08,2.73E-05,8.00499488
SPIRE2,-3.123723426,3.72966832,-5.774584074,6.76E-08,2.97E-05,7.892556989
VLDLR,-1.543193331,1.826311516,-5.732309067,8.21E-08,3.48E-05,7.711432973
PARD3,1.38858234,1.85011653,5.687181376,1.01E-07,4.10E-05,7.518869491
SERPINH1,-3.818365571,5.288354096,-5.682098378,1.03E-07,4.10E-05,7.497231075
HSPA8,-2.267601797,13.0957653,-5.653190057,1.18E-07,4.53E-05,7.374366421
DOK2,-1.631692627,8.576829142,-5.625711398,1.33E-07,4.97E-05,7.257893228
LGALS3,-2.790832555,5.997293777,-5.597240056,1.52E-07,5.48E-05,7.137539326
SESN3,2.307522218,3.600593686,5.591290265,1.56E-07,5.48E-05,7.112430714
GZMA,-3.119264,6.028549578,-5.583405925,1.62E-07,5.52E-05,7.079180773
ICA1,2.98180728,3.948373428,5.545135768,1.92E-07,6.38E-05,6.91815589
ARG1,1.493081887,1.944157736,5.534950125,2.01E-07,6.50E-05,6.875402521
PLAUR,-3.865988315,5.487045094,-5.528399285,2.07E-07,6.53E-05,6.847929065
SH3RF3,1.892931107,2.672298155,5.43370008,3.16E-07,9.72E-05,6.452818616
S100A10,-1.510120101,8.272235651,-5.427226835,3.25E-07,9.76E-05,6.425951855
DNAJB4,-2.272702438,6.46116667,-5.414411906,3.44E-07,0.000100871,6.372818335
SELP,2.356900658,2.775559711,5.402996625,3.62E-07,0.00010365,6.325548644
CSF2,-2.860197721,2.501921927,-5.389398914,3.85E-07,0.000107593,6.269316463
GCNT4,1.800061383,2.876481813,5.377003921,4.07E-07,0.0001097,6.218129116
FABP4,-3.886633692,3.530317441,-5.37498929,4.10E-07,0.0001097,6.209815759
RBMS3,1.819518042,2.19946345,5.33035127,5.00E-07,0.000130769,6.026080887
ADM,-3.378578487,5.11002318,-5.322634163,5.17E-07,0.000132473,5.994406859
