SYMBOL,ENTREZID
1600020E01Rik,72012
1700056N10Rik,73392
1700109H08Rik,77036
1810034E14Rik,66503
2010008C14Rik,69859
2610020C07Rik,69918
2810021J22Rik,69944
9930104L06Rik,194268
9930111J21Rik1,667214
9930111J21Rik2,245240
A530072M11Rik,100415915
Ablim1,226251
Abtb2,99382
Acrbp,54137
Afp,11576
Agk,69923
AI480526,100675
Ankrd10,102334
Ankrd39,109346
Ankrd49,56503
Aoc2,237940
Arhgap25,232201
Arhgap27os3,653030
Arhgap4,171207
Arhgap45,70719
Art2b,11872
Asphd1,233879
Asxl1,228790
Atp1a3,232975
B4galt7,218271
Baiap3,545192
Bambi-ps1,81913
Banp,53325
BC002059,213811
BC051226,407803
Bid,12122
Boll,75388
Btbd6,399566
Capn10,23830
Card11,108723
Ccm2,216527
Cd7,12516
Cdh24,239096
Cdk5r1,12569
Cdk5rap1,66971
Cep95,320162
Ces2c,234671
Chst10,98388
Clec2i,93675
Cr2,12902
Csk,12988
D330041H03Rik,654822
Dcaf17,75763
Def6,23853
Dennd4b,229541
Dgkq,110524
Dopey1,320615
Dph7,67228
Dtx1,14357
E230001N04Rik,320187
E2f2,242705
E330034L11Rik,399583
Endov,338371
Fam117a,215512
Fam193b,212483
Fam219b,78323
Fam222b,216971
Fam35a,75698
Fam53a,74504
Fam53b,77938
Fam71b,432552
Fam78a,241303
Fbxl12,30843
Fhl3,14201
Frmd8,67457
Ftx,78878
Gabpb2,213054
Galnt6,207839
Gba2,230101
Gfm2,320806
Glyctk,235582
Gm10548,633395
Gm12359,100037262
Gm13408,623448
Gm15903,100504254
Gm16069,102636781
Gm17552,100502789
Gm17825,100384878
Gm28802,101056017
Gm29666,108168254
Gm35549,102639178
Gm36266,102640124
Gm7027,630138
Gm9403,668858
Gm9752,791300
Gnptab,432486
Gpr155,68526
Gpr18,110168
Grk6,26385
Gucd1,68778
Hdhd5,214932
Helq,191578
Hgh1,59053
Hrh2,15466
Hsh2d,209488
Ighm,16019
Il16,16170
Il7r,16197
Ipcef1,320495
Jmjd4,194952
Kansl2-ps,233391
Kbtbd8,243574
Kctd18,51960
Khdc3,66991
Kif21b,16565
Klf3,16599
Klrb1c,17059
Krba1,77827
L3mbtl2,214669
Lair1,52855
Limd2,67803
Lin9,72568
Lnx2,140887
Lrmp,16970
Lysmd1,217779
Mgst2,211666
Mirt1,381232
Mkl1,223701
Mphosph9,269702
Mrgbp,73247
Mrm1,217038
Mrm2,68017
Mtfmt,69606
Mtif3,76366
Myo1f,17916
Mypop,232934
Nckap5l,380969
Nemp2,227094
Nepro,212547
Nrros,224109
Nup210,54563
Nxnl1,234404
Nxpe3,385658
Pars2,230577
Pced1b,239647
Pde6b,18587
Pdss1,56075
Pglyrp2,57757
Phf11c,628705
Pisd-ps1,236604
Plekhg2,101497
Pms2,18861
Polg,18975
Poli,26447
Polrmt,216151
Ppcdc,66812
Prag1,244418
Primpol,408022
Prkag2os1,71161
Prmt3,71974
Prrt2,69017
Prss41,71003
Ptpn6,15170
Rasal1,19415
Rassf2,215653
Rbm12b2,77604
Rbm38,56190
Rec114,73673
Relt,320100
Rgs14,51791
Rinl,320435
Rps12-ps9,100503211
Rps19-ps7,269365
Sag,20215
Sash3,74131
Sbf1,77980
Serpinc1,11905
Setd4,224440
Setdb2,239122
Sh2d1a,20400
Slc12a7,20499
Slc2a4rg-ps,329584
Slc36a1,215335
Slc37a4,14385
Slc46a3,71706
Slc6a20b,22599
Smpd2,20598
Snapc4,227644
Srpk1,20815
Ssh2,237860
Sugp2,234373
Tagap1,380608
Tarbp1,212728
Tbc1d10c,108995
Tgfbr3l,100044509
Thada,240174
Thumpd3,14911
Tmc6,217353
Tmc8,217356
Tmem268,230279
Tmem81,74626
Tmppe,100504715
Top3a,21975
Traf5,22033
Trim11,94091
Trim12a,76681
Trim21,20821
Trim5,667823
Trim56,384309
Trim65,338364
Ttc14,67120
Ttll3,101100
Tusc2,80385
Txk,22165
Ube2d1,216080
Utp23,78581
Wdr83,67836
Xlr4c,72891
Yars2,70120
Zbtb45,232879
Zbtb7b,22724
Zfp217,228913
Zfp239,22685
Zfp263,74120
Zfp287,170740
Zfp3,193043
Zfp318,57908
Zfp35,22694
Zfp408,381410
Zfp418,232854
Zfp429,72807
Zfp53,24132
Zfp597,71063
Zfp623,78834
Zfp626,71163
Zfp646,233905
Zfp747,269997
Zfp770,228491
Zfp831,100043757
Zfp850,100043772
Zfp940,233057
Zfp942,73233
Zfp951,626391
Zhx2,387609
Zscan20,269585
