SYMBOL,ENTREZID
1700026D11Rik,70371
1700029J07Rik,69479
2310057M21Rik,68277
2310058D17Rik,75694
2610044O15Rik8,72139
4833412K13Rik,74607
4930417O13Rik,73870
4932442E05Rik,74415
5830487J09Rik,76118
6530409C15Rik,76224
6720464F23Rik,320760
9430087J23Rik,77401
A130048G24Rik,320170
A130071D04Rik,320791
A230103J11Rik,320466
A430046D13Rik,654440
A830005F24Rik,442803
Actr6,67019
Afap1,70292
Alkbh3os1,70852
Amn1,232566
Ampd3,11717
Angptl7,654812
Anxa1,16952
Arhgap29,214137
Arhgef4,226970
Armc9,78795
B130006D01Rik,320616
B230307C23Rik,245305
B430306N03Rik,320148
Bcl7c,12055
C030034L19Rik,320088
C730045M19Rik,399582
C79130,97236
Cabp7,192650
Ccdc58,381045
Ccdc73,211936
Cd320,54219
Churc1,211151
Cnn3,71994
Col10a1,12813
Csf1r,12978
Ctps,51797
Cxcr4,12767
D630030B08Rik,319941
D730003I15Rik,100504360
Ddb2,107986
Diaph2,54004
Dnah17,69926
Dnase1l2,66705
E230032D23Rik,414103
E2f5,13559
E430014B02Rik,320908
Ercc8,71991
Esr1,13982
Exosc8,69639
F830112A20Rik,100038576
Fah,14085
Fam173b,68073
Fam196b,574403
Fcer2a,14128
Fgfr1op,75296
Gatsl3,71962
Gga2,74105
Glra4,14657
Gm10241,100043459
Gm12000,100038572
Gm12267,674310
Gm12568,100038833
Gm13212,433801
Gm14636,100503338
Gm15337,100503620
Gm15408,100503307
Gm15506,100040769
Gm15597,105246129
Gm15624,102635553
Gm15927,102638607
Gm16279,100503379
Gm16675,100503498
Gm17089,105244876
Gm17137,100417489
Gm17227,100503986
Gm17435,100503374
Gm19040,100418154
Gm20257,100504501
Gm20379,100504735
Gm26740,102637787
Gm37053,105246679
Gm4117,100042940
Gm4876,232599
Gm4879,232887
Gm5776,497028
Gm8369,666926
Gm9967,100038751
Gm9968,791329
Gmfg,63986
Gpr183,321019
Guf1,231279
Hist2h4,97122
Hmgb1-ps8,667280
Htr2b,15559
Ift122,81896
Il18rap,16174
Il6st,16195
Inf2,70435
Kcnc2,268345
Kcnq1ot1,63830
Kif22,110033
Klrg1,50928
Kntc1,208628
Krit1,79264
Lrig1,16206
Lrrc51,69358
Lyst,17101
Macf1,11426
Maged1,94275
Mdn1,100019
Med18,67219
Megf11,214058
Mettl1,17299
Mfge8,17304
Mid1,17318
Mif,17319
Mks1,380718
Mtcl1,68617
Myb,17863
Myc,17869
Myo1h,231646
N6amt1,67768
Naalad2,72560
Nicn1,66257
Notch4,18132
Nrm,106582
Ovgp1,12659
Pcdhga9,93717
Pcdhgb4,93701
Pcdhgb5,93702
Pcnx4,67708
Pdlim4,30794
Pglyrp1,21946
Phf11a,219131
Phxr4,18689
Plagl1,22634
Plcl1,227120
Plp1,18823
Plp2,18824
Polr1b,20017
Prdm5,70779
Prss2,22072
Ptger2,19217
Pvt1,19296
Pygm,19309
Pyroxd1,232491
Qser1,99003
Qtrt1,60507
Rab23,19335
Rad9a,19367
Rapgef4os1,100040270
Rbm20,73713
Reck,53614
Rexo2,104444
Rfx3,19726
Rgmb,68799
Rilpl2,80291
Rnf145,74315
Rpl13-ps1,234848
Rpl17-ps4,435787
Rps13-ps4,628061
Serpini1,20713
Sfi1,78887
Slc19a1,20509
Slc25a33,70556
Slc25a40,319653
Smyd5,232187
Snhg17,68108
Snhg4,100503380
Spata1,70951
St6galnac1,20445
Sult1a1,20887
Synj2,20975
Tatdn3,68972
Tecpr2,104859
Thoc6,386612
Tia1,21841
Tm2d3,68634
Tnc,21923
Tnfrsf23,79201
Tnk2os,675921
Tns1,21961
Trav14-3,547330
Trmt1,212528
Tsen15,66637
Ttll4,67534
Tvp23a,383103
Tyw5,68736
Ubxn2b,68053
Vasn,246154
Wdr77,70465
Xndc1,102443350
Xylt1,233781
Yeats2,208146
Zc3h8,57432
Zfp280c,208968
Zfp639,67778
Zfp760,240034
Zfp839,72805
Zfp932,69504
